Manufacturer	Transmission	Engine Capacity	Fuel Type	L/100km Urban (Cold)	L/100km Extra-Urban	L/100km Combined	mpg-UK Urban (Cold)	mpg-UK Extra-Urban	mpg-UK Combined	mpg-US Urban	mpg-US Extra-Urban	mpg-US Combined	CO 2 g/km	Green Rating
Ford	A4	1999	Petrol	11.2	6.1	8.0	25.2	46.3	35.3	21.0	38.6	29.4	189	F
Ford	M6	2521	Petrol	13.8	6.8	9.3	20.5	41.5	30.4	17.1	34.6	25.3	224	F
Ford	M5	1560	Diesel	5.6	3.8	4.5	50.4	74.3	62.8	42.0	61.9	52.3	118	B
Ford	M5	1560	Diesel	5.5	3.6	4.3	51.4	78.5	65.7	42.8	65.4	54.7	114	B
Ford	M5	1560	Diesel	5.8	3.8	4.5	48.7	74.3	62.8	40.6	61.9	52.3	119	B
Ford	M5	1560	Diesel	5.6	3.6	4.3	50.4	78.5	65.7	42.0	65.4	54.7	115	B
Ford	M5	1753	Diesel	6.8	4.4	5.3	41.5	64.2	53.3	34.6	53.5	44.4	139	C
Ford	M5	1753	Diesel	6.7	4.3	5.2	42.2	65.7	54.3	35.1	54.7	45.2	137	C
Ford	A6	1997	Diesel	7.8	4.7	5.8	36.2	60.1	48.7	30.1	50.0	40.6	154	D
Ford	M6	1997	Diesel	7.0	4.5	5.5	40.4	62.8	51.4	33.6	52.3	42.8	144	C
Ford	M6	1997	Diesel	7.2	4.6	5.6	39.2	61.4	50.4	32.6	51.1	42.0	147	C
Ford	M5	1596	Petrol	9.4	5.8	7.1	30.1	48.7	39.8	25.1	40.6	33.1	169	E
Ford	A4	1999	Petrol	11.8	6.3	8.3	23.9	44.8	34.0	19.9	37.3	28.3	199	F
Ford	M5	1999	Petrol	10.6	5.7	7.5	26.6	49.6	37.7	22.1	41.3	31.4	179	E
Ford	M6	1997	Diesel	7.7	4.9	5.9	36.7	57.6	47.9	30.6	48.0	39.9	156	D
Ford	M5	1596	Petrol	8.9	5.7	6.9	31.7	49.6	40.9	26.4	41.3	34.1	164	D
Ford	M5	1798	Petrol	9.6	5.6	7.1	29.4	50.4	39.8	24.5	42.0	33.1	169	E
Ford	M5	1798	Petrol/E85 (Flex Fuel)	9.6	5.6	7.1	29.4	50.4	39.8	24.5	42.0	33.1	169	E
Ford	M5	1999	Petrol	9.9	5.5	7.2	28.5	51.4	39.2	23.7	42.8	32.6	171	E
Ford	A4	1999	Petrol	11.2	6.2	8.0	25.2	45.6	35.3	21.0	38.0	29.4	189	F
Ford	M5	1560	Diesel	5.9	4.0	4.7	47.9	70.6	60.1	39.9	58.8	50.0	124	C
Ford	M5	1560	Diesel	6.1	4.0	4.8	46.3	70.6	58.9	38.6	58.8	49.0	126	C
Ford	M5	1753	Diesel	6.9	4.5	5.4	40.9	62.8	52.3	34.1	52.3	43.5	143	C
Ford	A6	1997	Diesel	8.0	4.8	5.9	35.3	58.9	47.9	29.4	49.0	39.9	159	D
Ford	M6	1997	Diesel	7.3	4.7	5.7	38.7	60.1	49.6	32.2	50.0	41.3	149	C
Ford	M6	1997	Diesel	8.0	5.3	6.3	35.3	53.3	44.8	29.4	44.4	37.3	165	D
Ford	M6-AWD	1997	Diesel	8.1	5.4	6.4	34.9	52.3	44.1	29.1	43.5	36.7	169	E
Ford	M5	1596	Petrol	10.0	5.6	7.2	28.2	50.4	39.2	23.5	42.0	32.6	172	E
Ford	M5	1596	Petrol	10.3	5.7	7.4	27.4	49.6	38.2	22.8	41.3	31.8	177	E
Ford	M5	1999	Petrol	11.2	6.0	7.9	25.2	47.1	35.8	21.0	39.2	29.8	189	F
Ford	M5	1999	Petrol/E85 (Flex Fuel)	11.2	6.0	7.9	25.2	47.1	35.8	21.0	39.2	29.8	189	F
Ford	A6	2261	Petrol	13.8	6.7	9.3	20.5	42.2	30.4	17.1	35.1	25.3	223	F
Ford	M6	2521	Petrol	13.6	6.8	9.3	20.8	41.5	30.4	17.3	34.6	25.3	222	F
Ford	M5	1753	Diesel	7.3	4.6	5.6	38.7	61.4	50.4	32.2	51.1	42.0	149	C
Ford	M5	1753	Diesel	7.4	4.7	5.7	38.2	60.1	49.6	31.8	50.0	41.3	151	D
Ford	M5	1753	Diesel	6.9	4.5	5.4	40.9	62.8	52.3	34.1	52.3	43.5	142	C
Ford	M6	1753	Diesel	7.5	4.8	5.8	37.7	58.9	48.7	31.4	49.0	40.6	154	D
Ford	M6	1753	Diesel	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	156	D
Ford	A6	1997	Diesel	9.8	5.6	7.1	28.8	50.4	39.8	24.0	42.0	33.1	189	F
Ford	M6	1997	Diesel	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	156	D
Ford	M6	2179	Diesel	8.4	4.9	6.2	33.6	57.6	45.6	28.0	48.0	38.0	165	D
Ford	M5	1999	Petrol	11.2	6.5	8.2	25.2	43.5	34.4	21.0	36.2	28.6	197	F
Ford	M5	1999	Petrol/E85 (Flex Fuel)	11.2	6.5	8.2	25.2	43.5	34.4	21.0	36.2	28.6	197	F
Ford	A6	2261	Petrol	13.8	7.5	9.8	20.5	37.7	28.8	17.1	31.4	24.0	235	G
Ford	M5	1753	Diesel	8.0	5.2	6.2	35.3	54.3	45.6	29.4	45.2	38.0	165	D
Ford	M6	1753	Diesel	8.0	5.3	6.3	35.3	53.3	44.8	29.4	44.4	37.3	166	E
Ford	A6	1997	Diesel	10.0	5.9	7.4	28.2	47.9	38.2	23.5	39.9	31.8	196	F
Ford	M6	1997	Diesel	8.0	5.2	6.2	35.3	54.3	45.6	29.4	45.2	38.0	165	D
Ford	M6	2179	Diesel	9.1	5.3	6.7	31.0	53.3	42.2	25.8	44.4	35.1	179	E
Ford	M5	1999	Petrol	11.0	6.4	8.1	25.7	44.1	34.9	21.4	36.7	29.1	194	F
Ford	M5	1999	Petrol/E85 (Flex Fuel)	11.0	6.4	8.1	25.7	44.1	34.9	21.4	36.7	29.1	194	F
Ford	A6	2261	Petrol	13.7	7.4	9.7	20.6	38.2	29.1	17.2	31.8	24.2	232	G
Ford	M6	2521	Petrol	13.3	7.1	9.4	21.2	39.8	30.1	17.7	33.1	25.1	224	F
Ford	M5	1753	Diesel	7.9	5.2	6.2	35.8	54.3	45.6	29.8	45.2	38.0	164	D
Ford	M6	1753	Diesel	7.9	5.2	6.2	35.8	54.3	45.6	29.8	45.2	38.0	164	D
Ford	A6	1997	Diesel	9.9	5.8	7.3	28.5	48.7	38.7	23.7	40.6	32.2	193	F
Ford	M6	1997	Diesel	7.9	5.2	6.2	35.8	54.3	45.6	29.8	45.2	38.0	164	D
Ford	M6	2179	Diesel	9.0	5.2	6.6	31.4	54.3	42.8	26.1	45.2	35.6	176	E
Ford	M5	1753	Diesel	7.9	5.5	6.4	35.8	51.4	44.1	29.8	42.8	36.7	172	E
Ford	M5	1753	Diesel	7.6	5.2	6.0	37.2	54.3	47.1	31.0	45.2	39.2	163	D
Ford	M5	2198	Diesel	9.6	6.9	7.9	29.4	40.9	35.8	24.5	34.1	29.8	208	F
Ford	M5	2198	Diesel	10.1	7.0	8.1	28.0	40.4	34.9	23.3	33.6	29.1	215	F
Ford	M5	2198	Diesel	10.1	6.6	7.9	28.0	42.8	35.8	23.3	35.6	29.8	208	F
Honda	5MT	1246	Petrol	6.8	4.7	5.5	41.5	60.1	51.4	34.6	50.0	42.8	129	C
Honda	5MT	1339	Petrol	7.3	5.1	5.8	38.7	55.4	48.7	32.2	46.1	40.6	137	C
Honda	CVT	1339	Petrol	7.2	5.1	5.9	39.2	55.4	47.9	32.6	46.1	39.9	139	C
Honda	6MT	1339	Petrol	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	139	C
Honda	i-SHIFT	1339	Petrol	7.5	5.0	5.9	37.7	56.5	47.9	31.4	47.0	39.9	139	C
Honda	6MT	1799	Petrol	8.2	5.4	6.4	34.4	52.3	44.1	28.6	43.5	36.7	152	D
Honda	i-SHIFT	1799	Petrol	9.0	5.4	6.7	31.4	52.3	42.2	26.1	43.5	35.1	158	D
Honda	6MT	1799	Petrol	8.4	5.5	6.6	33.6	51.4	42.8	28.0	42.8	35.6	156	D
Honda	i-SHIFT	1799	Petrol	9.1	5.5	6.8	31.0	51.4	41.5	25.8	42.8	34.6	160	D
Honda	6MT	2204	Diesel	6.6	4.3	5.1	42.8	65.7	55.4	35.6	54.7	46.1	135	C
Honda	6MT	2204	Diesel	6.7	4.5	5.3	42.2	62.8	53.3	35.1	52.3	44.4	140	C
Honda	CVT	1339	Petrol	5.2	4.3	4.6	54.3	65.7	61.4	45.2	54.7	51.1	109	B
Honda	6MT	1998	Petrol	12.7	7.0	9.1	22.2	40.4	31.0	18.5	33.6	25.8	215	F
Honda	6MT	2204	Diesel	6.6	4.2	5.1	42.8	67.3	55.4	35.6	56.0	46.1	134	C
Honda	6MT	2204	Diesel	6.7	4.4	5.2	42.2	64.2	54.3	35.1	53.5	45.2	138	C
Honda	5MT	1998	Petrol	10.1	5.9	7.4	28.0	47.9	38.2	23.3	39.9	31.8	176	E
Honda	5AT	1998	Petrol	11.6	6.0	8.0	24.4	47.1	35.3	20.3	39.2	29.4	189	F
Honda	5MT	1998	Petrol	10.9	6.3	8.0	25.9	44.8	35.3	21.6	37.3	29.4	189	F
Honda	5AT	1998	Petrol	12.2	6.3	8.4	23.2	44.8	33.6	19.3	37.3	28.0	200	F
Honda	6MT	2354	Petrol	12.7	6.9	9.0	22.2	40.9	31.4	18.5	34.1	26.1	214	F
Honda	5AT	2354	Petrol	13.7	6.9	9.4	20.6	40.9	30.1	17.2	34.1	25.1	223	F
Honda	5AT	2354	Petrol	13.6	6.7	9.2	20.8	42.2	30.7	17.3	35.1	25.6	218	F
Honda	6MT	2204	Diesel	7.2	4.5	5.5	39.2	62.8	51.4	32.6	52.3	42.8	145	C
Honda	5MT	1998	Petrol	11.4	6.9	8.5	24.8	40.9	33.2	20.7	34.1	27.6	202	F
Honda	5AT	1998	Petrol	12.6	6.6	8.8	22.4	42.8	32.1	18.7	35.6	26.7	208	F
Honda	5MT	1998	Petrol	11.6	7.0	8.6	24.4	40.4	32.8	20.3	33.6	27.3	204	F
Honda	5AT	1998	Petrol	12.9	6.8	9.0	21.9	41.5	31.4	18.2	34.6	26.1	213	F
Honda	6MT	2354	Petrol	13.3	7.7	9.7	21.2	36.7	29.1	17.7	30.6	24.2	230	G
Honda	5AT	2354	Petrol	14.3	7.5	10.0	19.8	37.7	28.2	16.5	31.4	23.5	237	G
Honda	5AT	2354	Petrol	14.0	7.3	9.7	20.2	38.7	29.1	16.8	32.2	24.2	229	G
Honda	6MT	2204	Diesel	7.7	4.9	5.9	36.7	57.6	47.9	30.6	48.0	39.9	155	D
Honda	6MT	1998	Petrol	10.4	6.7	8.1	27.2	42.2	34.9	22.6	35.1	29.1	192	F
Honda	5AT	1997	Petrol	10.9	6.7	8.2	25.9	42.2	34.4	21.6	35.1	28.6	195	F
Honda	6MT	1997	Petrol	10.4	6.7	8.1	27.2	42.2	34.9	22.6	35.1	29.1	192	F
Honda	6MT	2204	Diesel	8.1	5.7	6.5	34.9	49.6	43.5	29.1	41.3	36.2	173	E
Honda	6MT	1799	Petrol	9.4	6.3	7.5	30.1	44.8	37.7	25.1	37.3	31.4	177	E
Honda	5AT	1799	Petrol	10.6	6.6	8.1	26.6	42.8	34.9	22.1	35.6	29.1	190	F
Honda	5AT	2204	Diesel	8.0	5.3	6.3	35.3	53.3	44.8	29.4	44.4	37.3	167	E
Honda	6MT	1997	Petrol	13.9	7.8	10.0	20.3	36.2	28.2	16.9	30.1	23.5	236	G
Hummer	M5	3653	Petrol	18.4	11.0	13.8	15.4	25.7	20.5	12.8	21.4	17.1	327	G
Hummer	A4	3653	Petrol	18.7	12.1	14.5	15.1	23.3	19.5	12.6	19.4	16.2	346	G
Hummer	A4	2653	Petrol	18.7	12.1	14.5	15.1	23.3	19.5	12.6	19.4	16.2	346	G
Hyundai	M5	1086	Petrol	6.1	4.4	5.0	46.3	64.2	56.5	38.6	53.5	47.0	119	B
Hyundai	M5	1086	Petrol	6.3	4.6	5.2	44.8	61.4	54.3	37.3	51.1	45.2	124	C
Hyundai	A4	1086	Petrol	7.2	5.1	5.9	39.2	55.4	47.9	32.6	46.1	39.9	139	C
Hyundai	M5	1086	Petrol	6.7	4.7	5.4	42.2	60.1	52.3	35.1	50.0	43.5	128	C
Hyundai	M5	1086	Petrol	6.8	4.9	5.5	41.5	57.6	51.4	34.6	48.0	42.8	131	C
Hyundai	A4	1086	Petrol	8.0	5.0	6.1	35.3	56.5	46.3	29.4	47.0	38.6	145	C
Hyundai	M5	1086	Petrol	6.9	4.7	5.5	40.9	60.1	51.4	34.1	50.0	42.8	130	C
Hyundai	M5	1399	Petrol	7.5	5.1	6.0	37.7	55.4	47.1	31.4	46.1	39.2	141	C
Hyundai	A4	1399	Petrol	9.1	5.3	6.7	31.0	53.3	42.2	25.8	44.4	35.1	159	D
Hyundai	M5	1493	Diesel	5.5	3.9	4.5	51.4	72.4	62.8	42.8	60.3	52.3	118	B
Hyundai	M5	1599	Petrol	7.6	5.1	6.0	37.2	55.4	47.1	31.0	46.1	39.2	143	C
Hyundai	A4	1599	Petrol	9.2	5.3	6.7	30.7	53.3	42.2	25.6	44.4	35.1	160	D
Hyundai	M5	1399	Petrol	8.0	5.1	6.2	35.3	55.4	45.6	29.4	46.1	38.0	146	C
Hyundai	A4	1399	Petrol	9.4	5.5	6.9	30.1	51.4	40.9	25.1	42.8	34.1	165	D
Hyundai	M5	1396	Petrol	7.6	5.2	6.1	37.2	54.3	46.3	31.0	45.2	38.6	145	C
Hyundai	M5	1591	Petrol	8.0	5.2	6.2	35.3	54.3	45.6	29.4	45.2	38.0	152	D
Hyundai	A4	1591	Petrol	9.0	5.7	6.9	31.4	49.6	40.9	26.1	41.3	34.1	165	D
Hyundai	M5	1582	Diesel	5.4	4.1	4.5	52.3	69.8	62.8	43.5	58.1	52.3	119	B
Hyundai	M5	1582	Diesel	5.7	4.1	4.7	49.6	68.9	60.1	41.3	57.4	50.0	125	C
Hyundai	A4	1582	Diesel	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	155	D
Hyundai	M6	1991	Diesel	7.1	4.5	5.5	39.8	62.8	51.4	33.1	52.3	42.8	145	C
Hyundai	M5	1582	Diesel	5.9	4.3	4.9	47.9	65.7	57.6	39.9	54.7	48.0	128	C
Hyundai	A4	1582	Diesel	7.9	4.9	6.0	35.8	57.6	47.1	29.8	48.0	39.2	159	D
Hyundai	M5	1493	Diesel	6.5	4.6	5.3	43.5	61.4	53.3	36.2	51.1	44.4	140	C
Hyundai	M5	1599	Petrol	9.1	6.3	7.3	31.0	44.8	38.7	25.8	37.3	32.2	174	E
Hyundai	A4	1599	Petrol	11.1	6.6	8.3	25.4	42.8	34.0	21.1	35.6	28.3	198	F
Hyundai	M5	1795	Petrol	10.8	6.7	8.3	26.2	42.2	34.0	21.8	35.1	28.3	198	F
Hyundai	A4	1795	Petrol	12.2	7.0	9.0	23.2	40.4	31.4	19.3	33.6	26.1	215	F
Hyundai	M5	1599	Petrol	9.8	6.3	7.6	28.8	44.8	37.2	24.0	37.3	31.0	182	E
Hyundai	M5	1975	Petrol	10.9	6.4	8.0	25.9	44.1	35.3	21.6	36.7	29.4	193	F
Hyundai	A4	1975	Petrol	11.9	6.6	8.5	23.7	42.8	33.2	19.7	35.6	27.6	203	F
Hyundai	M6	2656	Petrol	14.0	7.6	9.9	20.2	37.2	28.5	16.8	31.0	23.7	236	G
Hyundai	A4	2656	Petrol	14.2	8.0	10.3	19.9	35.3	27.4	16.6	29.4	22.8	247	G
Hyundai	M5	1998	Petrol	10.4	6.6	8.0	27.2	42.8	35.3	22.6	35.6	29.4	190	F
Hyundai	A4	1998	Petrol	10.8	7.0	8.4	26.2	40.4	33.6	21.8	33.6	28.0	200	F
Hyundai	M6	1991	Diesel	8.2	5.0	6.1	34.4	56.5	46.3	28.6	47.0	38.6	163	D
Hyundai	A4	1991	Diesel	10.0	5.7	7.3	28.2	59.6	38.7	23.5	49.6	32.2	191	F
Hyundai	A4	3342	Petrol	14.8	7.4	10.1	19.1	38.2	28.0	15.9	31.8	23.3	241	G
Hyundai	A5	3342	Petrol	15.1	7.4	10.2	18.7	38.2	27.7	15.6	31.8	23.1	245	G
Hyundai	M5	1975	Petrol	10.6	6.8	8.2	26.6	41.5	34.4	22.1	34.6	28.6	194	F
Hyundai	M5	1975	Petrol	10.4	6.6	8.0	27.2	42.8	35.3	22.6	35.6	29.4	190	F
Hyundai	M6	1991	Diesel	8.9	6.2	7.1	31.7	45.6	39.8	26.4	38.0	33.1	187	F
Hyundai	M6	1991	Diesel	8.8	5.9	7.0	32.1	47.9	40.4	26.7	39.9	33.6	184	E
Hyundai	A4	1991	Diesel	10.3	6.6	8.0	27.4	42.8	35.3	22.8	35.6	29.4	210	F
Hyundai	A4	2656	Petrol	13.2	8.2	10.0	21.4	34.4	28.2	17.8	28.6	23.5	237	G
Hyundai	A4	2656	Petrol	14.4	8.4	10.6	19.6	33.6	26.6	16.3	28.0	22.1	252	G
Hyundai	M5	2188	Diesel	9.4	5.9	7.2	30.1	47.9	39.2	25.1	39.9	32.6	190	F
Hyundai	A5	2188	Diesel	10.4	6.7	8.1	27.2	42.2	34.9	22.6	35.1	29.1	212	F
Hyundai	A5	2188	Diesel	10.7	6.7	8.2	26.4	42.2	34.4	22.0	35.1	28.6	218	F
Jaguar Cars	M5	2967	Petrol	15.8	7.3	10.3	17.9	38.7	27.4	14.9	32.2	22.8	249	G
Jaguar Cars	A6	2967	Petrol	16.3	7.8	10.8	17.3	36.0	26.2	14.4	30.0	21.8	259	G
Jaguar Cars	A6	4196	Petrol	17.2	8.4	11.5	16.4	33.6	24.6	13.7	28.0	20.5	274	G
Jaguar Cars	A6	4196	Petrol	18.6	9.3	12.4	15.2	30.4	22.7	12.7	25.3	18.9	294	G
Jaguar Cars	M6	2720	Diesel	9.3	5.5	6.8	30.4	51.4	41.5	25.3	42.8	34.6	179	E
Jaguar Cars	A6	2720	Diesel	10.7	6.2	7.8	26.4	45.6	36.0	22.0	38.0	30.0	208	F
Jaguar Cars	M5	2497	Petrol	13.6	7.2	9.6	20.7	39.0	29.5	17.2	32.5	24.6	234	G
Jaguar Cars	A5	2497	Petrol	15.0	7.6	10.3	18.9	37.3	27.5	15.7	31.1	22.9	244	G
Jaguar Cars	M5	2497	Petrol	13.8	7.3	9.7	20.5	38.5	29.0	17.1	32.1	24.1	239	G
Jaguar Cars	A5	2497	Petrol	15.2	7.7	10.4	18.6	36.9	27.2	15.5	30.7	22.6	249	G
Jaguar Cars	M5	2967	Petrol	14.8	7.7	10.3	19.1	36.8	27.5	15.9	30.6	22.9	244	G
Jaguar Cars	A5	2967	Petrol	15.1	7.8	10.5	18.7	36.4	26.9	15.6	30.3	22.4	249	G
