Year	1st District	2nd District	3rd District	4th District	5th District
1934	William C. Jerome	John C. Mitchell	Leroy E. Lyon	Willard Smith	George Jeffrey
1935	William C. Jerome	John C. Mitchell	Leroy E. Lyon	Willard Smith	N. Elliot West
1936	William C. Jerome	John C. Mitchell	Leroy E. Lyon	Willard Smith	N. Elliot West
1937	Steele Finley	John C. Mitchell	Harry D. Riley	Willard Smith	N. Elliot West
1938	Steele Finley	John C. Mitchell	Harry D. Riley	Willard Smith	N. Elliot West
1939	Steele Finley	Willis H. Warner	Harry D. Riley	Willard Smith	N. Elliot West
1940	Steele Finley	Willis H. Warner	Harry D. Riley	Willard Smith	N. Elliot West
1941	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	N. Elliot West
1942	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	N. Elliot West
1943	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	Irvin George Gordon
1944	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	Irvin George Gordon
1945	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	Irvin George Gordon
1946	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	Irvin George Gordon
1947	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	Irvin George Gordon
1948	Fred C. Rowland	Willis H. Warner	James A. Baker	Willard Smith	Irvin George Gordon
1949	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	Willard Smith	Irvin George Gordon
1950	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	Willard Smith	Irvin George Gordon
1951	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	Willard Smith	Heinz Kaiser
1952	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	Willard Smith	Heinz Kaiser
1953	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	Willard Smith	Heinz Kaiser
1954	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	Willard Smith	Heinz Kaiser
1955	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	William H. Hirstein	Heinz Kaiser
1956	Cecil M. Featherly	Willis H. Warner	Ralph J. McFadden	William H. Hirstein	Heinz Kaiser
1957	Cecil M. Featherly	Willis H. Warner	William J. Phillips	William H. Hirstein	Heinz Kaiser
1958	Cecil M. Featherly	Willis H. Warner	William J. Phillips	William H. Hirstein	Benjamin O. Reddick
1959	Cecil M. Featherly	Willis H. Warner	William J. Phillips	William H. Hirstein	Claire M. Nelson
1960	Cecil M. Featherly	Willis H. Warner	William J. Phillips	William H. Hirstein	Claire M. Nelson
1961	Cecil M. Featherly	Willis H. Warner	William J. Phillips	William H. Hirstein	Claire M. Nelson
1962	Cecil M. Featherly	Willis H. Warner	William J. Phillips	William H. Hirstein	Claire M. Nelson
1963	Cecil M. Featherly	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1964	Cecil M. Featherly	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1965	Cecil M. Featherly	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1966	Cecil M. Featherly	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1967	Cecil M. Featherly	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1968	Cecil M. Featherly	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1969	Robert Battin	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1970	Robert Battin	David L. Baker	William J. Phillips	William H. Hirstein	Alton Allen
1971	Robert Battin	David L. Baker	William J. Phillips	Ralph B. Clark	Ronald Caspers
1972	Robert Battin	David L. Baker	William J. Phillips	Ralph B. Clark	Ronald Caspers
1973	Robert Battin	David L. Baker	Ralph Diedrich	Ralph B. Clark	Ronald Caspers
1974	Robert Battin	David L. Baker	Ralph Diedrich	Ralph B. Clark	Ronald Caspers
1975	Robert Battin	Laurence Schmit	Ralph Diedrich	Ralph B. Clark	Thomas F. Riley
1976	Robert Battin	Laurence Schmit	Ralph Diedrich	Ralph B. Clark	Thomas F. Riley
1977	Philip Anthony	Laurence Schmit	Ralph Diedrich	Ralph B. Clark	Thomas F. Riley
1978	Philip Anthony	Laurence Schmit	Ralph Diedrich	Ralph B. Clark	Thomas F. Riley
1979	Philip Anthony	Harriett Wieder	Ralph Diedrich	Ralph B. Clark	Thomas F. Riley
1980	Philip Anthony	Harriett Wieder	Edison Miller	Ralph B. Clark	Thomas F. Riley
1981	Roger R. Stanton	Harriett Wieder	Bruce Nestande	Ralph B. Clark	Thomas F. Riley
1982	Roger R. Stanton	Harriett Wieder	Bruce Nestande	Ralph B. Clark	Thomas F. Riley
1983	Roger R. Stanton	Harriett Wieder	Bruce Nestande	Ralph B. Clark	Thomas F. Riley
1984	Roger R. Stanton	Harriett Wieder	Bruce Nestande	Ralph B. Clark	Thomas F. Riley
1985	Roger R. Stanton	Harriett Wieder	Bruce Nestande	Ralph B. Clark	Thomas F. Riley
1986	Roger R. Stanton	Harriett Wieder	Bruce Nestande	Ralph B. Clark	Thomas F. Riley
1987	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	Don Roth	Thomas F. Riley
1988	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	Don Roth	Thomas F. Riley
1989	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	Don Roth	Thomas F. Riley
1990	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	Don Roth	Thomas F. Riley
1991	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	Don Roth	Thomas F. Riley
1992	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	Don Roth	Thomas F. Riley
1993	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	William G. Steiner	Thomas F. Riley
1994	Roger R. Stanton	Harriett Wieder	Gaddi Vasquez	William G. Steiner	Thomas F. Riley
1995	Roger R. Stanton	Jim Silva	Gaddi Vasquez	William G. Steiner	Marian Bergeson
1996	Roger R. Stanton	Jim Silva	Donald Saltarelli	William G. Steiner	Marian Bergeson
1997	Charles V. Smith	Jim Silva	Todd Spitzer	William G. Steiner	Thomas W. Wilson
1998	Charles V. Smith	Jim Silva	Todd Spitzer	William G. Steiner	Thomas W. Wilson
1999	Charles V. Smith	Jim Silva	Todd Spitzer	Cynthia Coad	Thomas W. Wilson
2000	Charles V. Smith	Jim Silva	Todd Spitzer	Cynthia Coad	Thomas W. Wilson
2001	Charles V. Smith	Jim Silva	Todd Spitzer	Cynthia Coad	Thomas W. Wilson
2002	Charles V. Smith	Jim Silva	Todd Spitzer	Cynthia Coad	Thomas W. Wilson
2003	Charles V. Smith	Jim Silva	Bill Campbell	Chris Norby	Thomas W. Wilson
2004	Charles V. Smith	Jim Silva	Bill Campbell	Chris Norby	Thomas W. Wilson
2005	Lou Correa	Jim Silva	Bill Campbell	Chris Norby	Thomas W. Wilson
2006	Lou Correa	Jim Silva	Bill Campbell	Chris Norby	Thomas W. Wilson
2007	Janet Nguyen	John Moorlach	Bill Campbell	Chris Norby	Patricia C. Bates
2008	Janet Nguyen	John Moorlach	Bill Campbell	Chris Norby	Patricia C. Bates
2009	Janet Nguyen	John Moorlach	Bill Campbell	Chris Norby	Patricia C. Bates
2010	Janet Nguyen	John Moorlach	Bill Campbell	Shawn Nelson	Patricia C. Bates
2011	Janet Nguyen	John Moorlach	Bill Campbell	Shawn Nelson	Patricia C. Bates
2012	Janet Nguyen	John Moorlach	Bill Campbell	Shawn Nelson	Patricia C. Bates
