City	Province	Country	IATA	ICAO	Airport
Fuzhou	Fujian	China	FOC	ZSFZ	Fuzhou Changle International Airport
Geneva	—	Switzerland	GVA	LSGG	Geneva Airport
Guangzhou	Guangdong	China	CAN	ZGGG	Baiyun International Airport
Guilin	Guangxi	China	KWL	ZGKL	Guilin Liangjiang International Airport
Guiyang	Guizhou	China	KWE	ZUGY	Guiyang Longdongbao International Airport
Haikou	Hainan	China	HAK	ZJHK	Meilan International Airport
Hailar	Inner Mongolia	China	HLD	ZBLA	Hulunbuir Hailar Airport
Hangzhou	Zhejiang	China	HGH	ZSHC	Hangzhou Xiaoshan International Airport
Hanoi	—	Vietnam	HAN	VVNB	Noi Bai International Airport
Harbin	Heilongjiang	China	HRB	ZYHB	Taiping International Airport
Hefei	Anhui	China	HFE	ZSOF	Hefei Luogang International Airport
Hiroshima	—	Japan	HIJ	RJOA	Hiroshima Airport
Ho Chi Minh City	—	Vietnam	SGN	VVTS	Tan Son Nhat International Airport
Hohhot	Inner Mongolia	China	HET	ZBHH	Hohhot Baita International Airport
Honolulu [begins 21 January 2014]	—	United States	HNL	PHNL	Honolulu International Airport
Houston	—	United States	IAH	KIAH	George Bush Intercontinental Airport
Hong Kong	—	Hong Kong	HKG	VHHH	Hong Kong International Airport
Huangshan	Anhui	China	TXN	ZSTX	Huangshan Tunxi International Airport
Irkutsk	—	Russia	IKT	UIII	International Airport Irkutsk
Istanbul	—	Turkey	IST	LTBA	Atatürk International Airport
Jakarta	—	Indonesia	CGK	WIII	Soekarno–Hatta International Airport
Jiamusi	Heilongjiang	China	JMU	ZYJM	Jiamusi Airport
Ji'an	Jiangxi	China	JNG	ZLJN	Jinggangshan Airport
Jinan	Shandong	China	TNA	ZSJN	Jinan Yaoqiang International Airport
Jingdezhen	Jiangxi	China	JDZ	ZSJD	Jingdezhen Luojia Airport
Jinghong	Yunnan	China	JHG	ZPJH	Xishuangbanna Gasa Airport
Karachi	—	Pakistan	KHI	OPKC	Jinnah International Airport
Kashgar	Xinjiang	China	KHG	ZWSH	Kashgar Airport
Kathmandu	—	Nepal	KTM	VNKT	Tribhuvan International Airport
Kuala Lumpur	—	Malaysia	KUL	WMMK	Kuala Lumpur International Airport
Kunming	Yunnan	China	KMG	ZPPP	Kunming Changshui International Airport
Kuwait City	—	Kuwait	KWI	OKBK	Kuwait International Airport
Lanzhou	Gansu	China	LHW	ZLLL	Lanzhou Airport
Lhasa	Tibet	China	LXA	ZULS	Lhasa Gonggar Airport
Lijiang	Yunnan	China	LJG	ZPLJ	Lijiang Airport
Liuzhou	Guangxi	China	LZH	ZGZH	Liuzhou Airport
London	—	United Kingdom	LGW	EGKK	Gatwick Airport [seasonal]
London	—	United Kingdom	LHR	EGLL	London Heathrow Airport
Los Angeles	—	United States	LAX	KLAX	Los Angeles International Airport
Macau	—	Macau	MFM	VMMC	Macau International Airport
Madrid	—	Spain	MAD	LEMD	Madrid-Barajas Airport
Mandalay	—	Burma	MDY	VYMD	Mandalay International Airport
Manila	—	Philippines	MNL	RPLL	Ninoy Aquino International Airport
Manzhouli	Inner Mongolia	China	NZH	ZBMZ	Manzhouli Xijiao Airport
Melbourne	—	Australia	MEL	YMML	Melbourne Airport
Milan	—	Italy	MXP	LIMC	Malpensa Airport
Moscow	—	Russia	SVO	UUEE	Sheremetyevo International Airport
Mumbai	—	India	BOM	VABB	Chhatrapati Shivaji International Airport
Munich	—	Germany	MUC	EDDM	Munich Airport
Nagasaki	—	Japan	NGS	RJFU	Nagasaki Airport
Nagoya	—	Japan	NGO	RJGG	Chūbu Centrair International Airport
Naha	—	Japan	OKA	ROAH	Naha Airport
Nanchang	Jiangxi	China	KHN	ZSCN	Nanchang Changbei International Airport
Nanjing	Jiangsu	China	NKG	ZSNJ	Lukou International Airport
Nanning	Guangxi	China	NNG	ZGNN	Nanning Wuxu International Airport
Nantong	Jiangsu	China	NTG	ZSNT	Nantong Airport
New York City	—	United States	JFK	KJFK	John F. Kennedy International Airport
Ningbo	Zhejiang	China	NGB	ZSNB	Ningbo Lishe International Airport
Nyingchi	Tibet	China	LZY	ZUNZ	Nyingchi Mainling Airport
Omsk	—	Russia	OMS	UNOO	Omsk Tsentralny Airport
Ordos	Inner Mongolia	China	DSN	ZBDS	Ordos Ejin Horo Airport
Osaka	—	Japan	KIX	RJBB	Kansai International Airport
Paris	—	France	CDG	LFPG	Charles de Gaulle Airport
Phuket	—	Thailand	HKT	VTSP	Phuket International Airport
Pyongyang	—	North Korea	FNJ	ZKPY	Pyongyang Sunan International Airport
Qamdo	Tibet	China	BPX	ZUBD	Qamdo Bamda Airport
Qingdao	Shandong	China	TAO	ZSQD	Qingdao Liuting International Airport
Qiqihar	Heilongjiang	China	NDG	ZYQQ	Qiqihar Airport
Quanzhou	Fujian	China	JJN	ZSQZ	Quanzhou Jinjiang Airport
Rome	—	Italy	FCO	LIRF	Leonardo da Vinci-Fiumicino Airport
Saint Petersburg	—	Russia	LED	ULLI	Pulkovo International Airport
San Francisco	—	United States	SFO	KSFO	San Francisco International Airport
Sanya	Hainan	China	SYX	ZJSY	Sanya Phoenix International Airport
São Paulo	—	Brazil	GRU	SBGR	São Paulo-Guarulhos International Airport
Sapporo	—	Japan	CTS	RJCC	New Chitose Airport
Sendai [ends 27 October 2013]	—	Japan	SDJ	RJSS	Sendai Airport
Seoul	—	South Korea	GMP	RKSS	Gimpo International Airport
Seoul	—	South Korea	ICN	RKSI	Incheon International Airport
Shanghai	Shanghai	China	SHA	ZSSS	Shanghai Hongqiao International Airport
Shanghai	Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport
Shantou	Guangdong	China	SWA	ZGOW	Jieyang Chaoshan Airport
Sharjah	—	United Arab Emirates	SHJ	OMSJ	Sharjah International Airport
Shenyang	Liaoning	China	SHE	ZYTX	Shenyang Taoxian International Airport
Shenzhen	Guangdong	China	SZX	ZGSC	Shenzhen Bao'an International Airport
Shigatse	Tibet	China	RKZ	ZURK	Shigatse Peace Airport
Shiquanhe	Tibet	China	NGQ	ZUAL	Ngari Gunsa Airport
Siem Reap [begins 1 December 2013]	—	Cambodia	REP	VDSR	Siem Reap International Airport
Singapore	—	Singapore	SIN	WSSS	Singapore Changi Airport
Stockholm	—	Sweden	ARN	ESSA	Arlanda Airport
Sydney	—	Australia	SYD	YSSY	Sydney Airport
Taichung	—	Taiwan	RMQ	RCMQ	Taichung Airport
Taipei	—	Taiwan	TSA	RCSS	Taipei Songshan Airport
Taipei	—	Taiwan	TPE	RCTP	Taipei Taoyuan International Airport
Taizhou	Zhejiang	China	HYN	ZSLQ	Taizhou Luqiao Airport
Tianjin	Tianjin	China	TSN	ZBTJ	Binhai International Airport
Tongliao	Inner Mongolia	China	TGO	ZBTL	Tongliao Airport
Tokyo	—	Japan	HND	RJTT	Haneda Airport
Tokyo	—	Japan	NRT	RJAA	Narita International Airport
Toronto	—	Canada	YYZ	CYYZ	Toronto Pearson International Airport
Ulan Bator	—	Mongolia	ULN	ZMUB	Chinggis Khaan International Airport
Vancouver	—	Canada	YVR	CYVR	Vancouver International Airport
Vienna	—	Austria	VIE	LOWW	Vienna International Airport
Xi'an	Shaanxi	China	XIY	ZLXY	Xianyang International Airport
Xining	Qinghai	China	XNN	ZLXN	Xining Caojiabu Airport
Yangon	—	Myanmar	RGN	VYYY	Yangon International Airport
Yekaterinburg	—	Russia	SVX	USSS	Koltsovo International Airport
Wanzhou	Chongqing	China	WXN	ZUWX	Wanzhou Wuqiao Airport
Weihai	Shandong	China	WEH	ZSWH	Weihai Dashuibo Airport
Wenzhou	Zhejiang	China	WNZ	ZSWZ	Wenzhou Yongqiang Airport
Wuhan	Hubei	China	WUH	ZHHH	Tianhe International Airport
Wuxi	Jiangsu	China	WUX	ZSWX	Wuxi Shuofang Airport
Xiamen	Fujian	China	XMN	ZSAM	Xiamen Gaoqi International Airport
Xiangfan	Hubei	China	XFN	ZHXF	Xiangfan Airport
Xilinhot	Inner Mongolia	China	XIL	ZBXH	Xilinhot Airport
Xuzhou	Jiangsu	China	XUZ	ZSXZ	Xuzhou Airport
Yanji	Jilin	China	YNJ	ZYYJ	Yanji Chaoyangchuan Airport
Yantai	Shandong	China	YNT	ZSYT	Yantai Laishan International Airport
Yichang	Hubei	China	YIH	ZHYC	Yichang Airport
Yinchuan	Ningxia	China	INC	ZLIC	Yinchuan Hedong Airport
Zhangjiajie	Hunan	China	DYG	ZGDY	Zhangjiajie Airport
Zhanjiang [begins 27 October 2013]	Guangdong	China	ZHA	ZGZJ	Zhanjiang Airport
Zhengzhou	Henan	China	CGO	ZHCC	Zhengzhou Xinzheng International Airport
Zhuhai	Guangdong	China	ZUH	ZGSD	Zhuhai Jinwan Airport
Zunyi	Guizhou	China	ZYI	ZUZY	Zunyi Xinzhou Airport
Zurich	—	Switzerland	ZRH	LSZH	Zurich Airport
