Nationality	Position	Tottenham Hotspur career	Club Apps	Goals
Scotland	FW	1959–1964	179	51
England	RB	1953–1965	342	3
Northern Ireland	MF	1954–1963	382	21
England	FW	1955–1964	317	208
England	FW	1955–1965	209	55
England	LB	1955–1965	287	1
England	MF	1955–1965	411	19
Wales	FW	1956–1963	215	72
Wales	RW	1958–1968	578	159
England	FW	1959–1965	137	61
Scotland	GK	1959–1966	262	0
Scotland	MF	1959–1968	318	51
England	FW	1960–1967	129	44
England	FW	1961–1970	379	266
England	DF	1963–1975	420	1
Scotland	RW	1964–1968	181	31
England	MF	1964–1972	374	30
Scotland	FW	1964–1974	439	133
England	LB	1964–1975	506	17
Northern Ireland	GK	1964–1977	590	1
England	MF	1966–1969	141	9
Wales	CB	1966–1975	397	19
Ireland	RB	1966–1975	258	2
England	CB	1968–1972	101	5
England	FW	1968–1973	193	35
England	FW	1968–1976	367	174
England	FB	1969–1975	181	4
England	MF	1969–1980	415	49
England	MF	1969–1986	854	39
England	MF	1970–1975	260	76
England	FW	1970–1976	156	11
England	DF	1970–1980	301	4
England	MF	1971–1977	248	23
England	GK	1971–1981	173	0
Scotland	FW	1974–1978	120	62
England	CB	1974–1978	127	14
Jersey	FW	1974–1982	185	42
England	DF	1975–1981	202	10
England	MF	1975–1987	490	110
Northern Ireland	FW	1976–1980	98	16
England	LW	1976–1980	140	33
Ireland	LB	1977–1981	92	2
Argentina	MF	1978–1983	179	25
England	CB	1978–1983	152	3
Argentina	MF	1978–1982 1983–1988	311	25
Wales	MF	1979–1981	62	1
England	FW	1979–1986	236	89
Ireland	MF	1979–1987	273	31
England	DF	1979–1987	285	10
Ireland	FB	1979–1990	398	19
Scotland	FW	1980–1984	189	77
England	FW	1980–1985	182	75
England	CD	1980–1986	287	35
England	GK	1980–1988	37	0
England	MF	1980 -1985 1993 - 1995	170	25
Wales	CD	1981–1984	62	0
England	GK	1981–1987	330	0
England	DF	1982–1998	611	38
England	DF	1983–1987	200	8
England	DF	1983–1987	116	1
Nigeria	RW	1984–1986	75	14
England	FW	1984–1988	135	84
England	LW	1985–1989	173	42
England	MF	1985–1993	370	28
Scotland	DF	1986–1987	65	2
Belgium	FW	1986–1988	63	23
England	MF	1986–1988	54	9
England	FB	1986–1991	157	6
England	MF	1987–1994	247	17
England	MF	1988–1991	112	33
England	FW	1988–1992	171	37
England	FW	1988–1992	156	21
England	DF	1988–1993	118	10
Iceland	DF	1988–1994	86	2
Norway	GK	1988–1996	218	0
England	MF	1988–1998	335	27
England	FW	1989–1992	106	67
Wales	DF	1989–1993	145	0
Spain	MF	1989–1993	144	18
England	CB	1989–1994	211	11
England	FB	1990–2000	276	1
Scotland	FW	1991–1993	78	17
England	GK	1991–2001	313	0
England	FW	1992–1995	108	27
England	FB	1992–1997	150	0
England	CB	1992–2001	315	15
England	FW	1992–1997 2001 - 2003	197 80	99 26
England	RW	1992–2004	358	48
Scotland	DF	1993–1999	199	7
Ireland	RB	1993–2004	270	8
Israel	FW	1994–1997	100	11
Germany	FW	1994–1995 1997–1998	50 18	29 9
Montserrat	RW	1995–2000	129	15
England	FW	1995–2002	173	62
England	MF	1996–1999	100	7
Denmark	MF	1996–2000	115	18
Norway	FW	1996–2003	176	47
France	LW	1997–2000	127	22
England	MF	1997–2003	109	3
England	FW	1997–2003	149	39
Norway	MF	1999–2002	72	11
Germany	MF	1999–2003	131	0
England	DF	1999–2003	146	4
England	MF	1999–2003	118	16
Argentina	DF	1999–2004	156	2
England	CB	1999–2012	315	14
Scotland	GK	2000–2003	81	0
Ireland	CB	2000–2004	77	8
Ukraine	FW	2000–2004	76	13
Wales	MF	2000–2005	146	18
England	CB	2000–2008	144	3
Uruguay	MF	2001–2004	98	23
Germany	FB	2001–2004	55	10
United States	GK	2001–2005	85	0
England	MF	2002–2005	49	4
Ireland	FW	2002 - 2008 2009 - 2011	254 52	107 15
Mali	FW	2003–2005	73	21
England	MF	2004–2006	75	2
England	GK	2004–2008	175	1
England	FW	2004–2008 2009–present	164 164	64 69
Egypt	FW	2005–2007	61	21
Finland	MF	2005–2008	83	3
South Korea	DF	2005–2008	93	0
England	CB	2005–present	282	10
England	MF	2005–2013	181	15
England	MF	2005–2013	202	26
England	RW	2005–present	313	29
Bulgaria	FW	2006–2008	101	46
France	DF	2006–2008 2009 - 2009	98 5	4 0
Ivory Coast	MF	2006–2009	134	0
Cameroon	DF	2006–present	205	4
England	FW	2007–2009	79	25
Wales	LW	2007–2013	203	55
France	DF	2007–2008 2010–present	28 75	4 3
Scotland	DF	2008–2011	66	2
England	DF	2008–2011	65	3
Croatia	DF	2008–2012	109	1
Croatia	MF	2008–2012	69	11
Croatia	MF	2008–2012	162	17
Russia	FW	2008–2012	103	38
England	RW	2008–2013	62	5
Brazil	GK	2008–present	134	0
England	FW	2009–2011	94	24
Honduras	MF	2009–2011	87	1
Cameroon	DF	2009–2012	72	3
England	DF	2009–present	99	4
Netherlands	MF	2010–2012	78	28
France	DF	2010–2013	78	1
Brazil	MF	2010–present	80	2
England	MF	2011–2013	63	0
Togo	FW	2011–present	71	26
United States	GK	2011–present	58	0
