Name	Short name	City	Region	Girone	Home venue
Sacilese Calcio	Sacilese	Sacile	Friuli-Venezia Giulia	C	XXV Aprile-Aldo Castenetto
U.S. Sambenedettese	Sambenedettese	San Benedetto del Tronto	Marche	F	Riviera delle Palme
A.S.D. Sambiase 1962	Sambiase	Lamezia Terme	Calabria	I	Guido D'Ippolito
A.C. Sambonifacese	Sambonifacese	San Bonifacio	Veneto	C	Renzo Tizian
San Basilio Palestrina	San Basilio Palestrina	Palestrina	Lazio	G	Comunale
A.S.D. San Cesareo Calcio	San Cesareo	San Cesareo	Lazio	F	Comunale
SandonàJesoloCalcio	SandonàJesolo	San Donà di Piave	Veneto	C	Verino Zanutto
San Nicolò Calcio	San Nicolò	San Nicolò a Tordino	Abruzzo	F	Comunale ( Teramo )
Calcio San Paolo Padova	San Paolo Padova	Padua	Veneto	C	Plebiscito
A.S.D. Sansepolcro Calcio	Sansepolcro	Sansepolcro	Tuscany	E	Giovanni Buitoni
A.C.D. Sant'Angelo 1907	Sant'Angelo	Sant'Angelo Lodigiano	Lombardy	B	Carlo Chiesa
F.C. Sant'Antonio Abate	Sant'Antonio Abate	Sant'Antonio Abate	Campania	H	Comunale
Santhià Calcio	Santhià	Santhià	Piedmont	A	Fabio Pairotto
A.S.D. Sanvitese	Sanvitese	San Vito al Tagliamento	Friuli-Venezia Giulia	C	Comunale
A.S.D. Sarnese 1926	Sarnese	Sarno	Campania	G	Felice Squitieri
A.C. Savoia 1908	Savoia	Torre Annunziata	Campania	I	Alfredo Giraud
Scandicci Calcio	Scandicci	Scandicci	Tuscany	E	Turri
A.S.D. Selargius Calcio	Selargius	Selargius	Sardinia	G	Generale Porcu
U.S.D. 1913 Seregno Calcio	Seregno	Seregno	Lombardy	B	Ferruccio
U.S.D. Sestri Levante 1919	Sestri Levante	Sestri Levante	Liguria	A	Giuseppe Sivori
A.S.D. G.C. Sora	Sora	Sora	Lazio	G	Claudio Tomei
A.S.D. Sporting Terni	Sporting Terni	Terni	Umbria	E	Mirko Fabrizi
A.S.D. Sporting Club Trestina	Sporting Trestina	Trestina	Umbria	E	Lorenzo Casini
A.S.C. St. Georgen	St. Georgen	Bruneck	Trentino-Alto Adige/Südtirol	B	Comunale
S.P. Tamai	Tamai	Brugnera	Friuli-Venezia Giulia	C	Comunale
A.S.D. Termoli Calcio 1920	Termoli	Termoli	Molise	F	Gino Cannarsa
A.S.D. Todi Calcio	Todi	Todi	Umbria	E	Franco Martelli
A.P.D. Tortona Villalvernia	Tortona Villalvernia	Tortona	Piedmont	A	Fausto Coppi
Trento Calcio 1921	Trento	Trento	Trentino-Alto Adige/Südtirol	B	Stadio Briamasco
A.S.D. Trezzano Calcio	Trezzano	Trezzano sul Naviglio	Lombardy	A	Comunale
A.C.D. Trissino-Valdagno	Trissino-Valdagno	Valdagno	Veneto	C	dei Fiori
F.C. Torre Neapolis 1944	Torre Neapolis	Torre del Greco	Campania	G	Amerigo Liguori
A.S.D. S.E.F. Torres 1903	Torres	Sassari	Sardinia	G	Vanni Sanna
A.S.D. San Miniato Tuttocuoio	Tuttocuoio	San Miniato	Tuscany	D	Leporaia
A.S. Union Quinto	Union Quinto	Quinto di Treviso	Veneto	C	Omobono Tenni
S.S. Verbania Calcio	Verbania	Verbania	Piedmont	A	Carlo Pedroli
F.C. Verbano Calcio	Verbano	Besozzo	Lombardy	A	Comunale
U.S. Vibonese Calcio	Vibonese	Vibo Valentia	Calabria	I	Luigi Razza
Pol. Virtus Castelfranco Calcio	Virtus Castelfranco	Castelfranco Emilia	Emilia-Romagna	D	Fausto Ferrarini
A.S.D. Virtus Pavullese	Virtus Pavullese	Pavullo nel Frignano	Emilia-Romagna	D	Giuseppe Minelli
U.S.D. Virtusvecomp Verona	Virtus Verona	Verona	Veneto	C	Gavagnin
A.S.D. Vis Pesaro 1898	Vis Pesaro	Pesaro	Marche	F	Tonino Benelli
A.S. Viterbese Calcio	Viterbese	Viterbo	Lazio	E	Enrico Rocchi
A.C. Voghera	Voghera	Voghera	Lombardy	B	Giovanni Parisi
Voluntas Calcio Spoleto	Voluntas Spoleto	Spoleto	Umbria	E	Comunale
