Rank	Family	Abbre­viation	Constellation	Area (sq.deg.)	Area (msr)	Per­cent­age	Right ascension (hm)	Decli­nation (dm)	Quad
46	Her	Lup	Lupus	333.683	101.646	0.81%	1513.21	−4242.53	SQ3
47	Her	Sex	Sextans	313.515	95.502	0.76%	1016.29	−0236.88	SQ2
48	Bay	Tuc	Tucana	294.557	89.727	0.71%	2346.64	−6549.80	SQ4
49	Bay	Ind	Indus	294.006	89.559	0.71%	2158.33	−5942.40	SQ4
50	Lac	Oct	Octans	291.045	88.657	0.71%	2300.00	−8209.12	SQ4
51	Ori	Lep	Lepus	290.291	88.428	0.70%	0533.95	−1902.78	SQ1
52	Her	Lyr	Lyra	286.476	87.266	0.69%	1851.17	+3641.36	NQ4
53	Her	Crt	Crater	282.398	86.023	0.68%	1123.75	−1555.74	SQ2
54	Wat	Col	Columba	270.184	82.303	0.65%	0551.76	−3505.67	SQ1
55	Her	Vul	Vulpecula	268.165	81.688	0.65%	2013.88	+2426.56	NQ4
56	Urs	UMi	Ursa Minor	255.864	77.941	0.62%	1500.00	+7741.99	NQ3
57	Lac	Tel	Telescopium	251.512	76.615	0.61%	1919.54	−5102.21	SQ4
58	Lac	Hor	Horologium	248.885	75.815	0.60%	0316.56	−5320.18	SQ1
59	Lac	Pic	Pictor	246.739	75.161	0.60%	0542.46	−5328.45	SQ1
60	Wat	PsA	Piscis Austrinus	245.375	74.745	0.59%	2217.07	−3038.53	SQ4
61	Bay	Hyi	Hydrus	243.035	74.033	0.59%	0220.65	−6957.39	SQ1
62	Lac	Ant	Antlia	238.901	72.773	0.58%	1016.43	−3229.01	SQ2
63	Her	Ara	Ara	237.057	72.212	0.57%	1722.49	−5635.30	SQ3
64	Urs	LMi	Leo Minor	231.956	70.658	0.56%	1014.72	+3208.08	NQ2
65	Wat	Pyx	Pyxis	220.833	67.270	0.54%	0857.16	−2721.10	SQ2
66	Lac	Mic	Microscopium	209.513	63.821	0.51%	2057.88	−3616.49	SQ4
67	Bay	Aps	Apus	206.327	62.851	0.50%	1608.65	−7518.00	SQ3
68	Per	Lac	Lacerta	200.688	61.133	0.49%	2227.68	+4602.51	NQ4
69	Wat	Del	Delphinus	188.549	57.435	0.46%	2041.61	+1140.26	NQ4
70	Her	Crv	Corvus	183.801	55.989	0.45%	1226.52	−1826.20	SQ3
71	Ori	CMi	Canis Minor	183.367	55.857	0.44%	0739.17	+0625.63	NQ2
72	Bay	Dor	Dorado	179.173	54.579	0.43%	0514.51	−5923.22	SQ1
73	Urs	CrB	Corona Borealis	178.710	54.438	0.43%	1550.59	+3237.49	NQ3
74	Lac	Nor	Norma	165.290	50.350	0.40%	1554.18	−5121.09	SQ3
75	Lac	Men	Mensa	153.484	46.754	0.37%	0524.90	−7730.24	SQ1
76	Bay	Vol	Volans	141.354	43.059	0.34%	0747.73	−6948.07	SQ2
77	Bay	Mus	Musca	138.355	42.145	0.34%	1235.28	−7009.66	SQ3
78	Per	Tri	Triangulum	131.847	40.163	0.32%	0211.07	+3128.56	NQ1
79	Bay	Cha	Chamaeleon	131.592	40.085	0.32%	1041.53	−7912.30	SQ2
80	Her	CrA	Corona Australis	127.696	38.898	0.31%	1838.79	−4108.85	SQ4
81	Lac	Cae	Caelum	124.865	38.036	0.30%	0442.27	−3752.90	SQ1
82	Lac	Ret	Reticulum	113.936	34.707	0.28%	0355.27	−5959.85	SQ1
83	Her	TrA	Triangulum Australe	109.978	33.501	0.27%	1604.95	−6523.28	SQ3
84	Her	Sct	Scutum	109.114	33.238	0.26%	1840.39	−0953.32	SQ4
85	Lac	Cir	Circinus	93.353	28.437	0.23%	1434.54	−6301.82	SQ3
86	Her	Sge	Sagitta	79.932	24.349	0.19%	1939.05	+1851.68	NQ4
87	Wat	Equ	Equuleus	71.641	21.823	0.17%	2111.26	+0745.49	NQ4
88	Her	Cru	Crux	68.447	20.850	0.17%	1226.99	−6011.19	SQ3
