Name/Name of Act	Age(s)	Genre	Act	Hometown	Qtr. Final (Week)	Semi Final (Week)	Position Reached
Swing Shift Side Show	30-31	Performing	Sideshow Performers	Las Vegas , Nevada	6	N/A	Eliminated
The Hot Shot Tap Dancers	19-25	Dancing	Tap Dancers	Portland, Oregon	16	N/A	Eliminated
Airpocalypse	22-40	Performing	Air Band	Seattle, Washington	1	N/A	Eliminated
Austin Anderson	31	Comedy	Stand-Up Comedian	Omaha, Nebraska	5	N/A	Eliminated
Booker Forte	21	Dancing	Hip-Hop Dancer	Richmond, Virginia	5	N/A	Eliminated
Cam Hodges	22	Singing	Singer	Seattle, Washington	5	N/A	Eliminated in Judges' Choice
Cheer SF	19-52	Dancing	Cheerleaders	San Francisco, California	2	N/A	Eliminated
Chipps Cooney	61	Comedy	Magician/Comedian	Edgewater, New Jersey	3	N/A	Eliminated
Da Maniacs	25-56	Dancing	Overweighted Dance Troupe	Dallas, Texas	4	N/A	Eliminated
Dylan Plummer	12	Performing	Jump Rope Artist	Cincinnati, Ohio	5	N/A	Eliminated
Hannibal Means	59	Singing	Opera Singer	Vienna, Austria	2	N/A	Eliminated
Iron Horse	22-27	Musical	Rockabilly Band	Crete, Illinois	2	N/A	Eliminated
Kaya & Sadie	32-36	Dancing	Bellydancers	Denver, Colorado	3	N/A	Eliminated in Judges' Choice
Kung Fu Heroes	23-31	Performing	Martial Arts Group	Costa Mesa, California	1	N/A	Eliminated
Lil Chris	12	Singing	Singer	Sarasota, Florida	2	N/A	Eliminated
Lindsey Stirling	23	Musical	ist Violin	Provo, Utah	4	N/A	Eliminated
Luigi	20	Singing	Singer	Highland, California	3	N/A	Eliminated
Maricar	38	Performing	Burlesque Painter	Los Angeles, California	1	N/A	Eliminated
Mary Ellen	74	Singing	Yodeler/Singer	Manheim, Pennsylvania	4	N/A	Eliminated
Mona Sampath Dance Company	9-31	Dancing	Bollywood Dance Troupe	Sunnyvale, California	2	N/A	Eliminated
Nick Pike	30	Performing	Daredevil	Myrtle Beach, South Carolina	1	N/A	Eliminated
NU Covenant	21-27	Singing	Gospel Group	Cleveland, Ohio	4	N/A	Eliminated
Paul Safy Jr.	26	Singing	Singer	New York, New York	1	N/A	Eliminated
Pizza Patt	27	Performing	Pizza Dough Juggler	Columbus, Ohio	5	N/A	Eliminated
Pup	58 & ?	Musical	Accordion Playing Dog	Redwood City, California	5	N/A	Eliminated
PLUtonic	19-28	Singing	A cappella Group	Tacoma, Washington	5	N/A	Eliminated
Polina Volchek	24	Performing	Gymnast	Las Vegas , Nevada	3	N/A	Eliminated
Ronith	59	Performing	Impersonator	Seattle, Washington	2	N/A	Eliminated
Ryan Rodriguez	29	Dancing	Dancer	Santa Cruz, California	5	N/A	Eliminated
Sally Cohn	75	Musical	Hand Whistler	Portland Oregon	1	N/A	Eliminated
Strikers All Stars	22-26	Dancing	Dance Crew	Hollywood, California	4	N/A	Eliminated
The South Philly Vikings	16-56	Dancing	Dance Troupe	Philadelphia, Pennsylvania	3	N/A	Eliminated
The Strange Familiar	27	Musical	Band	Woodland Hills, California	3	N/A	Eliminated
The Strong Man	43	Performing	Strongman	Pesotum, Illinois	2	N/A	Eliminated
