Date	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
May 8	7L	$7.50 Heads-up No Limit Hold'em	HustlaStylez	$8,383.70	16,384	$114,688	12 h 16 min
May 8	7M	$82 Heads-up No Limit Hold'em	jotothejo	$31,037.47	3,928	$294,600	13 h 04 min
May 8	7H	$700 Heads-up No Limit Hold'em	shurgar	$80,350.76	793	$531,310	12 h 42 min
May 8	8L	$11 No Limit Hold'em	MaTpacuk	$19,702.08*	22,455	$224,550	[2-Day] event
May 8	8M	$109 No Limit Hold'em	sandman201	$65,971.25*	5,842	$584,200	[2-Day] event
May 8	8H	$1,050 No Limit Hold'em	Pollopopeye	$229,212.80	1,328	$1,328,000	[2-Day] event
May 9	9L	$27 No Limit Hold'em [SuperKnockout]	SilverSurfR1	$26,312.62	18,757	$243,841.00	15 h 06 min
May 9	9M	$215 No Limit Hold'em [SuperKnockout]	blujays888	$55,435.50*	3,913	$403,039.00	17 h 15 min
May 9	9H	$2,100 No Limit Hold'em [SuperKnockout]	spirox21	$110,228.61	566	$580,150	18 h 25 min
May 9	10L	$27 Seven-Card Stud	HelKingPin	$10,268.55	2,416	$60,400	10 h 39 min
May 9	10M	$215 Seven-Card Stud	cyberkanguru	$14,630	380	$76,000	11 h 27 min
May 9	10H	$2,100 Seven-Card Stud	shaundeeb ( Shaun Deeb )	$41,600	64	$128,000	14 h 37 min
May 9	11L	$7.50 Pot Limit Omaha H/L [6-max]	tourplaya	$5,000.39*	5,925	$41,475.00	11 h 50 min
May 9	11M	$82 Pot Limit Omaha H/L [6-max]	eityby55	$19,689.44	1,591	$119,325	13 h 11 min
May 9	11H	$700 Pot Limit Omaha H/L [6-max]	lukro8	$47,315.48	321	$215,070	15 h 28 min
May 10	12L	$27 Heads-up Pot-Limit Omaha	kmoh20	$7,639.80*	3,312	$82,825	[2-Day] event
May 10	12M	$215 Heads-up Pot-Limit Omaha	Krumpir	25,573.18*	939	$187,800	[2-Day] event
May 10	12H	$2,100 Heads-up Pot-Limit Omaha	Shizzleness	$103,840	236	$472,000	[2-Day] event
May 10	13L	$27 No Limit Hold’em [Knockout]	agahlol	$41,661.49	17,806	$356,120	[2-Day] event
May 10	13M	$265 No Limit Hold’em [Knockout]	trujustrus	82,379.28*	3,329	$665,800	[2-Day] event
May 10	13H	$2,600 No Limit Hold’em [Knockout]	ROSTBURK	$190,380	501	$1,002,000	[2-Day] event
May 11	14L	$7.50 No Limit Hold’em [Ante Up]	J_Marcos (João Marcos Navarro)	$9,423.38*	13,223	$92,561	[2-Day] event
May 11	14M	$82 No Limit Hold’em [Ante Up]	Zackattak13	$23,965.24	1,997	$149,775	[2-Day] event
May 11	14H	$700 No Limit Hold’em [Ante Up]	kleath	$41,391.90*	372	$249,240	[2-Day] event
May 11	15L	$27 Fixed-Limit Omaha H/L	naurits	$10,503.86*	1,849	$92,450	10 h 40 min
May 11	15M	$215 Fixed-Limit Omaha H/L	TurnRiva (Tim Marsters)	$21,735	575	$115,000	11 h 00 min
May 11	15H	$2,100 Fixed-Limit Omaha H/L	Borys313	$57,750	105	$210,000	12 h 09 min
May 11	16L	$27 No Limit Hold’em [2X Chance, Turbo]	PetjeXL	$62,255.69	12,572 (5,669 re-buys)	$456,025	5 h 19 min
May 11	16M	$215 No Limit Hold’em [2X Chance, Turbo]	gast117	$108,000*	2,710 (1,186 re-buys)	$779,200	4 h 46 min
May 11	16H	$2,100 No Limit Hold’em [2X Chance, Turbo]	B00mslang	$259,832.60	474 (203 re-buys)	$1,354,000	3 h 50 min
May 12	17L	$27 No Limit Hold’em [4x-Shootout, 10 player Max]	nebo_blizko	$23,591.56*	6,952	$173,800	13 h 11 min
May 12	17M	$215 No Limit Hold’em [3x-Shootout, 10 player Max]	FlyingSumo (Daniel Hersvik)	$31,950*	1,000	$200,000	12h 45 min
May 12	18L	$11 Pot Limit Omaha w/rebuys [6-Max]	Anywhat	$27,199.34	5,783 (8,031 R, 4,019 A)	$178,330	13 h 03 min
May 12	18M	$109 Pot Limit Omaha w/rebuys [6-Max]	Fiskin1	$61,087.31	1,146 (1,584 R, 917 A)	$364,700	13 h 01 min
May 12	18H	$1,050 Pot Limit Omaha w/rebuys [6-Max]	MrCoco ( Julian Gardner )	$118,606.67*	241 (230 R, 211 A)	$682,000	15 h 21 min
May 12	19L	$27 Triple Stud	Drew M Scott	$8,348	1,908	$47,700	11 h 05 min
May 12	19M	$215 Triple Stud	PerpCzech	$13,744.50	357	$71,400	11 h 16 min
May 12	19H	$2,100 Triple Stud	shaundeeb (Shaun Deeb)	$44,200	68	$136,000	12 h 32 min
May 13	20L	$27 No Limit Hold’em	ArielBahia (Ariel Celestino)	$55,048.04	22,013	$550,325	[2-Day] event
May 13	20M	$215 No Limit Hold’em	raidalot	$172,575.88	5,516	$1,103,200	[2-Day] event
May 13	20H	$2,100 No Limit Hold’em	SUNDAYKING	$293,250	782	$1,564,000	[2-Day] event
May 13	21L	$27 No Limit Hold’em	feloone	$46,492.19*	24,185	$604,625	[2-Day] event
May 13	21M	$215 No Limit Hold’em	AJacejackAJ	$224,595	7,383	$1,476,600	[2-Day] event
May 13	21H	$2,100 No Limit Hold’em	ministerborg	$344,262	951	$1,902,000	[2-Day] event
May 14	22L	$11 Mixed No Limit Hold’em/Pot Limit Omaha	CMoosepower	$11,125.72*	8,352	$83,520	11 h 37 min
May 14	22M	$109 Mixed No Limit Hold’em/Pot Limit Omaha	GermanBraine	$25,784.68*	1,903	$190,300	13 h 27 min
May 14	22H	$1,050 Mixed No Limit Hold’em/Pot Limit Omaha	marroca5 (Mayu Roca)	$83,668.40	436	$436,000	14 h 47 min
May 14	23L	$27 No Limit Hold'em [4-Max]	Faaalk	$12,676.12*	10,523	$263,075	13 h 28 min
May 14	23M	$215 No Limit Hold'em [4-Max]	forhayley	$68,125.68	2,205	$441,000	14 h 47 min
May 14	23H	$2,100 No Limit Hold'em [4-Max]	pistons87 (Ankush Mandavia)	$106,336.85*	395	$790,000	15 h 10 min
May 14	24L	$11 Pot Limit Omaha [1R1A] [Turbo]	Darreta	$18,839.53	5,552 (4,111 R, 2,378 A)	$120,410	4 h 29 min
May 14	24M	$109 Pot Limit Omaha [1R1A] [Turbo]	niccc (Nicolas Chouity)	$47,063.58*	1,364 (1,038) R, 676 A)	$307,800	4 h 21 min
May 14	24H	$1,050 Pot Limit Omaha [1R1A] [Turbo]	MaiseE	$107,422.89*	282(213 R, 147 A)	$642,000	3 h 21 min
May 15	25L	$11 2-7 Triple Draw	Flakon2010	$3,212.32*	2,911	$29,110	13 h 08 min
May 15	25M	$109 2-7 Triple Draw	Hefty.TILT	$10,260	540	$54,000	13 h 13 min
May 15	25H	$1,050 2-7 Triple Draw	joacowalter	$30,680	118	$118,000	14 h 05 min
May 15	26L	$27 Seven Card Stud [High/Low]	Jorj95 ( George Lind )	$9,352.58	2,178	$54,450	10 h 51 min
May 15	26M	$215 Seven Card Stud [High/Low]	texaspl	$17,176	452	$90,400	11 h 08 min
May 15	26H	$2,100 Seven Card Stud [High/Low]	shaundeeb ( Shaun Deeb )	$40,330	74	$148,000	12 h 24 min
May 15	27L	$11 No Limit Hold'em	padjes	$20,817.56	19,289	$192,890	[2-Day] event
May 15	27M	$109 No Limit Hold'em	dean23price (Dean Price)	$78,316.26	4,992	$499,200	[2-Day] event
May 15	27H	$1,050 No Limit Hold'em	Hans-jörg029	$167,321.23*	1,179	$1,179,000	[2-Day] event
May 16	28L	$27 Razz	Mr-G450	$9,377.42	2,184	$54,600	10 h 54 min
May 16	28M	$215 Razz	Jamie_KK	$17,556	462	$92,400	11 h 36 min
May 16	28H	$2,100 Razz	buck21 ( Shawn Buchanan )	$44,145	81	$162,000	12 h 33 min
May 16	29L	$11 No Limit Hold'em w/rebuys [Big Antes]	tua133	$42,544.38	9,995 (11,891 R, 7,032 A)	$289,180	[2-Day] event
May 16	29M	$109 No Limit Hold'em w/rebuys [Big Antes]	djk123 ( Dan Kelly )	$73,040.06*	1,660 (1,879 R, 1,375 A)	$491,400	[2-Day] event
May 16	29H	$1,050 No Limit Hold'em w/rebuys [Big Antes]	Gribnogrib	$159,101	277 (249 R, 252 A)	$778,000	[2-Day] event
May 17	31L	$27 8-Game	The Cooker	$11,621.43	2,951	$73,775	11 h 20 min
May 17	31M	$215 8-Game	jay3400	$21,926	577	$115,400	10 h 47 min
May 17	31H	$2,100 8-Game	Genius28 (Chris Lee)	$58,315	107	$214,000	12 h 18 min
May 17	32L	$27 Pot Limit Omaha H/L	DamienRise	$9,149*	4,282	$107,050	[2-Day] event
May 17	32M	$215 Pot Limit Omaha H/L	sitation	$32,832	912	$182,400	[2-Day] event
May 17	32H	$2,100 Pot Limit Omaha H/L	bleu329	$64,400	140	$280,000	[2-Day] event
May 18	33L	$27 No Limit Hold'em [1R1A]	PaDiLhA SP (Pedro Padilha)	$70,624.32	8,987 (5,873 R, 3,972 A)	$470,800	14 h 27 min
May 18	33M	$215 No Limit Hold'em [1R1A]	im2tight	$94,727.56*	1,425 (1,041 R, 852A)	$663,600	15 h 24 min
May 18	33H	$2,100 No Limit Hold'em [1R1A]	The-Toilet 0 ( Faraz Jaka )	$173,720	175 (120 R, 109 A)	$808,000	15 h 26 min
May 18	34L	$55 Limit Hold’em [6-Max]	BreezyWest	$11,632.67*	2,092	$104,600	9 h 44 min
May 18	34M	$530 Limit Hold’em [6-Max]	C. Darwin2	$38,232.50	373	$186,500	10 h 15 min
May 18	34H	$5,200 Limit Hold’em [6-Max]	ibadbeatyou	$93,000	62	$310,000	9 h 23 min
May 18	35L	$27 No Limit Omaha H/L	UhhMee (Ami Barer)	$11,578.96	2,931	$73,275	12 h 2 min
May 18	35M	$215 No Limit Omaha H/L	kev19 (Kevin Tanner)	$23,199.20	617	$123,400	13 h 54 min
May 18	35H	$2,100 No Limit Omaha H/L	plplaya	$41,600*	93	$186,000	12 h 09 min
May 19	36L	$55 Pot Limit Omaha [6-Max]	LuckyBoxxi	$26,000*	3,289	$164,450	11 h 24 min
May 19	36M	$530 Pot Limit Omaha [6-Max]	Sowerss (Mike Sowers)	$61,290	681	$340,500	11 h 28 min
May 19	36H	$5,200 Pot Limit Omaha [6-Max]	lb6121( Luke Schwartz )	$174,200	134	$670,000	14 h 36 min
May 19	37L	$215 No Limit Hold'em [Heads-up]	sonik4	$42,768.04	1,414	$282,800	[2-DAY] Event
May 19	37M	$2,100 No Limit Hold'em [Heads-up]	w00tLOL	$102,160*	256	$512,000	[2-DAY] Event
May 19	37H	$21,000 No Limit Hold'em [Heads-up]	Sauce123 (Ben Sulsky)	$258,300	32	$574,000	[2-DAY] Event
May 19	38L	$27 HORSE	DaniRiquelme	$10,250*	2,656	$66,400	11 h 21 min
May 19	38M	$215 HORSE	Drew M Scott	$20,676.60	547	$109,400	10 h 46 min
May 19	38H	$2,100 HORSE	shaundeeb ( Shaun Deeb )	$46,325	85	$170,000	11 h 9 min
May 20	39L	$27 No Limit Hold’em [6-Max]	lucas drolet	$53,646.33*	20,838	$520,950	[2-DAY] Event
May 20	39M	$215 No Limit Hold’em [6-Max]	skllzdatklls	$159,425.30	5,227	$1,045,400	[2-DAY] Event
May 20	39H	$2,100 No Limit Hold’em [6-Max]	7tHEcROw7	$298,200	840	$1,680,000	[2-DAY] Event
May 20	40L	$109 No Limit Hold'em Main Event	john_tri80	$198,725.75*	22,128	$2,212,800	[2-DAY] Event
May 20	40M	$1,050 No Limit Hold'em Main Event	suarez_BG	$560,019	3,567	$3,567,000	[2-DAY] Event
