NSG Nr.	Name of the nature reserve	District / Town	Area (ha)	Date established
99	Dünenlandschaft auf dem Roten Kliff /Sylt	Nordfriesland	151,42	19790305 05.03.1979
100	Nienwohlder Moor	Segeberg, Stormarn	455,11	19820325 25.03.1982
101	Weißes Moor	Dithmarschen	50,91	19790403 03.04.1979
102	Fröslev-Jardelunder Moor	Schleswig-Flensburg	224,55	19841215 30.05.1984
103	Inseln im Großen Plöner See und Halbinsel Störland	Plön	260,28	19921125 25.11.1992
104	Bültsee und Umgebung	Rendsburg-Eckernförde	57,41	19820603 03.06.1982
105	Bewaldete Düne bei Noer	Rendsburg-Eckernförde	46,09	19810717 17.07.1981
106	Hansdorfer Brook	Stormarn	264,59	19810708 08.07.1981
107	Überschwemmungswiesen Jägerslust	Rendsburg-Eckernförde	16,21	19821229 05.10.1982
108	Sehlendorfer Binnensee und Umgebung	Plön	226,79	19891222 22.12.1989
109	Wittmoor	Segeberg, Stormarn	106,31	19811008 08.10.1981
110	Dosenmoor	Stadt Neumünster, Plön, Rendsburg-Eckernförde	546,11	19880318 18.03.1988
111	Baggersee Hohenfelde	Steinburg	23,35	19851223 23.12.1985
112	Schellbruch	Stadt Lübeck	147,16	19811130 30.11.1981
113	Borstgrasrasen bei Alt Mölln	Herzogtum Lauenburg	11,96	19851223 23.12.1985
114	Schwentine Oxbow Lake (Altarm der Schwentine)	Plön	18,85	19840827 27.08.1984
115	Kossautal	Plön	105,73	19841231 31.12.1984
116	Barsbeker See und Umgebung	Plön	148,49	19820914 14.09.1982
117	Fuhlensee und Umgebung	Plön	41,71	19831215 15.12.1983
118	Aalbek-Niederung	Ostholstein	310,19	19841231 31.12.1984
119	Neustädter Binnenwasser	Ostholstein	276,19	19841231 31.12.1984
120	Schulensee und Umgebung	Rendsburg-Eckernförde, Stadt Kiel	65,30	19860731 31.07.1986
121	Mühlenbachtal bei Trittau	Stormarn	92,40	19860605 05.06.1986
122	Billetal	Herzogtum Lauenburg, Stormarn	190,36	19870814 14.08.1987
123	Baggerkuhle Gribbohm	Steinburg	18,84	19861223 23.12.1986
124	Kronenloch/ Speicherkoog Dithmarschen	Dithmarschen	532,38	19851223 23.12.1985
125	Wöhrdener Loch/ Speicherkoog Dithmarschen	Dithmarschen	496,96	19941216 16.12.1994
126	Schwansener See	Rendsburg-Eckernförde	202,00	19871229 29.12.1987
127	Oldenburger See und Umgebung	Herzogtum Lauenburg	123,14	19860924 24.09.1986
130	Hellbachtal mit Lottsee, Krebssee und Schwarzsee	Herzogtum Lauenburg	163,62	19870722 22.07.1987
131	Moorgebiet Kranika	Stormarn	95,74	19931216 16.12.1993
132	Lübbersdorfer Kiesgrube	Ostholstein	9,94	19891222 22.12.1989
133	Talhänge bei Göttin	Herzogtum Lauenburg	71,05	19900329 29.03.1990
134	Trendelmoor	Herzogtum Lauenburg	12,60	19871120 20.11.1987
135	Dannauer See und Umgebung	Plön	43,47	19930420 20.04.1993
136	Grüne Insel mit Eiderwatt	Dithmarschen, Nordfriesland	981,10	19891215 15.12.1989
137	Tal der Langballigau	Schleswig-Flensburg	129,53	19901213 13.12.1990
138	Holmmoor	Pinneberg	110,06	19940322 22.03.1994
139	Eschschallen im Seestermüher Vorland	Pinneberg	277,71	19910402 02.04.1991
140	Ahrensee und nordöstlicher Westensee	Rendsburg-Eckernförde	116,75	19880519 19.05.1988
141	Wennebeker Moor und Wennebekniederung	Rendsburg-Eckernförde	368,00	19930430 30.04.1993
142	Hohes Elbufer zwischen Tesperhude und Lauenburg	Herzogtum Lauenburg	468,53	19930112 12.01.1993
143	Besenhorster Sandberge und Elbsandwiesen	Herzogtum Lauenburg	150,59	19931214 14.12.1993
144	Alte Sorge -Schleife	Schleswig-Flensburg	658,88	19910919 19.09.1991
145	Wildes Moor bei Schwabstedt	Nordfriesland	636,55	19921125 25.11.1992
146	Beltringharder Koog	Nordfriesland	3.372,68	19911219 19.12.1991
147	Buttermoor/Butterbargsmoor	Pinneberg	109,05	19921214 14.12.1992
148	Liether Kalkgrube	Pinneberg	15,51	19911018 18.10.1991
149	Fieler Moor	Dithmarschen	258,26	19931216 16.12.1993
150	Büchener Sander	Herzogtum Lauenburg	100,52	19901212 12.12.1990
151	Ehemalige Baggergrube östlich Basedow	Herzogtum Lauenburg	57,41	19911216 16.12.1991
152	ufer Mechower See	Herzogtum Lauenburg	30,62	19921104 04.11.1992
153	Eichenkratt und Kiesgrube südlich Böxlund	Schleswig-Flensburg	23,02	19901213 13.12.1990
155	Halbinsel Holnis	Schleswig-Flensburg	364,87	19930430 30.04.1993
156	Hohner See	Rendsburg-Eckernförde	368,00	19930430 30.04.1993
157	Strandseelandschaft bei Schmoel	Plön	54,76	19901212 12.12.1990
158	Ehemaliger Fuhlensee	Dithmarschen	22,76	19901214 14.12.1990
159	Culpiner See	Herzogtum Lauenburg	28,76	19931008 08.10.1993
160	ufer Lankower See , Grammsee und Umgebung	Herzogtum Lauenburg	188,76	19941108 08.11.1994
161	Tävsmoor/Haselauer Moor	Pinneberg	154,27	19950418 18.04.1995
162	ufer Goldensee und Umgebung	Herzogtum Lauenburg	50,23	19930924 24.09.1993
163	Elbinsel Pagensand	Pinneberg	528,25	19970509 09.05.1997
164	Rhinplate und Elbufer südlich Glückstadt	Steinburg	473,60	20001205 05.12.2000
165	Dalbekschlucht	Herzogtum Lauenburg	74,65	19941222 22.12.1994
166	Stapelfelder Moor	Stormarn	15,34	19951106 06.11.1995
167	Heidkoppelmoor und Umgebung	Stormarn	62,46	19950519 19.05.1995
168	Lauenburger Elbvorland	Herzogtum Lauenburg	56,33	19950812 12.08.1995
169	Ostufer des s Großen Ratzeburger See	Herzogtum Lauenburg	237,66	20000302 02.03.2000
170	Kasseedorfer Teiche und Umgebung	Ostholstein	131,01	19960822 22.08.1996
171	Spülflächen Schachtholm	Rendsburg-Eckernförde	124,39	19950117 17.01.1995
172	Kührener Teich und Umgebung	Plön	78,55	19941221 21.12.1994
173	Pantener Moorweiher und Umgebung	Herzogtum Lauenburg	146,79	19961220 20.12.1996
174	Ehemaliger Fieler See	Dithmarschen	131,02	19981222 22.12.1998
175	Oldenburger Bruch	Ostholstein	355,10	19981207 07.12.1998
176	Steinerne Rinne und Mechower Holz	Herzogtum Lauenburg	188,95	20040802 02.08.2004
177	Wakenitz	Herzogtum Lauenburg, Stadt Lübeck	599,57	19990420 20.04.1999
178	Südlicher Priwall	Stadt Lübeck	147,20	19980819 19.08.1998
179	Tönsheider Wald	Rendsburg-Eckernförde	64,64	19951010 10.10.1995
180	Ruppersdorfer See	Ostholstein	74,26	19991109 09.11.1999
181	n Middelburger See	Ostholstein	118,74	19991209 09.12.1999
182	Oberer Herrenteich	Stormarn	66,07	19991101 01.11.1999
183	Höltigbaum	Stormarn	285,49	19971215 15.12.1997
184	Fockbeker Moor	Rendsburg-Eckernförde	380,35	20020903 03.09.2002
186	Twedter Feld	Stadt Flensburg	89,18	20030320 20.03.2003
187	Ammersbek-Niederung	Stormarn	328,42	20020529 29.05.2002
188	Hevenbruch	Herzogtum Lauenburg	179,81	20030401 01.04.2003
189	Stecknitz - Delvenau -Niederung	Herzogtum Lauenburg	613,34	20020227 27.02.2002
190	Suhrer See und Umgebung	Plön	269,91	20030813 13.08.2003
191	Ritzerauer Hofsee und Duvenseebachniederung	Herzogtum Lauenburg	120,45	20040630 30.06.2004
197	Talwald Hahnenkoppel	Stormarn	32,79	20040707 07.07.2004
