Representative	Title	Presentation of Credentials	Termination of Mission	Appointed by
Jesse S. Cottrell	Envoy Extraordinary and Minister Plenipotentiary	January 6, 1922	January 26, 1928	Warren G. Harding
David E. Kaufman	Envoy Extraordinary and Minister Plenipotentiary	May 30, 1928	January 10, 1929	Calvin Coolidge
Edward F. Feely	Envoy Extraordinary and Minister Plenipotentiary	September 23, 1930	September 29, 1933	Herbert Hoover
Fay A. Des Portes	Envoy Extraordinary and Minister Plenipotentiary	November 15, 1933	May 1, 1936	Franklin D. Roosevelt
R. Henry Norweb	Envoy Extraordinary and Minister Plenipotentiary	August 10, 1936	June 15, 1937	Franklin D. Roosevelt
Robert Granville Caldwell	Envoy Extraordinary and Minister Plenipotentiary	August 21, 1937	June 23, 1939	Franklin D. Roosevelt
Douglas Jenkins	Envoy Extraordinary and Minister Plenipotentiary	October 26, 1939	October 3, 1941	Franklin D. Roosevelt
Pierre de Lagarde Boal	Ambassador Extraordinary and Plenipotentiary	May 23, 1942	February 5, 1944	Franklin D. Roosevelt
Walter C. Thurston	Ambassador Extraordinary and Plenipotentiary	November 16, 1944	January 3, 1946	Franklin D. Roosevelt
Joseph Flack	Ambassador Extraordinary and Plenipotentiary	July 15, 1946	May 17, 1949	Harry S. Truman
Irving Florman	Ambassador Extraordinary and Plenipotentiary	February 27, 1950	September 4, 1951	Harry S. Truman
Edward J. Sparks	Ambassador Extraordinary and Plenipotentiary	June 13, 1952	October 29, 1954	Harry S. Truman
Gerald A. Drew	Ambassador Extraordinary and Plenipotentiary	December 8, 1954	April 6, 1957	Dwight D. Eisenhower
Philip W. Bonsal	Ambassador Extraordinary and Plenipotentiary	May 10, 1957	February 6, 1959	Dwight D. Eisenhower
Carl W. Strom	Ambassador Extraordinary and Plenipotentiary	May 4, 1959	May 8, 1961	Dwight D. Eisenhower
Ben S. Stephansky	Ambassador Extraordinary and Plenipotentiary	June 29, 1961	October 15, 1963	John F. Kennedy
Douglas Henderson	Ambassador Extraordinary and Plenipotentiary	December 7, 1963	August 6, 1968	Lyndon B. Johnson
Raúl H. Castro	Ambassador Extraordinary and Plenipotentiary	September 3, 1968	November 3, 1969	Lyndon B. Johnson
Ernest V. Siracusa	Ambassador Extraordinary and Plenipotentiary	December 5, 1969	July 30, 1973	Richard Nixon
William Perry Stedman, Jr.	Ambassador Extraordinary and Plenipotentiary	October 3, 1973	June 23, 1977	Richard Nixon
Paul M. Boeker	Ambassador Extraordinary and Plenipotentiary	October 26, 1977	February 17, 1980	Jimmy Carter
Marvin Weissman	Ambassador Extraordinary and Plenipotentiary	March 26, 1980	July 20, 1980	Jimmy Carter
Alexander Watson	Chargé d'Affaires ad interim	July 1980	September 1981	Jimmy Carter
Edwin G. Corr	Ambassador Extraordinary and Plenipotentiary	December 10, 1981	August 9, 1985	Ronald Reagan
Edward Morgan Rowell	Ambassador Extraordinary and Plenipotentiary	August 20, 1985	January 19, 1988	Ronald Reagan
Robert S. Gelbard	Ambassador Extraordinary and Plenipotentiary	October 11, 1988	July 20, 1991	George H. W. Bush
Charles R. Bowers	Ambassador Extraordinary and Plenipotentiary	August 23, 1991	October 7, 1994	George H. W. Bush
Curtis Warren Kamman	Ambassador Extraordinary and Plenipotentiary	November 16, 1994	November 26, 1997	Bill Clinton
Donna Jean Hrinak	Ambassador Extraordinary and Plenipotentiary	January 14, 1998	July 17, 2000	Bill Clinton
V. Manuel Rocha	Ambassador Extraordinary and Plenipotentiary	August 4, 2000	April 27, 2002	George W. Bush
David N. Greenlee	Ambassador Extraordinary and Plenipotentiary	January 17, 2003	May 10, 2006	George W. Bush
Philip S. Goldberg	Ambassador Extraordinary and Plenipotentiary	October 13, 2006	September 10, 2008	George W. Bush
Krishna R. Urs	Chargé d’Affaires a.i.	September 15, 2008	June 25, 2009	George W. Bush
James Creagan	Chargé d’Affaires a.i.	June 25, 2009	August 28, 2009	Barack Obama
John S. Creamer	Chargé d’Affaires a.i.	August 28, 2009	July 13, 2012	Barack Obama
Larry L. Memmott	Chargé d’Affaires a.i.	July 14, 2012	Incumbent	Barack Obama
