Constellation	IAU abbreviation	Other abbreviation	Genitive	Family	Origin	Meaning	Brightest star
Capricornus /ˌkæprɨˈkɔrnəs/	Cap	Capr	Capricorni /ˌkæprɨˈkɔrnaɪ/	Zodiac	ancient ( Ptolemy )	sea goat	Deneb Algiedi
Carina /kəˈraɪnə/	Car	Cari	Carinae /kəˈraɪniː/	Heavenly Waters	1763, Lacaille , split from Argo Navis	keel	Canopus
Cassiopeia /ˌkæsi.ɵˈpiːə/	Cas	Cass	Cassiopeiae /ˌkæsi.ɵˈpiː.iː/	Perseus	ancient ( Ptolemy )	Cassiopeia (mythological character)	Shedir
Centaurus /sɛnˈtɔrəs/	Cen	Cent	Centauri /sɛnˈtɔraɪ/	Hercules	ancient ( Ptolemy )	centaur	Rigil Kentaurus
Cepheus /ˈsiːfiəs/, /ˈsiːfjuːs/	Cep	Ceph	Cephei /ˈsiːfiaɪ/	Perseus	ancient ( Ptolemy )	Cepheus (mythological character)	Alderamin
Cetus /ˈsiːtəs/	Cet	Ceti	Ceti /ˈsiːtaɪ/	Perseus	ancient ( Ptolemy )	sea monster (later interpreted as a whale )	Deneb Kaitos
Circinus /ˈsɜrsɨnəs/	Cir	Circ	Circini /ˈsɜrsɨnaɪ/	La Caille	1763, Lacaille	compass (drawing tool)	α Circini
Columba /kɵˈlʌmbə/	Col	Colm	Columbae /kɵˈlʌmbiː/	Heavenly Waters	1592, Plancius , split from Canis Major	dove	Phact
Coma Berenices /ˈkoʊmə bɛrəˈnaɪsiːz/	Com	Coma	Comae Berenices /ˈkoʊmiː bɛrəˈnaɪsiːz/	Ursa Major	1603, Uranometria , split from Leo	Berenice 's hair	β Comae Berenices
Corvus /ˈkɔrvəs/	Crv	Corv	Corvi /ˈkɔrvaɪ/	Hercules	ancient ( Ptolemy )	crow	Gienah
Crater /ˈkreɪtər/	Crt	Crat	Crateris /krəˈtɪərɨs/	Hercules	ancient ( Ptolemy )	cup	Labrum
Crux /ˈkrʌks/	Cru	Cruc	Crucis /ˈkruːsɨs/	Hercules	1603, Uranometria , split from Centaurus	southern cross	Acrux
Cygnus /ˈsɪɡnəs/	Cyg	Cygn	Cygni /ˈsɪɡnaɪ/	Hercules	ancient ( Ptolemy )	swan or Northern Cross	Deneb
Delphinus /dɛlˈfaɪnəs/	Del	Dlph	Delphini /dɛlˈfaɪnaɪ/	Heavenly Waters	ancient ( Ptolemy )	dolphin	Rotanev
Draco /ˈdreɪkoʊ/	Dra	Drac	Draconis /drəˈkoʊnɨs/	Ursa Major	ancient ( Ptolemy )	dragon	Etamin
Equuleus /ɨˈkwuːliəs/	Equ	Equl	Equulei /ɨˈkwuːliaɪ/	Heavenly Waters	ancient ( Ptolemy )	pony	Kitalpha
Eridanus /ɨˈrɪdənəs/	Eri	Erid	Eridani /ɨˈrɪdənaɪ/	Heavenly Waters	ancient ( Ptolemy )	river Eridanus (mythology)	Achernar
Fornax /ˈfɔrnæks/	For	Forn	Fornacis /fɔrˈneɪsɨs/	La Caille	1763, Lacaille	chemical furnace	Fornacis
Gemini /ˈdʒɛmɨnaɪ/	Gem	Gemi	Geminorum /ˌdʒɛmɨˈnɒrəm/	Zodiac	ancient ( Ptolemy )	s twin	Pollux
Hercules /ˈhɜrkj ʊ liːz/	Her	Herc	Herculis /ˈhɜrkj ʊ lɨs/	Hercules	ancient ( Ptolemy )	Hercules (mythological character)	Kornephoros
Horologium /ˌhɒrəˈlɒdʒiəm/, /ˌhɒrəˈloʊdʒiəm/	Hor	Horo	Horologii /ˌhɒrəˈloʊdʒiaɪ/	La Caille	1763, Lacaille	pendulum clock	α Horologii
Hydra /ˈhaɪdrə/	Hya	Hyda	Hydrae /ˈhaɪdriː/	Hercules	ancient ( Ptolemy )	Hydra (mythological creature)	Alphard
Lacerta /ləˈsɜrtə/	Lac	Lacr	Lacertae /ləˈsɜrtiː/	Perseus	1690, Firmamentum Sobiescianum, Hevelius	lizard	α Lacertae
Leo /ˈliː.oʊ/	Leo	Leon	Leonis /liːˈoʊnɨs/	Zodiac	ancient ( Ptolemy )	lion	Regulus
Leo Minor /ˈliː.oʊ ˈmaɪnər/	LMi	LMin	Leonis Minoris /liːˈoʊnɨs mɨˈnɒrɨs/	Ursa Major	1690, Firmamentum Sobiescianum, Hevelius	lesser lion	Praecipua
Lepus /ˈliːpəs/	Lep	Leps	Leporis /ˈlɛpərɨs/	Orion	ancient ( Ptolemy )	hare	Arneb
Libra /ˈlaɪbrə/, /ˈliːbrə/	Lib	Libr	Librae /ˈlaɪbriː/	Zodiac	ancient ( Ptolemy )	balance	Zubeneshamali
Lupus /ˈljuːpəs/	Lup	Lupi	Lupi /ˈljuːpaɪ/	Hercules	ancient ( Ptolemy )	wolf	Men
Lynx /ˈlɪŋks/	Lyn	Lync	Lyncis /ˈlɪnsɨs/	Ursa Major	1690, Firmamentum Sobiescianum, Hevelius	lynx	Elvashak
Lyra /ˈlaɪrə/	Lyr	Lyra	Lyrae /ˈlaɪriː/	Hercules	ancient ( Ptolemy )	lyre / harp	Vega
Mensa /ˈmɛnsə/	Men	Mens	Mensae /ˈmɛnsiː/	La Caille	1763, Lacaille	Table Mountain (South Africa)	α Mensae
Microscopium /ˌmaɪkrɵˈskoʊpiəm/	Mic	Micr	Microscopii /ˌmaɪkrɵˈskoʊpiaɪ/	La Caille	1763, Lacaille	microscope	γ Microscopii
Monoceros /məˈnɒsɨrəs/	Mon	Mono	Monocerotis /ˌmɒnɵsɨˈroʊtɨs/	Orion	1613, Plancius	unicorn	β Monocerotis
Norma /ˈnɔrmə/	Nor	Norm	Normae /ˈnɔrmiː/	La Caille	1763, Lacaille	carpenter's level	γ 2 Normae
Octans /ˈɒktænz/	Oct	Octn	Octantis /ɒkˈtæntɨs/	La Caille	1763, Lacaille	octant (instrument)	ν Oct
Ophiuchus /ˌɒfiˈjuːkəs/	Oph	Ophi	Ophiuchi /ˌɒfiˈjuːkaɪ/	Hercules	ancient ( Ptolemy )	serpent -bearer	Ras Alhague
Orion /ɵˈraɪ.ən/	Ori	Orio	Orionis /ɵˈraɪ.ənɨs/, /ˌɒriˈoʊnɨs/	Orion	ancient ( Ptolemy )	Orion (mythological character)	Rigel
Pegasus /ˈpɛɡəsəs/	Peg	Pegs	Pegasi /ˈpɛɡəsaɪ/	Perseus	ancient ( Ptolemy )	Pegasus (mythological winged horse)	Enif
Perseus /ˈpɜrsiəs, ˈpɜrsjuːs/	Per	Pers	Persei /ˈpɜrsi.aɪ/	Perseus	ancient ( Ptolemy )	Perseus (mythological character)	Mirfak
Pictor /ˈpɪktər/	Pic	Pict	Pictoris /pɪkˈtɔərɨs/	La Caille	1763, Lacaille	easel	α Pictoris
Pisces /ˈpaɪsiːz/, /ˈpɪsiːz/	Psc	Pisc	Piscium /ˈpɪʃiəm/	Zodiac	ancient ( Ptolemy )	es fish	Alpherg
Piscis Austrinus /ˈpaɪsɨs ɔːˈstraɪnəs/	PsA	PscA	Piscis Austrini /ˈpaɪsɨs ɔːˈstraɪnaɪ/	Heavenly Waters	ancient ( Ptolemy )	southern fish	Fomalhaut
Puppis /ˈpʌpɨs/	Pup	Pupp	Puppis /ˈpʌpɨs/	Heavenly Waters	1763, Lacaille , split from Argo Navis	poop deck	Naos
Pyxis /ˈpɪksɨs/	Pyx	Pyxi	Pyxidis /ˈpɪksɨdɨs/	Heavenly Waters	1763, Lacaille	mariner's compass	α Pyxidis
Reticulum /rɨˈtɪkjʊləm/	Ret	Reti	Reticuli /rɨˈtɪkjʊlaɪ/	La Caille	1763, Lacaille	eyepiece graticule	α Reticuli
Sagitta /səˈdʒɪtə/	Sge	Sgte	Sagittae /səˈdʒɪtiː/	Hercules	ancient ( Ptolemy )	arrow	γ Sagittae
Sagittarius /sædʒɨˈtɛəriəs/	Sgr	Sgtr	Sagittarii /ˌsædʒəˈtɛəriaɪ/	Zodiac	ancient ( Ptolemy )	archer	Kaus Australis
Scorpius /ˈskɔrpiəs/	Sco	Scor	Scorpii /ˈskɔrpiaɪ/	Zodiac	ancient ( Ptolemy )	scorpion	Antares
Sculptor /ˈskʌlptər/	Scl	Scul	Sculptoris /skəlpˈtɒrɨs/	La Caille	1763, Lacaille	sculptor	α Sculptoris
Scutum /ˈskjuːtəm/	Sct	Scut	Scuti /ˈskjuːtaɪ/	Hercules	1690, Firmamentum Sobiescianum, Hevelius	shield (of Sobieski )	α Scuti
Serpens /ˈsɜrpɛnz/	Ser	Serp	Serpentis /sərˈpɛntɨs/	Hercules	ancient ( Ptolemy )	snake	Unukalhai
Sextans /ˈsɛkstənz/	Sex	Sext	Sextantis /sɛksˈtæntɨs/	Hercules	1690, Firmamentum Sobiescianum, Hevelius	sextant	α Sextantis
Taurus /ˈtɔrəs/	Tau	Taur	Tauri /ˈtɔraɪ/	Zodiac	ancient ( Ptolemy )	bull	Aldebaran
Telescopium /ˌtɛlɨˈskɒpiəm/	Tel	Tele	Telescopii /ˌtɛlɨˈskɒpiaɪ/	La Caille	1763, Lacaille	telescope	α Telescopii
Triangulum /traɪˈæŋɡjʊləm/	Tri	Tria	Trianguli /traɪˈæŋɡjʊlaɪ/	Perseus	ancient ( Ptolemy )	triangle	β Trianguli
Ursa Major /ˌɜrsə ˈmeɪdʒər/	UMa	UMaj	Ursae Majoris /ˌɜrsiː məˈdʒɒrɨs/	Ursa Major	ancient ( Ptolemy )	great bear	Alioth
Ursa Minor /ˌɜrsə ˈmaɪnər/	UMi	UMin	Ursae Minoris /ˌɜrsiː mɨˈnɒrɨs/	Ursa Major	ancient ( Ptolemy )	lesser bear	Polaris
Vela /ˈviːlə/	Vel	Velr	Velorum /vɨˈlɔərəm/	Heavenly Waters	1763, Lacaille , split from Argo Navis	sails	Regor
Virgo /ˈvɜrɡoʊ/	Vir	Virg	Virginis /ˈvɜrdʒɨnɨs/	Zodiac	ancient ( Ptolemy )	virgin or maiden	Spica
