Sport	Years	Games	Gold	Silver	Bronze	Total
Athletics	1904	Summer	3	0	0	3
Athletics	1908–1912	Summer	3	0	0	3
Fencing	1912–1920	Summer	3	0	0	3
Cross-country skiing	1924	Winter	3	0	0	3
Swimming , Water polo	1924–1928	Summer	3	0	0	3
Athletics	1924–1928	Summer	3	0	0	3
Wrestling	1920–1932	Summer	3	0	0	3
Figure skating	1928–1936	Winter	3	0	0	3
Wrestling	1932–1936	Summer	3	0	0	3
Athletics	1936	Summer	3	0	0	3
Athletics	1948	Summer	3	0	0	3
Speed skating	1952	Winter	3	0	0	3
Boxing	1948–1956	Summer	3	0	0	3
Alpine skiing	1956	Winter	3	0	0	3
Athletics	1956–1964	Summer	3	0	0	3
Rowing	1956–1964	Summer	3	0	0	3
Athletics	1960–1964	Summer	3	0	0	3
Swimming	1968	Summer	3	0	0	3
Alpine skiing	1968	Winter	3	0	0	3
Wrestling	1964–1972	Summer	3	0	0	3
Swimming	1968–1972	Summer	3	0	0	3
Boxing	1972–1980	Summer	3	0	0	3
Nordic combined	1972–1980	Winter	3	0	0	3
Athletics	1976–1980	Summer	3	0	0	3
Rowing	1976–1984	Summer	3	0	0	3
Cross-country skiing	1980–1984	Winter	3	0	0	3
Swimming	1980–1988	Summer	3	0	0	3
Speed skating	1988	Winter	3	0	0	3
Weightlifting	1988–1996	Summer	3	0	0	3
Athletics	1992–1996	Summer	3	0	0	3
Boxing	1992–2000	Summer	3	0	0	3
Weightlifting	1992–2000	Summer	3	0	0	3
Athletics	1992–2000	Summer	3	0	0	3
Swimming	1996–2000	Summer	3	0	0	3
Cycling	1996–2000	Summer	3	0	0	3
Weightlifting	1996–2004	Summer	3	0	0	3
Judo	1996–2004	Summer	3	0	0	3
Speed skating	1998–2006	Winter	3	0	0	3
Wrestling	1996–2008	Summer	3	0	0	3
Canoeing	2000–2012	Summer	3	0	0	3
Cycling	2000–2012	Summer	3	0	0	3
Wrestling	2004–2012	Summer	3	0	0	3
