BRNo.	SRNo.	Name	Builder	Whenbuilt	Withdrawn
34027	21C127	Taw Valley	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1964
34028	21C128	Eddystone	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1964
34029	21C129	Lundy	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1964
34030	21C130	Watersmeet	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1964
34031	21C131	Torrington	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34032	21C132	Camelford	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1966
34033	21C133	Chard	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34034	21C134	Honiton	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34035	21C135	Shaftesbury	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1963
34036	21C136	Westward Ho	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34037	21C137	Clovelly	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34038	21C138	Lynton	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1966
34039	21C139	Boscastle	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34040	21C140	Crewkerne	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34041	21C141	Wilton	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1966
34042	21C142	Dorchester	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34043	21C143	Combe Martin	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1963
34044	21C144	Woolacombe	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34045	21C145	Ottery St Mary	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1964
34046	21C146	Braunton	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34047	21C147	Callington	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34048	21C148	Crediton	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1966
34049	21C149	Anti-Aircraft Command	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1963
34050	21C150	Royal Observer Corps	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34051	21C151	Winston Churchill	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34052	21C152	Lord Dowding	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34053	21C153	Sir Keith Park	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1965
34054	21C154	Lord Beaverbrook	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1964
34055	21C155	Fighter Pilot	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1963
34056	21C156	Croydon	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1967
34057	21C157	Biggin Hill	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1967
34058	21C158	Sir Frederick Pile	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1964
34059	21C159	Sir Archibald Sinclair	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1966
34060	21C160	25 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1967
34061	21C161	73 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1964
34062	21C162	17 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1964
34063	21C163	229 Squadron	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1965
34064	21C164	Fighter Command	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1966
34065	21C165	Hurricane	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1964
34066	21C166	Spitfire	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1966
34067	21C167	Tangmere	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1963
34068	21C168	Kenley	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1963
34069	21C169	Hawkinge	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1963
34070	21C170	Manston	Brighton	Cannot handle non-empty timestamp argument! 1947	Cannot handle non-empty timestamp argument! 1964
