Basin	Outlet	Total Area	In-State Area	% In-State
Saguache Creek	San Luis Creek	043 3,482km 2 1,345mi 2	029 3,482km 2 1,345mi 2	A011 100%
Montezuma Creek	San Juan River	044 3,044km 2 1,175mi 2	062 983km 2 380mi 2	A054 32.3%
White Woman Creek	White Woman Basin	045 3,000km 2 1,158mi 2	066 800km 2 309mi 2	A056 26.7%
Beaver Creek	South Platte River	046 2,939km 2 1,135mi 2	031 2,939km 2 1,135mi 2	A012 100%
Uncompahgre River	Gunnison River	047 2,921km 2 1,128mi 2	032 2,921km 2 1,128mi 2	A013 100%
Tomichi Creek	Gunnison River	048 2,874km 2 1,109mi 2	033 2,874km 2 1,109mi 2	A014 100%
Apishapa Creek	Arkansas River	049 2,798km 2 1,080mi 2	034 2,798km 2 1,080mi 2	A015 100%
Saint Vrain Creek	South Platte River	050 2,572km 2 993mi 2	035 2,572km 2 993mi 2	A016 100%
Eagle River	upper Colorado River ( GrandRiver )	051 2,515km 2 971mi 2	038 2,515km 2 971mi 2	A017 100%
Vermillion Creek	Green River	052 2,500km 2 965mi 2	059 1,155km 2 446mi 2	A051 46.2%
North Fork Gunnison River	Gunnison River	053 2,492km 2 962mi 2	041 2,492km 2 962mi 2	A018 100%
Fountain Creek	Arkansas River	054 2,418km 2 933mi 2	042 2,418km 2 933mi 2	A019 100%
Big Thompson River	South Platte River	055 2,149km 2 830mi 2	045 2,149km 2 830mi 2	A020 100%
Two Butte Creek	Arkansas River	056 2,107km 2 814mi 2	046 2,107km 2 814mi 2	A021 100%
Mancos River	San Juan River	057 2,099km 2 810mi 2	047 1,973km 2 762mi 2	A033 94.0%
Conejos River	Rio Grande	058 2,078km 2 802mi 2	056 1,471km 2 568mi 2	A044 70.8%
North Fork Smoky Hill River	Smoky Hill River	059 1,965km 2 759mi 2	064 947km 2 366mi 2	A050 48.2%
Sidney Draw	South Platte River	060 1,949km 2 753mi 2	070 368km 2 142mi 2	A061 18.9%
South Fork Beaver Creek	Beaver Creek	061 1,939km 2 749mi 2	068 522km 2 201mi 2	A055 26.9%
Sand Arroyo Creek	North Fork Cimarron River	062 1,938km 2 748mi 2	057 1,314km 2 507mi 2	A045 67.8%
Chico Creek	Arkansas River	063 1,934km 2 747mi 2	048 1,934km 2 747mi 2	A022 100%
Kiowa Creek	South Platte River	064 1,888km 2 729mi 2	049 1,888km 2 729mi 2	A023 100%
Pawnee Creek	South Platte River	065 1,875km 2 724mi 2	050 1,875km 2 724mi 2	A024 100%
McElmo Creek	San Juan River	066 1,842km 2 711mi 2	053 1,654km 2 639mi 2	A035 89.8%
Blue River	upper Colorado River ( GrandRiver )	067 1,770km 2 683mi 2	051 1,770km 2 683mi 2	A025 100%
Piedra River	San Juan River	068 1,770km 2 683mi 2	052 1,770km 2 683mi 2	A026 100%
Piceance Creek	White River	069 1,630km 2 629mi 2	054 1,630km 2 629mi 2	A027 100%
Little Beaver Creek	Beaver Creek	070 1,602km 2 619mi 2	072 210km 2 81mi 2	A065 13.1%
Clear Creek	South Platte River	071 1,497km 2 578mi 2	055 1,497km 2 578mi 2	A028 100%
Taylor River	Gunnison River	072 1,258km 2 486mi 2	058 1,258km 2 486mi 2	A029 100%
Boulder Creek	Saint Vrain Creek	073 1,160km 2 448mi 2	060 1,160km 2 448mi 2	A030 100%
Cherry Creek	South Platte River	073 1,050km 2 405mi 2	060 1,050km 2 405mi 2	A030 100%
