School	Location	Total	Crimean War	Persian War	Indian Mutiny	1860-1878	Zulu War	Second Afghan War
Melbourne Grammar School	Australia	3	0	0	0	0	0	0
Bedales School	United Kingdom	2	0	0	0	0	0	0
Berkhamsted Collegiate School	United Kingdom	2	0	0	0	0	0	0
Campbell College	United Kingdom	2	0	0	0	0	0	0
Carnoustie High School	United Kingdom	2	0	0	0	0	0	0
Dudley Public School	Australia	2	0	0	0	0	0	0
Eastbourne College	United Kingdom	2	0	0	0	0	0	0
Ellesmere College	United Kingdom United Kingdom	2	0	0	0	0	0	0
Felsted School	United Kingdom United Kingdom	2	0	0	0	0	0	0
Rossall School	United Kingdom	2	0	0	0	0	0	0
Royal Grammar School	United Kingdom	2	0	0	0	0	0	0
St. Andrew's College	South Africa	2	0	0	0	0	0	0
St. Peter's College	Australia	2	0	0	0	0	0	0
Stowe School	United Kingdom	2	0	0	0	0	0	0
Tonbridge School	United Kingdom	2	0	0	0	0	0	0
Upper Canada College	Canada	2	1	0	0	0	0	0
Wimbledon College	United Kingdom	3	0	0	0	0	0	0
Magdalen College School	0	0	0	0	0	0	0	0
Christ's College	0	0	0	0	0	0	0	0
The King's School	United Kingdom United Kingdom	2	0	0	0	0	0	0
George Mitchell School	United Kingdom	2	0	0	0	0	0	0
Shrewsbury School	United Kingdom	2	0	0	0	0	0	0
Bancrofts School	United Kingdom	2	0	0	0	0	0	0
Queen Elizabeth's Grammar School, Barnet	United Kingdom	2	0	0	0	0	0	0
Abingdon School	United Kingdom	1	0	0	1	0	0	0
All Saints College	United Kingdom	1	0	0	0	0	0	0
Rashtriya Indian Military College	India	1	0	0	0	0	0	0
Bishop Cotton Boys' School	India	1	0	0	0	0	0	0
Royal Military College	Canada	1	0	0	0	0	0	0
Arnold School	United Kingdom	1	0	0	0	0	0	0
King Edward VII (Lytham St Annes)	United Kingdom	1	0	0	0	0	0	0
Avonport Schools	Canada	1	0	0	1	0	0	0
Barnard Castle School	United Kingdom	1	0	0	0	0	0	0
Belvedere College	Ireland	1	0	0	0	0	0	0
Bishop Wordsworth's School	United Kingdom	1	0	0	0	0	0	0
Blundell's School	United Kingdom	1	0	0	0	0	0	0
Bradfield College	United Kingdom	1	0	0	0	0	0	0
Caulfield Grammar School	Australia	1	0	0	0	0	0	0
Christian Brothers' High School	Australia	1	0	0	0	0	0	0
Hilton College	South Africa	1	0	0	0	0	0	0
Selborne College	South Africa	1	0	0	0	0	0	0
Saint Joseph's Technical College	Australia	1	0	0	0	0	0	0
City of London School	United Kingdom	1	0	0	0	0	0	0
Edgeborough School	United Kingdom	1	0	0	0	0	0	0
Epsom College	United Kingdom	2	0	0	0	0	1	0
Hamblin and Porter's School , Cork	Ireland	1	0	0	0	0	0	1
Hurlstone Agricultural High School	Australia	1	0	0	0	0	0	0
Kingswood School	United Kingdom	1	0	0	0	0	0	0
Magnus Grammar School	United Kingdom	1	0	0	0	0	1	0
Owen Sound Collegiate and Vocational Institute	Canada	1	0	0	0	0	0	0
Prince Alfred College	Australia	1	0	0	0	0	0	0
Pulteney Grammar School	Australia	1	0	0	0	0	0	0
Reading School	United Kingdom	1	0	0	1	0	0	0
Napier Boys' High School	New Zealand	1	0	0	0	0	0	0
Royal Naval School	United Kingdom	1	0	0	0	0	0	1
Royal Naval College	United Kingdom	1	0	0	0	0	0	0
Royal Belfast Academical Institution	United Kingdom	1	0	0	0	0	0	0
St. Cuthbert's High School	United Kingdom	1	0	0	0	0	0	0
St Dunstan's College	United Kingdom	1	0	0	0	0	0	0
St Edward's School, Oxford	United Kingdom	1	0	0	0	0	0	0
Saffron Walden Grammar School	United Kingdom	1	0	0	0	0	0	0
Sydney Boys High School	Australia	1	0	0	0	0	0	0
The Hutchins School	Australia	2	0	0	0	0	0	0
Trent College	United Kingdom	1	0	0	0	0	0	0
University High School	Australia	1	0	0	0	0	0	0
Walton Road School	United Kingdom	1	0	0	0	0	0	0
Waverley College	Australia	1	0	0	0	0	0	0
Wellington School	United Kingdom	1	0	0	0	0	0	0
Wesley College	Australia	1	0	0	0	0	0	0
St. Thomas' College	Sri Lanka	1	0	0	0	0	0	0
Gravesend Grammar School	United Kingdom	1	0	0	0	0	0	0
Dorrigo High School	Australia	1	0	0	0	0	0	0
King Edward VI School Stratford-upon-Avon	United Kingdom	1	0	0	0	0	0	0
Bristol Grammar School	United Kingdom	1	0	0	0	0	0	0
Ampleforth College	United Kingdom	1	0	0	0	0	0	0
Liverpool Blue Coat School	United Kingdom	1	0	0	0	0	0	0
St. Lawrence College	United Kingdom	1	0	0	0	0	0	0
St Edmund's College, Ware	United Kingdom	1	0	0	1	0	0	0
St. Olave's Grammar School	United Kingdom	1	0	0	0	0	0	0
WellingboroughSchool	United Kingdom	1	0	0	0	0	0	0
Cardinal Vaughan Memorial School	United Kingdom	1	0	0	0	0	0	0
