Network	Origin of Programming	Language	Genre	Service
Tamil Vision	Canada	Tamil	General	Bell Satellite TV
Tamil Vision	Canada	Tamil	General	Rogers Cable
TET HD	Canada	Tamil	General	Bell Fibe TV
TET HD	Canada	Tamil	General	Rogers Cable
Times Now	India	English	News	Bell Fibe TV
Times Now	India	English	News	Cogeco Cable
Times Now	India	English	News	Rogers Cable
Times Now	India	English	News	Telus TV
TV Asia	Canada	Hindi	General	Bell Fibe TV
TV Asia	Canada	Hindi	General	Rogers Cable
TVOne Global	Pakistan	Urdu	General	Bell Fibe TV
TVOne Global	Pakistan	Urdu	General	Rogers Cable
Vijay	India	Tamil	General	Bell Fibe TV
Vijay	India	Tamil	General	Cogeco Cable
Vijay	India	Tamil	General	Rogers Cable
Zee Cinema	India	Hindi	Movies	Bell Fibe TV
Zee Cinema	India	Hindi	Movies	Cogeco Cable
Zee Cinema	India	Hindi	Movies	Rogers Cable
Zee Cinema	India	Hindi	Movies	Telus TV
Zee Premier HD	India	Hindi	Movies	Bell Fibe TV
Zee Salaam	India	Urdu	General	Bell Fibe TV
Zee Salaam	India	Urdu	General	Cogeco Cable
Zee Tamil	India	Tamil	General	Bell Fibe TV
Zee Tamil	India	Tamil	General	Cogeco Cable
Zee TV	India	Hindi	General	Bell Fibe TV
Zee TV	India	Hindi	General	Bell Satellite TV
Zee TV	India	Hindi	General	Cogeco Cable
Zee TV	India	Hindi	General	Rogers Cable
Zee TV	India	Hindi	General	Shaw Cable
Zee TV	India	Hindi	General	Telus TV
Zing	India	Hindi	Music	Bell Fibe TV
Zing	India	Hindi	Music	Rogers Cable
Zoom	India	Hindi	General	Bell Fibe TV
Zoom	India	Hindi	General	Cogeco Cable
Zoom	India	Hindi	General	Rogers Cable
Zoom	India	Hindi	General	Telus TV
