Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Winner	22 November 2008	Phoenix	Hard	Lenka Tvarošková	Kelly Anderson Natalie Grandin	6–4, 3–6, [10–4]
Winner	12 April 2009	Šibenik	Clay	Nataša Zorić	Tina Obrez Mika Urbančič	6–0, 6–3
Winner	17 July 2009	Rome	Clay	María Irigoyen	Elisa Balsamo Stefania Chieppa	7–5, 6–2
Winner	5 September 2009	Brčko	Clay	Ana Jovanović	Patricia Chirea Petra Pajalič	6–4, 6–1
Runner–up	13 September 2009	Denain	Clay	Magdalena Kiszchzynska	Elena Chalova Ksenia Lykina	4–6, 3–6
Runner–up	10 October 2009	Podgorica	Clay	Karolina Jovanović	Nicole Clerico Karolina Kosińska	7–6 (7–4) , 4–6, [4–10]
Runner–up	25 April 2010	Dothan	Clay	María Irigoyen	Alina Jidkova Anastasia Yakimova	4–6, 2–6
Winner	12 June 2010	Budapest	Clay	Lenka Wienerová	Anna Livadaru Florencia Molinero	6–4, 6–1
Winner	2 July 2010	Toruń	Clay	Marija Mirkovic	Katarzyna Piter Barbara Sobaszkiewicz	4–6, 6–2, [10–5]
Winner	10 July 2010	Aschaffenburg	Clay	Erika Sema	Elena Bogdan Andrea Koch Benvenuto	7–6 (7–4) , 2–6, [10–8]
Runner–up	6 August 2010	Moscow	Clay	Marija Mirkovic	Nadejda Guskova Valeria Solovyeva	6–7 (5–7) , 3–6
Runner–up	15 January 2011	Glasgow	Hard (i)	Jasmina Tinjić	Ulrikke Eikeri Isabella Shinikova	4–6, 4–6
Winner	12 February 2011	Antalya	Clay	Maria Shamayko	Sultan Gönen Anna Karavayeva	6–4, 6–4
Runner–up	29 April 2011	Minsk	Hard (i)	Nicole Rottmann	Lyudmyla Kichenok Nadiya Kichenok	1–6, 2–6
Winner	18 June 2011	Istanbul	Hard	Marta Domachowska	Daniella Dominikovic Melis Sezer	6–4, 6–2
Winners	10 September 2011	Saransk	Clay	Mihaela Buzărnescu	Eva Hrdinová Veronika Kapshay	6–3, 6–1
Runner–up	19-Mar-2012	Antalya	Clay	Claudia Giovine	Evelyn Mayr (ITA) Julia Mayr	2-6,3-6
Winner	23-Apr-2012	San Severo	Clay	Anastasia Grymalska	Chiara Mendo Giulia Sussarello	6-2 6-4
Winners	26 May 2012	Timișoara , Romania	Clay	Andreea Mitu	Lina Gjorcheska Dalia Zafirova	6–1, 6–2
Runner–up	04-Jun-2012	Karshi , UZBEKISTAN	Clay	Veronika Kapshay	Valentyna Ivakhnenko Kateryna Kozlova	5-7,3-6
Winners	25-Jun-2012	Izmir , TURKEY	Hard	Ana Bogdan	Abbie Myers Melis Sezer	6-3, 3-0 RET
Runner–up	25-Jun-2012	Mestre , ITA	Clay	Reka-Luca Jani	Mailen Auroux Maria Irigoyen	7-5,4-6 8-10
Runner–up	04-Feb-2013	Antalya , TURKEY	Clay	Ana Bogdan	Giulia Bruzzone Martina Caregaro	3-6,6-1 6-10
Winners	11-Feb-2013	Antalya , TURKEY	Clay	Raluca Elena Platon	Ekaterine Gorgodze Sofia Kvatsabaia	1-6 4-5 RET
Winners	01-Apr-2013	Heraklion , GRE	Carpet	Vivien Juhaszova	Giulia Sussarello Sara Sussarello	7-5 6-7 (7) 10-4
Winners	08-Apr-2013	Heraklion , GRE	Carpet	Marina Melnikova	Giulia Sussarello Despina Papamichail	6-1 6-4
Winner	13 May 2013	Balikpapan , Indonesia	Hard	Naomi Broady	Chen Yi Xu Yifan	6–3, 6–3
Winner	20 May 2013	Tarakan , Indonesia	Hard (i)	Naomi Broady	Tang Haochen Tian Ran	6–2, 1–6, [10–5]
Runner–up	03-Jun-2013	Karshi , Uzbekıstan	Clay	Veronika Kapshay	Margarita Gasparyan Polina Pekhova	2-6,1-6
Winner	16 September 2013	Dobrich , Bulgaria	Clay	Xenia Knoll	Isabella Shinikova Dalia Zafirova	7-5, 7–6(7–5)
