Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1997	August 23	Dale Jarrett	Robert Yates Racing	Ford	500	266.5 (428.89)	3:19:51	80.013	Report
1998	August 22	Mark Martin	Roush Racing	Ford	500	266.5 (428.89)	3:03:54	86.949	Report
1999	August 28	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	2:55:11	91.276	Report
2000	August 26	Rusty Wallace	Penske Racing	Ford	500	266.5 (428.89)	3:07:15	85.394	Report
2001	August 25	Tony Stewart	Joe Gibbs Racing	Pontiac	500	266.5 (428.89)	3:07:53	85.106	Report
2002	August 24	Jeff Gordon	Hendrick Motorsports	Chevrolet	500	266.5 (428.89)	3:27:24	77.097	Report
2003	August 23	Kurt Busch	Roush Racing	Ford	500	266.5 (428.89)	3:26:32	77.421	Report
2004	August 28	Dale Earnhardt, Jr.	Dale Earnhardt, Inc.	Chevrolet	500	266.5 (428.89)	3:00:36	88.538	Report
2005	August 27	Matt Kenseth	Roush Racing	Ford	500	266.5 (428.89)	3:08:50	84.678	Report
2006	August 26	Matt Kenseth	Roush Racing	Ford	500	266.5 (428.89)	2:57:37	90.025	Report
2007	August 25	Carl Edwards	Roush Fenway Racing	Ford	500	266.5 (428.89)	2:59:39	89.006	Report
2008	August 23	Carl Edwards	Roush Fenway Racing	Ford	500	266.5 (428.89)	2:54:36	91.581	Report
2009	August 22	Kyle Busch	Joe Gibbs Racing	Toyota	500	266.5 (428.89)	3:08:31	80.24	Report
2010	August 21	Kyle Busch	Joe Gibbs Racing	Toyota	500	266.5 (428.89)	2:41:24	99.071	Report
2011	August 27	Brad Keselowski	Penske Racing	Dodge	500	266.5 (428.89)	2:45:16	96.753	Report
2012	August 25	Denny Hamlin	Joe Gibbs Racing	Toyota	500	266.5 (428.89)	3:09:27	84.402	Report
