Name	Country	Seasons	Championship Titles	Race entries (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Roldán Rodríguez Category:Articles with hCards	Spain	2008 – 2009–10	0	16 (15)	1	1	3	0	35
Jake Rosenzweig Category:Articles with hCards	United States	2009–10	0	4	0	0	0	0	0
Alexander Rossi Category:Articles with hCards	United States	2009–10	0	8	0	0	0	0	12
Harald Schlegelmilch Category:Articles with hCards	Latvia	2008	0	10	0	0	0	0	3
Yuhi Sekiguchi Category:Articles with hCards	Japan	2008–09	0	2	0	0	0	0	0
Bruno Senna Category:Articles with hCards	Brazil	2008	0	10	0	0	2	3	23
Andy Soucek Category:Articles with hCards	Spain	2008	0	2	0	0	1	0	6
Jason Tahinci Category:Articles with hCards	Turkey	2008	0	10	0	0	0	0	0
Ricardo Teixeira Category:Articles with hCards	Portugal	2008–09	0	4	0	0	0	0	0
Ho-Pin Tung Category:Articles with hCards	China	2008	0	10	0	0	0	0	1
Oliver Turvey Category:Articles with hCards	United Kingdom	2009–10 – 2011	0	12	0	1	1	0	17
Alberto Valerio Category:Articles with hCards	Brazil	2008 – 2009–10	0	14 (13)	0	0	0	0	2
Adrián Vallés Category:Articles with hCards	Spain	2008 – 2008–09	0	12	0	0	1	0	19
Davide Valsecchi Category:Articles with hCards	Italy	2008 – 2011	1 ( 2009–10 )	34 (33)	1	4	11	4	116
Chris van der Drift Category:Articles with hCards	New Zealand	2008–09	0	4 (3)	0	0	0	0	5
Giedo van der Garde Category:Articles with hCards	Netherlands	2008–09 – 2011	0	18 (16)	0	0	2	0	27
Renger van der Zande Category:Articles with hCards	Netherlands	2008–09	0	2 (1)	0	0	0	0	0
Pål Varhaug Category:Articles with hCards	Norway	2011	0	4	0	0	0	0	1
Christian Vietoris Category:Articles with hCards	Germany	2009–10	0	8	0	1	1	0	9
Javier Villa Category:Articles with hCards	Spain	2008–09 – 2009–10	0	18 (17)	0	0	3	2	31
Sakon Yamamoto Category:Articles with hCards	Japan	2008–09	0	12 (11)	0	0	1	0	13
Alex Yoong Category:Articles with hCards	Malaysia	2008–09	0	4 (3)	0	0	0	0	0
Hiroki Yoshimoto Category:Articles with hCards	Japan	2008 – 2008–09	0	12	0	0	0	0	13
Daniel Zampieri Category:Articles with hCards	Italy	2009–10	0	6	0	0	0	0	0
Adrian Zaugg Category:Articles with hCards	South Africa	2009–10	0	2	0	0	0	0	1
