Story #	Target #	Title	Author	Reader	Format	Company	Release Date	Notes
91	061 61	Doctor Who and the Talons of Weng-Chiang	Dicks, Terrance Terrance Dicks	Benjamin, Christopher Christopher Benjamin	4-CD	AudioGo	2013-01-01 1 January 2013	Unabridged.
25	101	The Gunfighters	Cotton, Donald Donald Cotton	Rimmer, Shane Shane Rimmer	4-CD	AudioGo	2013-02-07 7 February 2013	Unabridged.
11	124	The Rescue	Marter, Ian Ian Marter	O'Brien, Maureen O'Brien Maureen O'Brien	4-CD	AudioGo	2013-04-06 6 April 2013	Unabridged.
61	013 13	Doctor Who and the Curse of Peladon	Hayles, Brian Brian Hayles	Troughton, David David Troughton	4-CD	AudioGo	2013-05-02 2 May 2013	Unabridged.
68	046 46	Doctor Who and the Planet of the Daleks	Dicks, Terrance Terrance Dicks	Gatiss, Mark Mark Gatiss	CD	AudioGo	2013-06-06 6 June 2013	Unabridged. Dalek voices by Nicholas Briggs.
109	039 39	Doctor Who and the Leisure Hive	Fisher, David David Fisher	Ward, Lalla Lalla Ward	3-CD	AudioGo	2013-07-01 1 July 2013	Unabridged.
151	144	The Greatest Show in the Galaxy	Wyatt, Stephen Stephen Wyatt	Aldred, Sophie Sophie Aldred	CD	AudioGo	2013-08-01 1 August 2013	Unabridged.
1	N/A	An Unearthly Child	Robinson, Nigel Nigel Robinson	Russell, William William Russell	CD	AudioGo	2013-11-07 7 November 2013	New novelisation exclusive to audio.
66	008 8	Doctor Who and the Carnival of Monsters	Dicks, Terrance Terrance Dicks	Manning, Katy Katy Manning	CD	AudioGo	2013-12-05 5 December 2013	Unabridged
111	026 26	Full Circle	Smith, Andrew Andrew Smith	Waterhouse, Matthew Matthew Waterhouse	CD	AudioGo	2014-01-02 2 January 2014	Unabridged
