Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
2001	Aivaras Kvedarauskas	Neringa Karosaitė	Aivaras Kvedarauskas Juozas Spelveris	Kristina Dovidaitytė Neringa Karosaitė	Aivaras Kvedarauskas Ligita Zakauskaitė
2002	Aivaras Kvedarauskas	Erika Milikauskaitė	Aivaras Kvedarauskas Kęstutis Navickas	Kristina Dovidaitytė Neringa Karosaitė	Aivaras Kvedarauskas Jūratė Prevelienė
2003	Aivaras Kvedarauskas	Ugnė Urbonaitė	Aivaras Kvedarauskas Dainius Mikalauskas	Ugnė Urbonaitė Kristina Dovidaitytė	Aivaras Kvedarauskas Ugnė Urbonaitė
2004	Kęstutis Navickas	Ugnė Urbonaitė	Kęstutis Navickas Klaudijus Kasinskis	Ugnė Urbonaitė Akvilė Stapušaitytė	Kęstutis Navickas Ugnė Urbonaitė
2005	Kęstutis Navickas	Ugnė Urbonaitė	Kęstutis Navickas Klaudijus Kasinskis	Ugnė Urbonaitė Akvilė Stapušaitytė	Donatas Narvilas Kristina Dovidaitytė
2006	Šarūnas Bilius	Akvilė Stapušaitytė	Deividas Butkus Klaudijus Kašinskis	Akvilė Stapušaitytė Ligita Žukauskaitė	Donatas Narvilas Kristina Dovidaitytė
2007	Kęstutis Navickas	Akvilė Stapušaitytė	Kęstutis Navickas Klaudijus Kašinskis	Gerda Voitechovskaja Kristina Dovidaitytė	Kęstutis Navickas Indrė Starevičiūtė
2008	Kęstutis Navickas	Akvilė Stapušaitytė	Paulius Geležiūnas Ramūnas Stapušaitis	Gerda Voitechovskaja Kristina Dovidaitytė	Kęstutis Navickas Akvilė Stapušaitytė
2009	Kęstutis Navickas	Akvilė Stapušaitytė	Kęstutis Navickas Klaudijus Kašinskis	Akvilė Stapušaitytė Ligita Žukauskaitė	Kęstutis Navickas Akvilė Stapušaitytė
2010	Kęstutis Navickas	Akvilė Stapušaitytė	Kęstutis Navickas Klaudijus Kašinskis	Gerda Voitechovskaja Kristina Dovidaitytė	Donatas Narvilas Kristina Dovydaitytė
