Rank	Heat	Lane	Name	Nationality
97	9	3	Srdjan Vujasin	Bosnia and Herzegovina
98	10	6	Brian Howard Ho	Indonesia
99	10	3	Kieran Locke	Virgin Islands
100	10	7	Anas Hamadeh	Jordan
101	8	7	Kristian Olsen	Faroe Islands
102	9	2	Rodion Davelaar	Netherlands Antilles
103	9	6	Marcelo Alba	Bolivia
104	10	8	Carles Ridaura Carbonell	Andorra
105	9	5	Marc Pascal Pierre Dansou	Benin
106	8	8	Daniel Lee	Sri Lanka
107	11	1	Obaid Al Jasmi	United Arab Emirates
108	8	6	Khaly Ciss	Senegal
109	9	1	Harutyun Harutyunyan	Armenia
110	8	5	Gael Adam	Mauritius
111	11	2	Goksu Bicer	Turkey
112	6	5	Pál Joensen	Faroe Islands
113	10	5	Oscar Jahnsen	Peru
114	10	2	Goran Stamenov	Macedonia
115	9	7	Heshan Unamboowe	Sri Lanka
116	7	4	Yellow Yeiyah	Nigeria
116	7	1	Alois Patrice Kouadjo Dansou	Benin
118	8	1	Luke Hall	Swaziland
119	8	3	Leonel ds Santos Matonse	Mozambique
120	7	7	Loai Tashkandi	Saudi Arabia
121	8	2	Miguel Navarro	Bolivia
122	6	1	Julio Cesar Rivera Coello	Honduras
123	7	5	Juan Francisco Lagos Diaz	Honduras
124	7	3	Heimanu Sichan	Tahiti
125	5	7	Andrey Molchanov	Turkmenistan
126	6	7	Chakyl Camal	Mozambique
127	4	4	Rainui Terupaia	Tahiti
128	9	8	Nuno Rola	Angola
129	7	6	Otiko Kpliboh	Nigeria
130	1	2	Eric Chang	Malaysia
131	5	1	Yannick Roberts	Guyana
131	6	6	Adil Baig	Pakistan
133	5	3	Zane Jordan	Zambia
134	6	4	Tamir Andrei	Mongolia
135	4	5	Carlos Shimizu	Guam
136	6	3	Omar Núñez	Nicaragua
137	3	3	Joshua Marfleet	Samoa
138	10	1	Rashid Iunusov	Kyrgyzstan
139	6	2	Richard Randrianandraina	Madagascar
140	5	6	Wui Chon Cheong	Macau
141	4	2	Oliver Quick	Gibraltar
142	4	6	Jean−Luc Augier	Saint Lucia
143	7	8	Genaro Mathias Prono Britez	Paraguay
144	5	8	Kyaw Zin	Myanmar
145	4	3	Eli Ebenezerq Wong	Northern Mariana Islands
145	6	8	Eros Qama	Albania
147	5	2	Malbor Oshafi	Albania
148	3	6	Hamza Abdo	Palestine
149	4	7	Fadi Awesat	Palestine
150	7	2	Aleksey Klimenko	Kyrgyzstan
151	3	4	Sergey Krovyakov	Turkmenistan
152	3	5	Batchuluun Mendbayar	Mongolia
153	4	8	Niall Roberts	Guyana
154	3	2	Michael Taylor	Marshall Islands
155	2	4	Justin Decoster	Marshall Islands
156	3	8	Isao Misech	Palau
157	2	5	Rahim Karmali	Uganda
158	3	1	Mohamed Sharif	Maldives
159	2	6	Cooper Theodore Graf	Northern Mariana Islands
160	2	3	Ibrahim Areesh	Maldives
161	5	4	Khalid Rushaka	Tanzania
162	2	2	Ching Maou Wei	American Samoa
163	5	5	Jamal Talib	Tanzania
164	3	7	Abdulsalam Al Gadabi	Yemen
165	1	8	Herve Nkurrnziza	Burundi
166	1	1	Attoumani Mohamed	Comoros
167	2	1	Vincent Leatualevao	American Samoa
168	1	4	Boipelo Makhothi	Lesotho
169	1	7	Thabiso Baholo	Lesotho
999	1	5	Bernard Blewudzi	Ghana
999	2	7	Alisher Chingizov	Tajikistan
999	2	8	Ibraihm Assah	Ghana
999	4	1	Essossimana Awizoba	Togo
999	8	4	Joao Aguiar	Angola
999	13	3	Rafed-Zyad Almasri	Syria
999	17	3	Aristeidis Grigoriadis	Greece
