Urban area (locality)	Population	Land area (hectares)	Density (inh./km²)	Code
Björketorp	467	60.41	773.05	4736
Björklinge	3269	270.45	1208.73	0512
Björkvik	492	95.75	513.84	0720
Björkviken	208	10.96	1897.81	2114
Björkö	1427	90.84	1570.89	4304
Björköby	273	67.40	405.04	1420
Björlanda	608	88.73	685.22	4302
Björna	413	67.70	610.04	7428
Björneborg	1099	157.00	700.00	5612
Björnlunda	827	85.95	962.19	0724
Björnänge	254	39.95	635.79	7810
Björnö	215	16.42	1309.38	1818
Björnömalmen och Klacknäset	624	125.76	496.18	0106
Björsäter	443	62.53	708.46	1024
Blackstalund	210	64.61	325.03	0650
Bleket	240	41.00	585.37	4308
Blentarp	1216	121.22	1003.13	3364
Blidsberg	508	86.77	585.46	4740
Blikstorp	222	45.10	492.24	5212
Blombacka	217	99.85	217.33	5616
Blomstermåla	1527	253.19	603.10	2120
Blåsmark	339	64.17	528.28	8540
Blötberget	428	131.87	324.56	6432
Bockara	316	79.96	395.20	2124
Boda	541	210.53	256.97	6436
Bodafors	1886	253.96	742.64	1424
Boden	18277	1997.74	914.88	8544
Boholmarna	297	46.76	635.16	2130
Boliden	1566	194.43	805.43	8132
Bollebygd	3566	256.74	1388.95	4744
Bollnäs	12842	1287.35	997.55	7036
Bollstabruk	1871	443.67	421.71	7432
Bonäs	457	92.36	494.80	6440
Boo	24052	1625.93	1479.28	0104
Bor	1256	157.36	798.17	1428
Borensberg	2886	240.25	1201.25	1028
Borggård	238	42.30	562.65	1032
Borgholm	3071	255.76	1200.74	2132
Borgstena	386	68.80	561.05	4748
Borlänge	41734	3435.53	1214.78	6444
Borrby	930	88.11	1055.50	2820
Borås	66273	3139.65	2110.84	4752
Bosnäs	308	46.96	655.88	4310
Botsmark	201	48.68	412.90	8136
Bottnaryd	713	83.30	855.94	1432
Bovallstrand	474	81.04	584.90	4312
Boxholm	3194	439.43	726.85	1040
Brantevik	409	68.94	593.27	2824
Brastad	1846	184.80	998.92	4316
Brattås	384	57.99	662.18	3910
Braås	1547	170.95	904.94	1820
Bredared	227	30.61	741.59	4756
Bredaryd	1466	198.85	737.24	1436
Bredbyn	1186	234.33	506.12	7444
Bredsand	465	84.61	549.58	0612
Bredviken	365	43.13	846.28	8556
Brevik	8772	396.79	2210.74	0108
Brevikshalvön	2018	599.66	336.52	0110
Bro	7050	300.74	2344.22	0112
Broaryd	271	69.10	392.19	1440
Broby	2920	368.49	792.42	2828
Brokind	502	64.38	779.75	1044
Bromölla	7595	557.77	1361.67	2832
Brottby	205	17.79	1152.33	0116
Brunflo	3890	284.76	1366.06	7812
Brunn	950	96.34	986.09	0120
Brunna	3925	177.39	2212.64	0124
Brunnsberg	222	120.92	183.59	6448
Bruzaholm	250	63.82	391.73	1444
Bräcke	1651	200.24	824.51	7816
Bräkne-Hoby	1689	207.36	814.53	2604
Brändön	287	57.78	496.71	8558
Brännland	220	28.21	779.87	8140
Brännö	708	87.06	813.23	4322
Brålanda	1385	152.47	908.38	4760
Brösarp	680	82.25	826.75	2836
Bua	1746	126.85	1376.43	3912
Buerås	708	56.74	1247.80	3914
Bullmark	319	32.39	984.87	8142
Bunkeflostrand	10386	362.78	2862.89	3372
Bureå	2360	365.27	646.10	8144
Burgsvik	338	93.67	360.84	2500
Burlövs egnahem	554	20.56	2694.55	3374
Burseryd	854	155.90	547.79	1452
Burträsk	1575	184.41	854.08	8148
Buskhyttan	225	49.13	457.97	0728
Butbro	261	45.71	570.99	1206
Bygdeå	502	73.72	680.95	8152
Bygdsiljum	357	103.52	344.86	8156
Byske	1728	320.52	539.12	8160
Bäckaskog	293	38.01	770.85	2844
Bäckebo	219	84.38	259.54	2144
Bäckefors	673	140.00	480.71	4768
Bäckhammar	284	90.88	312.50	5624
Bälgviken	253	39.30	643.77	0730
Bälinge	307	46.70	657.39	8564
Bälinge	2437	140.03	1740.34	0524
Bärby	220	23.04	954.86	0526
Bäsna	649	137.65	471.49	6456
Bålsta	14147	1072.57	1318.98	0520
Bårslöv	2682	120.13	2232.58	3376
Båstad	4961	626.62	791.71	2840
Båtskärsnäs	296	95.69	309.33	8560
Böle	424	94.03	450.92	8568
Bönan	316	78.94	400.30	7038
Charlottenberg	2215	258.56	856.67	5628
Dalarö	1199	167.52	715.74	0132
Dalby	5708	329.40	1732.85	3380
Dals Långed	1520	257.48	590.34	4772
Dals Rostock	829	140.98	588.03	4776
Dalsjöfors	3362	287.90	1167.77	4780
Dalstorp	776	113.65	682.80	4784
Dalum	638	60.65	1051.94	4788
Danholn	440	76.87	572.39	6472
Dannemora	213	65.53	325.04	0528
Dannike	369	40.57	909.54	4792
Degeberga	1291	174.68	739.07	2848
Degerfors	7160	713.53	1003.46	5916
Degerhamn	331	103.20	320.74	2152
Deje	2742	365.54	750.12	5632
Delary	222	56.75	391.19	1828
Delsbo	2192	284.56	770.31	7040
Dingersjö	856	61.49	1392.10	7446
Dingle	900	107.15	839.94	4324
Dingtuna	1005	94.38	1064.84	6208
Diseröd	1241	74.95	1655.77	4328
Diö	910	156.64	580.95	1832
Djulö kvarn	209	29.61	705.84	0734
Djura	364	83.19	437.55	6476
Djurmo	711	91.71	775.27	6480
Djurås	1278	157.40	811.94	6484
Djurö	967	92.37	1046.88	0136
Docksta	378	79.50	475.47	7448
Domsten	617	41.93	1471.50	3384
Donsö	1407	96.99	1450.67	4332
Dorotea	1543	233.91	659.66	8168
Drag	274	62.24	440.23	2422
Drottningholm	398	147.06	270.64	0140
Drängsmark	333	53.97	617.01	8340
Dunö	384	50.31	763.27	2154
Duved	663	98.85	670.71	7820
Duvesjön	247	41.30	598.06	4562
Dvärsätt	461	41.32	1115.68	7824
Dyvelsten	219	43.92	498.63	5634
Dösjebro	858	57.10	1502.63	3388
Ed	2932	382.01	767.52	4796
Eda glasbruk	233	88.33	263.78	5636
Edane	706	176.18	400.73	5640
Edsbro	488	82.35	592.59	0144
Edsbruk	300	71.61	418.94	2156
Edsbyn	3985	453.26	879.19	7044
Edsvalla	1016	145.54	698.09	5652
Eggby	231	28.10	822.06	5216
Ekeby	3230	303.46	1064.39	3392
Ekeby	372	52.62	706.96	5920
Ekeby	1018	57.99	1755.48	0148
Ekeby	258	28.95	891.19	0152
Ekeby-Almby	1271	144.87	877.34	5924
Ekedalen	404	53.77	751.35	5220
Ekenässjön	1517	222.18	682.78	1456
Ekerö sommarstad	544	37.68	1443.74	0151
Ekerö	10907	541.87	2012.84	0150
Eket	409	74.52	548.85	2856
Ekshärad	1074	173.79	617.99	5724
Eksjö	9701	833.89	1163.34	1460
Eksund	206	22.22	927.09	1046
Ekängen	2037	139.09	1464.52	1050
Eldsberga	720	95.10	757.10	3916
Ellös	998	120.83	825.95	4336
Emmaboda	4824	591.36	815.75	2160
Emmaljunga	262	86.50	302.89	2860
Emsfors	332	61.28	541.78	2164
Emtunga	273	30.99	880.93	5224
Eneryda	338	72.59	465.63	1840
Enhagen-Ekbacken	1012	70.71	1431.20	6210
Enköping	21121	1066.70	1980.03	0532
Ensjön	333	22.84	1457.97	1054
Enstaberga	430	58.86	730.55	0736
Enviken	609	124.59	488.80	6496
Enånger	642	130.98	490.15	7048
Eriksmåla	231	93.86	246.11	2168
Eringsboda	299	65.10	459.29	2616
Ersmark	892	147.85	603.31	8368
Ersmark	1613	120.65	1336.92	8172
Ersnäs	292	51.65	565.34	8576
Eskilsby och Snugga	220	67.22	327.28	4334
Eskilstuna	64679	3104.97	2083.08	0740
Eslöv	17748	914.02	1941.75	3396
Essvik	752	119.01	631.88	7460
Evertsberg	267	169.52	157.50	6500
Everöd	885	124.28	712.10	2864
Fagerhult	316	76.42	413.50	5228
Fagerhult	229	77.37	295.98	2172
Fagerhult	353	34.51	1022.89	4338
Fagersanna	539	81.33	662.73	5232
Fagersta	11130	946.86	1175.46	6212
Fagerås	427	76.81	555.92	5656
Falerum	242	84.18	287.48	1048
Falkenberg	20035	1484.82	1349.32	3920
Falköping	16350	853.95	1914.63	5236
Falla	467	71.42	653.88	1052
Falun	37291	2717.16	1372.43	6504
Fanbyn	526	139.92	375.93	7462
Fellingsbro	1384	230.48	600.49	5928
Fengersfors	345	96.90	356.04	4800
Figeholm	743	85.36	870.43	2176
Filipstad	6022	650.78	925.35	5660
Filsbäck	615	52.69	1167.20	5240
Finja	535	75.76	706.18	2868
Finkarby	214	53.24	401.95	0158
Finnerödja	604	101.33	596.07	5932
Finspång	12440	818.15	1520.50	1056
Finsta	244	36.16	674.78	0164
Fiskebäckskil	379	71.91	527.05	4340
Fisksätra	7475	103.43	7227.11	0156
Fjugesta	2033	208.83	973.52	5936
Fjälkinge	1690	134.81	1253.62	2872
Fjällbacka	859	104.93	818.64	4344
Fjärdhundra	951	108.35	877.71	0536
Fjärås kyrkby	2321	143.79	1614.16	3928
Flen	6229	444.91	1400.06	0744
Flisby	201	74.83	268.61	1464
Fliseryd	677	133.84	505.83	2188
Floby	1499	226.42	662.04	5244
Floda	680	196.58	345.92	6460
Floda	8021	584.89	1371.37	4804
Flurkmark	291	53.00	549.06	8174
Flygsfors	226	68.33	330.75	2192
Flyinge	994	77.40	1284.24	3400
Flädie	251	20.31	1235.84	3402
Fornåsa	433	47.21	917.18	1060
Fors	827	125.67	658.07	6508
Forsbacka	1702	171.72	991.15	7052
Forsby	651	87.02	748.10	7050
Forserum	2039	195.25	1044.30	1468
Forshaga	6229	518.49	1201.37	5664
Forsheda	1459	148.52	982.36	1472
Forssjö	537	63.28	848.61	0748
Forsvik	342	82.72	413.44	5248
Fotö	620	35.40	1751.41	4348
Fredrika	215	116.67	184.28	8176
Fredriksberg	655	176.41	371.29	6512
Fredriksdal	310	46.58	665.52	1476
Fridafors	221	82.61	267.52	1844
Fridlevstad	713	93.17	765.27	2620
Friggesund	522	81.67	639.16	7056
Frillesås	2044	230.02	888.62	3932
Frinnaryd	204	50.88	400.94	1480
Fristad	4924	510.96	963.68	4808
Fritsla	2293	326.66	701.95	4812
Frufällan	917	102.72	892.72	4816
Främmestad	393	50.84	773.01	5250
Frändefors	613	85.72	715.12	4820
Fränsta	1256	230.12	545.80	7472
Frånö	640	247.56	258.52	7468
Frödinge	383	84.85	451.38	2196
Frösakull	1635	205.53	795.50	3934
Frövi	2516	365.61	688.16	5940
Funäsdalen	890	175.45	507.27	7828
Furuby	372	59.86	621.45	1852
Furudal	407	110.16	369.46	6516
Furulund	4180	279.68	1494.57	3408
Furusjö	325	48.91	664.49	5252
Furuvik	575	109.71	524.11	7060
Fyllinge	2927	247.29	1183.63	3935
Färgelanda	1894	210.42	900.10	4828
Färila	1293	247.30	522.85	7064
Färjestaden	5018	463.98	1081.51	2208
Färlöv	1026	91.50	1121.31	2876
Färnäs	988	153.96	641.73	6524
Fågelfors	424	117.32	361.40	2200
Fågelmara	374	71.37	524.03	2624
Fågelsta	287	55.19	520.02	1064
Fågelvikshöjden	1043	48.93	2131.62	0166
Fårbo	517	83.79	617.02	2204
Fårösund	816	289.20	282.16	2504
Föllinge	485	150.38	322.52	7836
Förslöv	2085	184.00	1133.15	2880
Gagnef	1049	240.04	437.01	6528
Gamleby	2775	317.87	873.00	2212
Gammelgården	297	52.86	561.86	8578
Gammelstaden	4960	619.93	800.09	8580
Gantofta	1338	91.22	1466.78	3412
Garpenberg	518	153.25	338.01	6532
Garphyttan	1619	172.14	940.51	5944
Geijersholm	222	28.96	766.57	5668
Gemla	1342	241.23	556.32	1856
Genarp	2892	170.23	1698.88	3416
Genevad	565	62.08	910.12	3936
Gessie villastad	497	44.35	1120.63	3438
Gesunda	229	81.33	281.57	6540
Getinge	1843	217.69	846.62	3940
Gideå	266	53.69	495.44	7476
Gimmersta	354	31.74	1115.31	0170
Gimo	2688	313.25	858.10	0540
Gimåt	903	62.78	1438.36	7480
Gislaved	10037	648.31	1548.18	1484
Gistad	288	43.07	668.68	1068
Gladö kvarn	539	109.51	492.19	0178
Glanshammar	727	92.95	782.14	5948
Glemmingebro	376	47.59	790.08	3424
Glimåkra	1383	185.68	744.83	2884
Glommen	761	76.73	991.79	3944
Glommersträsk	272	152.22	178.69	8584
Glumslöv	1994	124.20	1605.48	3428
Gnarp	1026	201.64	508.83	7068
Gnesta	5562	385.94	1441.16	0752
Gnosjö	4326	488.58	885.42	1488
Godegård	200	25.91	771.90	1070
Gonäs	357	103.36	345.39	6544
Gothenburg (Göteborg)	549839	20367.04	2699.65	4368
Gottne	218	57.37	379.99	7482
Grangärde	351	67.67	518.69	6548
Granö	238	98.14	242.51	8188
Graversfors	246	64.18	383.30	1074
Grebbestad	1401	120.37	1163.91	4356
Grebo	970	72.09	1345.54	1072
Grevie och Beden	241	42.69	564.54	2818
Grevie	788	118.40	665.54	2888
Grillby	972	85.42	1137.91	0544
Grimslöv	593	71.21	832.75	1860
Grimstorp	344	44.57	771.82	1492
Grimsås	721	88.14	818.02	4832
Gripenberg	292	53.61	544.67	1496
Grisslehamn	249	122.24	203.70	0168
Grums	5025	561.71	894.59	5676
Grundsund	627	70.84	885.09	4360
Grycksbo	1825	254.19	717.97	6552
Grytgöl	263	71.89	365.84	1080
Grythyttan	891	152.37	584.76	5952
Gräfsnäs	367	81.11	452.47	4840
Grängesberg	3481	771.58	451.15	6556
Gränna	2553	152.27	1676.63	1500
Gränum	223	36.63	608.79	2628
Grästorp	2969	224.83	1320.55	5260
Gråbo	4195	230.91	1816.73	4836
Grödby	340	44.51	763.87	0364
Gualöv	530	71.89	737.24	2892
Gubbo	215	54.04	397.85	6558
Gudhem	427	34.21	1248.17	5264
Gullbrandstorp	1524	104.76	1454.75	3948
Gullbranna	704	50.85	1384.46	3952
Gulleråsen	333	186.82	178.25	6560
Gullringen	541	144.35	374.78	2232
Gullspång	1167	173.94	670.92	5268
Gundal och Högås	384	78.86	486.94	3950
Gunnarskog	290	80.58	359.89	5680
Gunnarstorp	401	42.22	949.79	3432
Gunnebo	938	148.62	631.14	2236
Gunsta	380	29.91	1270.48	0548
Gusselby	300	86.02	348.76	5956
Gustavsberg	254	46.32	548.36	7478
Gustavsberg	11333	427.00	2654.10	0172
Gusum	1175	161.61	727.06	1084
Gyttorp	661	273.89	241.34	5960
Gäddede	401	136.21	294.40	7840
Gällivare	8449	747.79	1129.86	8596
Gällstad	471	60.96	772.64	4852
Gällö	725	122.52	591.74	7844
Gängletorp	369	64.85	569.01	2630
Gärds Köpinge	936	102.18	916.03	2896
Gärsnäs	1000	98.99	1010.20	2900
Gävle	71033	4244.91	1673.37	7076
Gånghester	1526	117.10	1303.16	4848
Gårdby	257	61.33	419.04	2240
Gårdskär	352	71.08	495.22	0552
Gårdstånga	343	43.32	791.78	3436
Gåvsta	549	43.93	1249.72	0556
Göta	920	101.50	906.40	4856
Götene	4933	459.33	1073.96	5280
Götlunda	270	35.54	759.71	6220
Habo	6883	454.39	1514.78	5284
Hackås	480	91.88	522.42	7848
Haga	257	37.75	680.79	0558
Hagby	689	193.97	355.21	2244
Hagbyhöjden	479	12.48	3838.14	0194
Hagfors	5146	612.87	839.66	5688
Hagge	342	50.48	677.50	6566
Hagryd-Dala	391	49.33	792.62	3954
Hakkas	365	150.72	242.17	8600
Halla Heberg	518	46.27	1119.52	3956
Hallabro	254	48.83	520.17	2632
Hallen	203	45.58	445.37	7852
Hallerna	668	22.00	3036.36	4370
Hallsberg	7122	818.60	870.02	5964
Hallstahammar	10478	967.04	1083.51	6224
Hallstavik	4476	469.23	953.90	0176
Halltorp	266	62.15	428.00	2248
Halmstad	58577	3412.98	1716.30	3960
Halvarsgårdarna	325	57.66	563.65	6568
Hamburgsund	818	101.18	808.46	4372
Hammar	282	64.81	435.12	5968
Hammar	2057	141.20	1456.80	2904
Hammarby	552	108.29	509.74	7084
Hammarslund	461	29.31	1572.84	2906
Hammarstrand	1052	222.48	472.85	7856
Hammenhög	908	104.11	872.15	2908
Hammerdal	974	229.41	424.57	7860
Hampetorp	297	75.01	395.95	5974
Hamrångefjärden	509	156.92	324.37	7092
Hanaskog	1251	136.99	913.21	2912
Haparanda	4856	442.72	1096.86	8604
Harads	501	129.33	387.38	8608
Harbo	721	104.73	688.44	6228
Hargshamn	312	84.07	371.12	0560
Harlösa	763	77.91	979.34	3440
Harmånger	540	91.30	591.46	7096
Harplinge	1450	133.90	1082.90	3964
Hassela	364	101.10	360.04	7172
Hasselfors	428	126.62	338.02	5980
Hasslarp	474	51.06	928.32	3444
Hasslö	1628	303.08	537.15	2640
Hasslöv	228	44.30	514.67	3968
Havdhem	298	90.15	330.56	2508
Haverdal	1437	250.72	573.15	3972
Heberg	449	71.02	632.22	3976
Heby	2550	353.85	720.64	6232
Hedared	353	55.62	634.66	4860
Hede	741	162.58	455.78	7868
Hedekas	370	70.41	525.49	4380
Hedemora	7273	611.85	1188.69	6572
Hedenäset	270	198.16	136.25	8612
Hedeskoga	282	17.92	1573.66	3448
Hedesunda	1028	167.69	613.04	7104
Hedvigsberg	282	93.21	302.54	0186
Helsingborg	97122	3840.98	2528.57	3452
Hemavan/Bierke	222	90.79	244.52	8198
Hemmesta	5240	339.75	1542.31	0180
Hemmingsmark	367	83.93	437.27	8616
Hemse	1715	210.69	813.99	2512
Henån	1816	197.61	918.98	4384
Herrestad	2583	199.33	1295.84	4388
Herrljunga	3822	370.54	1031.47	4864
Herräng	422	181.43	232.60	0184
Herstadberg	236	35.72	660.69	1088
Hestra	1306	187.19	697.69	1504
Hestra	476	69.61	683.81	1092
Hillared	578	110.42	523.46	4868
Hillerstorp	1766	197.73	893.14	1508
Himle	278	39.31	707.20	3982
Hindås	2244	291.11	770.84	4392
Hishult	332	73.93	449.07	3984
Hissjön	477	75.57	631.20	8196
Hittarp	4075	207.57	1963.19	3456
Hjo	6094	453.81	1342.85	5296
Hjorted	324	60.05	539.55	2256
Hjortkvarn	238	91.07	261.34	5984
Hjortsberga	245	63.01	388.83	1872
Hjuvik	3928	279.01	1407.83	4396
Hjälm	242	20.73	1167.39	3986
Hjälmared	260	36.20	718.23	4870
Hjälmared	360	89.32	403.05	3990
Hjältevad	335	103.38	324.05	1512
Hjärnarp	975	126.81	768.87	2916
Hjärsås	229	39.37	581.66	2920
Hjärtum	367	48.67	754.06	4872
Hjärup	4265	169.92	2510.00	3460
Hofors	6681	697.46	957.90	7112
Hofterup	3501	276.19	1267.61	3464
Hogstad	241	41.87	575.59	1096
Hogstorp	373	38.50	968.83	4398
Hok	637	86.11	739.75	1516
Holm	565	56.48	1000.35	3988
Holmeja	239	24.51	975.11	3466
Holmsjö	334	108.29	308.43	2644
Holmsund	5489	548.23	1001.22	8200
Holsbybrunn	729	110.43	660.15	1520
Holsljunga	255	34.58	737.42	4876
Horda	377	68.69	548.84	1524
Horn	495	79.45	623.03	1100
Horndal	1114	337.49	330.08	6576
Horred	1271	153.20	829.63	4880
Hortlax	1248	148.88	838.26	8620
Hoting	667	127.16	524.54	7876
Hova	1288	179.89	715.99	5300
Hovid	225	35.10	641.03	7492
Hovmantorp	2991	255.66	1169.91	1876
Hovsta	2785	166.45	1673.18	5988
Huaröd	242	45.29	534.33	2924
Hudiksvall	15015	1007.79	1489.89	7120
Hult	455	51.65	880.93	1528
Hultafors	227	57.46	395.06	4884
Hultsfred	5143	609.17	844.26	2260
Hulu	266	40.76	652.60	4888
Hummelsta	1002	69.62	1439.24	0564
Hunnebostrand	1731	167.64	1032.57	4404
Hurva	350	55.04	635.90	3472
Husby	256	70.36	363.84	6464
Husum	1647	399.06	412.72	7496
Hybo	241	59.63	404.16	7124
Hyllinge	2204	162.10	1359.65	2928
Hyltebruk	3716	491.22	756.48	3992
Hyssna	638	162.54	392.52	4892
Häggeby och Vreta	224	61.51	364.17	0570
Häggenås	320	74.22	431.15	7880
Häljarp	2795	158.30	1765.63	3476
Hällabrottet	1789	291.71	613.28	5992
Hällaryd	546	70.15	778.33	2648
Hällberga	612	74.06	826.36	0760
Hällbybrunn	3296	308.13	1069.68	0764
Hällefors	4530	633.07	715.56	5996
Hälleforsnäs	1585	244.02	649.54	0768
Hällekis	704	184.71	381.14	5304
Hällestad	336	99.41	337.99	1104
Hällesåker	357	64.32	555.04	4410
Hällevadsholm	772	91.04	847.98	4412
Hällevik	813	86.52	939.67	2652
Hälleviksstrand	214	35.58	601.46	4414
Hällingsjö	308	43.30	711.32	4354
Hällnäs	259	116.86	221.63	8204
Hälsö	611	51.35	1189.87	4420
Härad	508	56.61	897.37	0772
Häradsbygden	643	144.83	443.97	6584
Härnösand	17556	1089.42	1611.50	7500
Härryda	968	233.97	413.73	4424
Härslöv	382	35.59	1073.34	3484
Hässleholm	18500	1203.45	1537.25	2936
Hästhagen	499	32.59	1531.14	0192
Hästholmen	342	36.82	928.84	1108
Hästveda	1623	248.80	652.33	2940
Håbo-Tibble kyrkby	256	33.10	773.41	0190
Håga	302	20.02	1508.49	0566
Håksberg	458	86.33	530.52	6580
Hållsta	823	86.40	952.55	0756
Hålsjö	214	84.78	252.42	7130
Hånger	301	35.60	845.51	1532
Höganäs	14107	884.62	1594.70	3488
Högboda	262	59.13	443.09	5730
Högsby	1881	264.68	710.67	2264
Högsjö	713	99.23	718.53	0776
Högsäter	705	104.78	672.84	4900
Höja	202	23.37	864.36	2942
Hökerum	695	90.05	771.79	4904
Hökåsen	2956	176.30	1676.69	6236
Hököpinge	1105	65.93	1676.02	3492
Höllviken	10607	653.98	1621.92	3496
Hölö	1400	133.21	1050.97	0196
Hönö	5110	306.30	1668.30	4428
Hörby	7085	422.70	1676.13	3500
Hörnefors	2542	272.07	934.32	8208
Hörvik	784	89.24	878.53	2656
Höviksnäs	1309	129.90	1007.70	4514
Höör	7865	611.75	1285.66	3504
Idala	738	85.23	865.89	3506
Idkerberget	290	121.41	238.86	6588
Idre	794	180.33	440.30	6592
Igelfors	214	64.43	332.14	1116
Igelstorp	677	65.90	1027.31	5308
Iggesund	3362	412.38	815.27	7132
Ilsbo	406	62.17	653.05	7136
Immeln	278	57.62	482.47	2948
Indal	661	92.99	710.83	7504
Ingared	1299	77.51	1675.91	4908
Ingaröstrand	286	104.44	273.84	0198
Ingatorp	453	96.57	469.09	1540
Ingelstad	1674	210.79	794.16	1884
Ingelsträde	241	37.20	647.85	3508
Innertavle	582	53.95	1078.78	8210
Insjön	2149	347.69	618.08	6596
Irsta	2717	161.84	1678.82	6356
Johannedal	2754	200.60	1372.88	7510
Johannesudd	249	9.81	2538.23	0202
Johannishus	748	95.92	779.82	2660
Johansfors	409	113.70	359.72	2272
Jokkmokk	2786	359.07	775.89	8628
Jonsered	930	63.77	1458.37	4432
Jonslund	293	57.25	511.79	5312
Jonstorp	1880	147.48	1274.75	3512
Jordbro	10291	467.56	2201.00	0200
Jukkasjärvi	548	144.46	379.34	8632
Jung	408	104.14	391.78	5316
Juniskär	397	41.95	946.36	7506
Junosuando	322	127.14	253.26	8636
Junsele	895	250.95	356.64	7512
Juoksengi	350	105.79	330.84	8640
Jursla	1692	125.88	1344.14	1120
Jäderfors	284	34.84	815.15	7140
Jädraås	220	75.02	293.26	7144
Jämjö	2578	252.18	1022.29	2664
Jämshög	1494	162.34	920.29	2668
Jämtön	237	86.37	274.40	8644
Järbo	1801	256.31	702.66	7148
Järlåsa	493	56.67	869.95	0568
