Date of Issue	Theme	Denomination	Design	Illustration	Printing Process	Paper Type	First Day Cover Cancellation
4 June 2008	Canadian Nurses Association	Fifty-two cents	Gottschalk and Ash International	Laura Arsie Photography	Lithography in 8 colours	Tullis Russell Coatings	Ottawa, Ontario
20 June 2008	Anne of Green Gables (Anne stamp)	Fifty-two cents	Dennis Page, Oliver Hill	Christopher Kovacs/Ben Stahl	Lithography in 7 colours	Tullis Russell Coatings	Cavendish, Prince Edward Island
20 June 2008	Anne of Green Gables (Gables stamp)	Fifty-two cents	Dennis Page, Oliver Hill	Christopher Kovacs/Ben Stahl	Lithography in 7 colours	Tullis Russell Coatings	Avonlea, Prince Edward Island
30 June 2008	Canadians in Hollywood: Raymond Burr	Fifty-two cents	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Lithography in 5 colours plus varnish	Spicers	Montreal, QC and Vancouver, BC
30 June 2008	Canadians in Hollywood: Marie Dressler	Fifty-two cents	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Lithography in 5 colours plus varnish	Spicers	Montreal, QC and Vancouver, BC
30 June 2008	Canadians in Hollywood: Chief Dan George	Fifty-two cents	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Lithography in 5 colours plus varnish	Spicers	Montreal, QC and Vancouver, BC
30 June 2008	Canadians in Hollywood: Norma Shearer	Fifty-two cents	Josh Belisle, Kosta Tsetsekas, Geoff Kehrig	Neal Armstrong, Adam Rogers	Lithography in 5 colours plus varnish	Spicers	Montreal, QC and Vancouver, BC
18 July 2008	Games of the XXIX Olympiad	Fifty-two cents	q30design inc.	Laurie Lafrance	Lithography in 6 colours	Tullis Russell	Golden, BC
25 July 2008	Lifesaving Society: 1908-2008	Fifty-two cents	Derwin Goodall	Lorne Bridgman, Getty Images	Lithography in 7 colours plus varnish	Tullis Russell	Toronto, ON
1 August 2008	150th Anniversary, British Columbia	Fifty-two cents	Subplot Design Inc.	Clinton Hussey and Adam Rogers	Lithography in 6 colours plus varnish	Tullis Russell	Fort Langley, BC
8 September 2008	Sam McLaughlin , Founder of General Motors Canada	Fifty-two cents	Tilt Telmet, Marko Barac	Bill McKague, Thomas Bouckley Collection	Lithography in 7 colours	Tullis Russell	Oshawa, ON
1 October 2008	Endangered Species, Taylor’s checkerspot	52 cents	Sputnik Design Partners	Doug Martin	Lithography in 9 colours	Tullis Russell Coatings	Moose Jaw, SK
1 October 2008	Endangered Species, Roseate Tern	52 cents	Sputnik Design Partners	Doug Martin	Lithography in 9 colours	Tullis Russell Coatings	Moose Jaw, SK
1 October 2008	Endangered Species, Peculiar Burrowing Owl	52 cents	Sputnik Design Partners	Doug Martin	Lithography in 9 colours	Tullis Russell Coatings	Moose Jaw, SK
1 October 2008	Endangered Species, Prothonotary Warbler	52 cents	Sputnik Design Partners	Doug Martin	Lithography in 9 colours	Tullis Russell Coatings	Moose Jaw, SK
15 October 2008	XII Summit de la Francophonie	52 cents	Ian Drolet	Photo by Marc-André Grenier	Lithography in 7 colours plus varnish	Tullis Russell Coatings	Québec, QC
3 November 2008	Christmas: The Nativity	Permanent	Joseph Gault	Antonio Caruso (sculptor)	Lithography in 6 colours	Tullis Russell Coatings	Sainte Anne de Beaupre , QC
3 November 2008	Christmas: Winter Fun (Domestic)	Permanent	Susan Scott	Susan Scott	Lithography in 8 colours	Tullis Russell Coatings	Snowflake, Manitoba
3 November 2008	Christmas: Winter Fun (USA)	96 cents	Susan Scott	Susan Scott	Lithography in 8 colours	Tullis Russell Coatings	Snowflake, Manitoba
