-	Aver- age popu- lation (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)	Fertility rates
1985	8 350	98 463	94 032	4 431	11.8	11.3	0.5	174
1986	8 370	101 950	93 295	8 655	12.2	11.1	1.0	179
1987	8 398	104 699	93 307	11 392	12.5	11.1	1.4	184
1988	8 437	112 080	96 743	15 337	13.3	11.5	1.8	196
1989	8 493	116 023	92 110	23 913	13.7	10.8	2.8	202
1990	8 559	123 938	95 161	28 777	14.5	11.1	3.4	214
1991	8 617	123 737	95 202	28 535	14.4	11.0	3.3	212
1992	8 668	122 848	94 710	28 138	14.2	10.9	3.2	209
1993	8 719	117 998	97 008	20 990	13.5	11.1	2.4	200
1994	8 781	112 257	91 844	20 413	12.8	10.5	2.3	190
1995	8 831	103 326	96 910	6 416	11.7	11.0	0.7	174
1996	8 843	95 297	94 133	1 164	10.8	10.6	0.1	161
1997	8 846	89 171	92 674	-3 503	10.1	10.5	-0.4	152
1998	8 851	88 384	92 891	-4 507	10.0	10.5	-0.5	151
1999	8 858	88 173	94 726	-6 553	10.0	10.7	-0.7	150
2000	8 872	90 441	93 285	-2 844	10.2	10.5	-0.3	154
2001	8 896	91 466	93 752	-2 286	10.3	10.5	-0.3	157
2002	8 925	95 815	95 009	806	10.7	10.6	0.1	165
2003	8 958	99 157	92 961	6 196	11.1	10.4	0.7	171
2004	8 994	100 928	90 532	10 396	11.2	10.1	1.2	175
2005	9 030	101 346	91 710	9 636	11.2	10.2	1.1	177
2006	9 081	105 913	91 177	14 736	11.7	10.0	1.6	185
2007	9 148	107 421	91 729	15 692	11.7	10.0	1.7	188
2008	9 220	109 301	91 449	17 852	11.9	9.9	1.9	191
2009	9 299	111 801	90 080	21 721	12.0	9.7	2.3	194
2010	9 379	115 641	90 487	25 154	12.3	9.6	2.7	199
2011	9 483	111 770	89 938	21 832	11.8	9.5	2.3	190
