Team	Constructor	Motorcycle	Rider	Rounds
Reynolds Motorrad	Suzuki	Suzuki GSX-R1000	Sergio Fuertes	3
Folch Endurance	Yamaha	Yamaha YZF-R1	Bernat Martínez	3
Yamaha GMT 94	Yamaha	Yamaha YZF-R1	David Checa	3, 7, 12
Mazzali Racing	MV Agusta	MV Agusta F4 1000 MT	Andrea Mazzali	4, 11
Guandalini	Ducati	Ducati 999 RS	Luca Conforti	4, 6
Guandalini	Ducati	Ducati 999 RS	Norino Brignola	6
Penta Race	Ducati	Ducati 999 RS	Luca Pedersoli	4
Tienne	Yamaha	Yamaha YZF-R1	Paolo Blora	4
Piazza Corse	Ducati	Ducati 998 RS	Paolo Blora	6
GallinaTeam	MV Agusta	MV Agusta F4 1000 MT	Michele Gallina	6
Team Giesse	Yamaha	Yamaha YZF-R1	Giuseppe Zannini	6
Poland Position	Suzuki	Suzuki GSX-R1000	Adam Badziak	6–7, 12
JTR Ducati Corse	Ducati	Ducati 999 RS	Jiří Trčka	7
Maco Moto Racing	Yamaha	Yamaha YZF-R1	Jiří Dražďák	7
Maco Moto Racing	Yamaha	Yamaha YZF-R1	Marek Svoboda	7
Prorace Team	Suzuki	Suzuki GSX-R1000 K5	Miloš Čihák	7
Team Nvidia	Yamaha	Yamaha YZF-R1	Dennis Hobbs	8
Rizla Suzuki	Suzuki	Suzuki GSX-R1000 K5	Jurgen van den Goorbergh	9
Yamaha GS Racing	Yamaha	Yamaha YZF-R1	Bob Withag	9
Yamaha GS Racing	Yamaha	Yamaha YZF-R1	Paul Mooijman	9
Racing Team Robert Menzen	Suzuki	Suzuki GSX-R1000 K5	Robert Menzen	9
Trac Racing Team	Suzuki	Suzuki GSX-R1000 K5	Bertus Folkertsma	9
Alpha Technik Van Zon Honda	Honda	Honda CBR1000RR	Ralf Waldmann	10
Alpha Technik Van Zon Honda	Honda	Honda CBR1000RR	Michael Schulten	10
Emmebi Team	Honda	Honda CBR1000RR	Luca Pini	11
PapaMoto Sport	Kawasaki	Kawasaki ZX-10R	Maurizio Prattichizzo	11
Motorsport Courneuvien 93	Kawasaki	Kawasaki ZX-10R	Laurent Brian	12
Suzuki Castrol Team	Suzuki	Suzuki GSX-R1000 K5	Vincent Philippe	12
