Expedition	Crew	Launch date	Flight up	Landing date	Flight down	Duration (days)
Mir EO-17	Valeri Polyakov	Transferred from Mir EO-16	Transferred from Mir EO-16	22 March 1995 04:04 UTC	Soyuz TM-20	437.75
Mir EO-18	Vladimir Dezhurov Gennady Strekalov Norman Thagard	14 March 1995 06:11 UTC	Soyuz TM-21	7 July 1995 14:55 UTC	STS-71	115.36
Mir EO-19	Anatoly Solovyev Nikolai Budarin	27 June 1995 19:32 UTC	STS-71	11 September 1995 06:52 UTC	Soyuz TM-21	75.47
Mir EO-20	Yuri Gidzenko Sergei Avdeyev Thomas Reiter	3 September 1995 09:00 UTC	Soyuz TM-22	29 February 1996 10:42 UTC	Soyuz TM-22	179.07
Mir EO-21	Yuri Onufrienko Yury Usachev	21 February 1996 12:34 UTC	Soyuz TM-23	2 September 1996 07:41 UTC	Soyuz TM-23	193.80
Mir EO-21	Shannon Lucid	22 March 1996 08:13 UTC	STS-76	Transferred to Mir EO-22	Transferred to Mir EO-22	Transferred to Mir EO-22
Mir EO-22	Valery Korzun Aleksandr Kaleri	17 August 1996 13:18 UTC	Soyuz TM-24	2 March 1997 06:44 UTC	Soyuz TM-24	196.73
Mir EO-22	Shannon Lucid	Transferred from Mir EO-21	Transferred from Mir EO-21	26 September 1996 12:13 UTC	STS-79	188.17
Mir EO-22	John Blaha	16 September 1996 08:54 UTC	STS-79	January 22, 1997 14:23 UTC	STS-81	128.23
Mir EO-22	Jerry Linenger	12 January 1997 09:27 UTC	STS-81	Transferred to Mir EO-23	Transferred to Mir EO-23	Transferred to Mir EO-23
Mir EO-23	Vasili Tsibliyev Aleksandr Lazutkin	10 February 1997 14:09 UTC	Soyuz TM-25	14 August 1997 12:17 UTC	Soyuz TM-25	184.92
Mir EO-23	Jerry Linenger	Transferred from Mir EO-22	Transferred from Mir EO-22	24 May 1997 13:27 UTC	STS-84	132.17
Mir EO-23	Michael Foale	15 May 1997 09:07 UTC	STS-84	Transferred to Mir EO-24	Transferred to Mir EO-24	Transferred to Mir EO-24
Mir EO-24	Anatoly Solovyev Pavel Vinogradov	5 August 1997 15:35 UTC	Soyuz TM-26	19 February 1998 09:10 UTC	Soyuz TM-26	197.73
Mir EO-24	Michael Foale	Transferred from Mir EO-23	Transferred from Mir EO-23	6 October 1997 21:55 UTC	STS-86	144.57
Mir EO-24	David Wolf	26 September 1997 02:34 UTC	STS-86	31 January 1998 22:36 UTC	STS-89	127.83
Mir EO-24	Andrew Thomas	23 January 1998 01:48 UTC	STS-89	Transferred to Mir EO-25	Transferred to Mir EO-25	Transferred to Mir EO-25
Mir EO-25	Talgat Musabayev Nikolai Budarin	29 January 1998 16:33:42 UTC	Soyuz TM-27	25 August 1998 05:24:44 UTC	Soyuz TM-27	207.53
Mir EO-25	Andrew Thomas	Transferred from Mir EO-24	Transferred from Mir EO-24	12 June 1998 18:00 UTC	STS-91	140.63
Mir EO-26	Gennady Padalka	13 August 1998 09:43 UTC	Soyuz TM-28	28 February 1999 02:14 UTC	Soyuz TM-28	198.69
Mir EO-26	Sergei Avdeyev	13 August 1998 09:43 UTC	Soyuz TM-28	Transferred to Mir EO-27	Transferred to Mir EO-27	Transferred to Mir EO-27
Mir EO-27	Viktor Afanasyev Jean-Pierre Haigneré	20 February 1999 04:18 UTC	Soyuz TM-29	28 August 1999 00:34 UTC	Soyuz TM-29	188.85
Mir EO-27	Sergei Avdeyev	Transferred from Mir EO-26	Transferred from Mir EO-26	28 August 1999 00:34 UTC	Soyuz TM-29	379.62
