Competition	Round	Opposition	Home Leg	Away Leg
UEFA Champions League	Group E	Porto	1-0	0-3
UEFA Champions League	Group E	Rosenborg	1-0	0-2
UEFA Cup	Third round	Valencia	1-0	0-1
UEFA Champions League	Third qualifying round	Basel	3-1	0-2
UEFA Cup	First round	FK Sūduva	8-1	2-0
UEFA Cup	Second round	Blackburn Rovers	1-0	2-0
UEFA Cup	Third round	Celta de Vigo	1-0	1-2
UEFA Cup	Fourth round	VfB Stuttgart	3-1	2-3
UEFA Cup	Quarter-finals	Liverpool	1-1	2-0
UEFA Cup	Semi-finals	Boavista	1-1	1-0
UEFA Cup	Final	Porto	2-3 (Runner-Up)	2-3 (Runner-Up)
UEFA Champions League	Second qualifying round	Kaunas	4-0	1-0
UEFA Champions League	Third qualifying round	MTK Hungária	4-0	1-0
UEFA Champions League	Group A	Bayern Munich	0-0	1-2
UEFA Champions League	Group A	Lyon	2-0	2-3
UEFA Champions League	Group A	Anderlecht	3-1	0-1
UEFA Cup	Third round	FK Teplice	3-0	0-1
UEFA Cup	Fourth round	Barcelona	1-0	0-0
UEFA Cup	Quarter-finals	Villarreal	1-1	0-2
UEFA Champions League	Group F	Barcelona	1-3	1-1
UEFA Champions League	Group F	Milan	0-0	1-3
UEFA Champions League	Group F	Shakhtar Donetsk	1-0	0-3
UEFA Champions League	Second qualifying round	Artmedia Bratislava	4-0	0-5
UEFA Champions League	Group F	Manchester United	1-0	2-3
UEFA Champions League	Group F	Copenhagen	1-0	1-3
UEFA Champions League	Group F	Benfica	3-0	0-3
UEFA Champions League	Round of 16	Milan	0-0	0-1
UEFA Champions League	Third qualifying round	Spartak Moscow	1-1	1-1
UEFA Champions League	Group D	Shakhtar Donetsk	2-1	0-2
UEFA Champions League	Group D	Milan	2-1	0-1
UEFA Champions League	Group D	Benfica	1-0	0-1
UEFA Champions League	Round of 16	Barcelona	2-3	0-1
UEFA Champions League	Group E	Aalborg	0-0	1-2
UEFA Champions League	Group E	Villarreal	2-0	0-1
UEFA Champions League	Group E	Manchester United	1-1	0-3
UEFA Champions League	Third qualifying round	Dynamo Moscow	0-1	2-0
UEFA Champions League	Play-off round	Arsenal	0-2	1-3
UEFA Europa League	Group C	Hapoel Tel Aviv	2-0	1-2
UEFA Europa League	Group C	Rapid Vienna	1-1	3-3
UEFA Europa League	Group C	Hamburg	0-1	0-0
UEFA Champions League	Third qualifying round	Braga	2-1	0-3
UEFA Europa League	Play-off	Utrecht	2-0	0-4
UEFA Europa League	Play-off	Sion	3-0^	3-0^
UEFA Europa League	Group I	Atlético Madrid	0-1	0-2
UEFA Europa League	Group I	Udinese	1-1	1-1
UEFA Europa League	Group I	Rennes	3-1	1-1
UEFA Champions League	Third qualifying Round	HJK Helsinki	2–1	2–0
UEFA Champions League	Play-off round	Helsingborgs IF	2–0	2–0
UEFA Champions League	Group G	Benfica	0–0	1–2
UEFA Champions League	Group G	Spartak Moscow	2–1	3–2
UEFA Champions League	Group G	Barcelona	2–1	1–2
UEFA Champions League	Round of 16	Juventus	0–3	0–2
UEFA Champions League	Second qualifying round	Cliftonville	2–0	3–0
UEFA Champions League	Third qualifying round	IF Elfsborg	1–0	0–0
UEFA Champions League	Play-off round	Shakhter Karagandy	3–0	0–2
UEFA Champions League	Group H	Barcelona	0-1	–
UEFA Champions League	Group H	A.C. Milan	–	0–2
UEFA Champions League	Group H	Ajax	2-1	–
