Ship	Year	Dates	Line	From	Distance	Days, hours, minutes	Speed
Mauretania	1908	7 – 12 March	Cunard	Sandy Hook	nautical miles (km)	5 d, 0 h, 5 m	knots (km/h)
Mauretania	1909	3 – 8 February	Cunard	Ambrose	nautical miles (km)	4 d, 20 h, 27 m	knots (km/h)
Mauretania	1909	17 – 22 March	Cunard	Ambrose	nautical miles (km)	4 d, 18 h, 35 m	knots (km/h)
Mauretania	1909	5 May–10 May	Cunard	Ambrose	nautical miles (km)	4 d, 18 h, 11 m	knots (km/h)
Mauretania	1909	16 – 21 June	Cunard	Ambrose	nautical miles (km)	4 d, 17 h, 21 m	knots (km/h)
Mauretania	1924	20 – 25 August	Cunard	Ambrose	nautical miles (km)	5 d, 1 h, 49 m	knots (km/h)
Bremen	1929	27 July – 1 August	NDL	Ambrose	nautical miles (km)	4 d, 14 h, 30 m	knots (km/h)
Bremen	1933	10 – 15 June	NDL	Ambrose	nautical miles (km)	4 d, 16 h, 15 m	knots (km/h)
Normandie	1935	7 – 11 June	CGT	Ambrose	nautical miles (km)	4 d, 3 h, 25 m	knots (km/h)
Queen Mary	1936	26 – 30 August	C-WS	Ambrose	nautical miles (km)	3 d, 23 h, 57 m	knots (km/h)
Normandie	1937	18 – 22 March	CGT	Ambrose	nautical miles (km)	4 d, 0 h, 6 m	knots (km/h)
Normandie	1937	4 – 8 August	CGT	Ambrose	nautical miles (km)	3 d, 22 h, 7 m	knots (km/h)
Queen Mary	1938	10 – 14 August	C-WS	Ambrose	nautical miles (km)	3 d, 20 h, 42 m	knots (km/h)
United States	1952	3 – 7 July	USL	Ambrose	nautical miles (km)	3 d, 10 h, 40 m	knots (km/h)
