Tennessee	Notre Dame (1-0)	Virginia (2-0)	Florida State (2-1)	Virginia (4-0)	Arizoan (5-0)	Texas A&M (5-1)	Penn State (5-1)	Penn State (5-1)	Arizona (8-1)	Arkansas (8-0)	Notre Dame (8-1)	Wisconsin (10-1)	Texas A&M (10-2)	Tulane (11-0)	Kansas State (11-2)
West Virginia	Washington (1-0)	Florida State (1-1)	Virginia (3-0)	Syracuse (2-1)	LSU (3-1)	Oregon (5-0)	Georgia (5-1)	Georgia (6-1)	Arkansas (7-0)	Nebraska (8-2)	Michigan (8-2)	Tulane (10-0)	Arkansas (9-2)	Arkansas (9-2)	Texas A&M (11-3)
North Carolina	Virginia (1-0)	Georgia (2-0)	Syarcuse (2-1)	Georgia (3-0)	Wisconsin (5-0)	Penn State (4-1)	Oregon (5-1)	Oregon (6-1)	Virginia (7-1)	Notre Dame (7-1)	Tulane (9-0)	Georgia (8-2)	Georgia Tech (9-2)	Georgia Tech (9-2)	Michigan (10-3)
Penn State	Michigan (0-1)	Syarcuse (1-1)	Georgia (3-0)	Wisconsin (4-0)	Penn State (3-1)	Georgia (4-1)	West Virginia (4-1)	Arizona (7-1)	Notre Dame (6-1)	Missouri (7-2)	Wisconsin (9-1)	Arkansas (8-2)	Nebraska (9-3)	Virginia (9-2)	Air Force (12-1)
Texas A&M	Arizona State (0-1)	Wisconsin (2-0)	Wisconsin (3-0)	Arizona (4-0)	Colorado (5-0)	Virginia Tech (5-0)	Arizona (6-1)	Arkansas (6-0)	Nebraska (7-2)	Tulane (8-0)	Georgia (7-2)	Nebraska (8-3)	Virginia (9-2)	Nebraska (9-3)	Georgia (9-3)
Colorado State	Georgia (1-0)	Colorado (2-0)	Colorado (3-0)	Colorado (4-0)	Oregon (4-0)	West Virginia (4-1)	Arkansas (6-0)	Virginia (6-1)	Syracuse (5-2) Tulane (7-0) Virginia Tech (7-1)	Michigan (7-2)	Oregon (8-2)	Michigan (8-3)	Michigan (9-3)	Michigan (9-3)	Texas (9-3)
Virginia	Colorado (1-0)	Arizona (2-0)	Arizona (3-0)	West Virginia (2-1)	West Virginia (3-1)	Arizona (5-1)	Virginia (5-1)	Notre Dame (5-1)	N/A	Virginia Tech (7-1)	Penn State (7-2)	Virginia (8-2)	Notre Dame (9-2)	Air Force (11-1)	Arkansas (9-3)
Syracuse	Wisconsin (1-0)	Texas A&M (1-1)	Texas A&M (2-1)	Oregon (4-0)	Virginia Tech (4-0)	Arkansas (5-0)	Colorado (6-1)	Syracuse (4-2)	N/A	Georgia (6-2)	Nebraska (8-3)	Georgia Tech (8-2)	Air Force (10-1)	Notre Dame (9-2)	Penn State (9-3)
Washington	Texas A&M (0-1)	USC (2-0)	USC (3-0)	Texas A&M (3-1)	Texas A&M (4-1)	Notre Dame (4-1)	Notre Dame (4-1)	Missouri (5-2)	Missouri (6-2)	Texas (7-2)	Virginia (8-2)	Air Force (10-1)	Syracuse (8-3)	Syracuse (8-3)	Virginia (9-3)
Georgia	Syracuse (0-1)	West Virginia (0-1)	West Virginia (1-1)	Virginia Tech (4-0)	USC (4-1)	Colorado (5-1)	Missouri (5-1)	Tulane (6-0)	Georgia (6-2)	Penn State (6-2)	Missouri (7-3)	Miami (FL) (7-2)	Georgia (8-3)	Georgia (8-3)	Nebraska (9-4)
Wisconsin	West Virginia (0-1)	NC State (2-0)	Oregon (3-0)	Washington (2-1)	Arkansas (4-0)	Missouri (4-1)	Georgia Tech (5-1)	Virginia Tech (6-1)	Texas (6-2)	Oregon (7-2)	Air Force (9-1)	Virginia Tech (8-2)	Texas (8-3)	Texas (8-3)	Miami (FL) (9-3)
Southern Miss	Arizona (1-0)	Missouri (2-0)	Virginia Tech (3-0)	USC (3-1)	Missouri (3-1)	LSU (3-2)	Syarcuse (4-2)	West Virginia (4-2)	Oregon (6-2)	Virginia (7-2)	Georgia Tech (7-2)	Syracuse (7-3)	Oregon (8-3)	Oregon (8-3)	Missouri (8-4)
Notre Dame	USC (1-0)	Oregon (2-0)	Alabama (2-0)	Arkansas (3-0)	Notre Dame (3-1)	Texas Tech (6-0)	Tulane (5-0)	Michigan (5-2)	Michigan (6-2)	Georgia Tech (6-2)	Miami (FL) (6-2)	Oregon (8-3)	Penn State (8-3)	Penn State (8-3)	Notre Dame (9-3)
Michigan State	Texas (1-0)	Notre Dame (1-1)	Air Force (3-0) т Notre Dame (1-1) т	Missouri (2-1) т Notre Dame (2-1) т	NC State (3-1)	Syracuse (3-2)	Virginia Tech (5-1)	Georgia Tech (5-2)	Georgia Tech (6-2)	Air Force (8-1)	Virginia Tech (7-2)	Penn State (7-3)	Mississippi State (8-3)	Missouri (7-4)	Virginia Tech (9-3)
Arizona	Oregon (1-0)	Alabama (2-0)	N/A	N/A	Syracuse (2-2)	Tulane (4-0)	Mississippi State (5-1)	Colorado (6-2)	Miami (FL) (5-2)	Miami (FL) (5-2)	Syracuse (6-3)	Missouri (7-4)	Missouri (7-4)	Miami (FL) (8-3)	Purdue (9-4)
Auburn	Missouri (1-0)	Mississippi State (2-0)	Missouri (2-1)	Michigan (2-2)	Tulane (4-0)	Georgia Tech (4-1)	Texas Tech (6-1)	Miami (FL) (4-2)	Air Force (7-1)	Wyoming (8-1)	Texas (7-3)	Mississippi State (7-3)	Virginia Tech (8-3)	Mississippi State (8-4)	Syracuse (8-4)
