Callsign	Frequency	Band	On-air ID	Purpose
4HU	1485	AM	ABC North West Queensland	National
4ISA	106.5	FM	ABC North West Queensland	National
4JAZ	0 94.1	FM	94.1 FM	Community
4JJJ	various	FM	Triple J	National
4JK	0 567	AM	ABC North West Queensland	National
4KIG	107.1	FM	4K1G	Community
4KQ	0 693	AM	4KQ	Commercial
4KRY	0 89.1	FM	CFM	Commercial
4KZ	0 531	AM	4KZ	Commercial
4LG	1098	AM	4LG	Commercial
4LM	0 666	AM	4LM	Commercial
4LRE	104.5	FM	West FM	Commercial
4MBB	103.5	FM	Mix FM	Commercial
4MBS	103.7	FM	4MBS Classic FM	Community
4MCY	0 91.1	FM	Hot FM	Commercial
4MET	105.7	FM	Radio Metro	Community
4MIC	102.5	FM	Hot FM	Commercial
4MIG	105.7	FM	Rhema FM	Community
4MIX	0 94.9	FM	River 94.9	Commercial
4MKY	100.3	FM	Hot FM	Commercial
4MMK	101.9	FM	Zinc 101.9	Commercial
4MMM	104.5	FM	Triple M	Commercial
4MOB	100.9	FM	Mob FM	Community
4MS	0 639	AM	ABC Far North Queensland	National
4MUR	105.9	FM	My 105	Community
4MW	1260	AM	4MW	Community
4NAG	0 91.3	FM	Radio NAG	Community
4NNN	0 96.1	FM	Zinc 96.1	Commercial
4NSA	101.3	FM	101.3 FM	Community
4OUR	101.5	FM	101.5 FM	Community
4PB	various	AM	ABC NewsRadio	National
4PIB	0 97.3	FM	Bwgcolman Radio	Community
4PNN	various	FM	ABC NewsRadio	National
4QAA	101.1	FM	ABC Tropical North	National
4QB	0 855	AM	ABC Wide Bay	National
4QBB	100.1	FM	ABC Wide Bay	National
4QCC	106.7	FM	ABC Far North Queensland	National
4QD	1548	AM	ABC Capricornia	National
4QL	0 540	AM	ABC Western Queensland	National
4QN	0 630	AM	ABC North Queensland	National
4QO	0 855	AM	ABC Wide Bay	National
4QR	0 612	AM	ABC Brisbane	National
4QS	0 747	AM	ABC Southern Queensland	National
4QW	0 711	AM	ABC Western Queensland	National
4QY	0 801	AM	ABC Far North Queensland	National
4RAM	103.1	FM	Hot FM	Commercial
4RBL	various	FM	Rebel FM	Commercial
4RED	0 99.7	FM	99Seven FM	Community
4RFM	0 96.9	FM	4RFM	Community
4RGB	0 93.1	FM	Sea FM	Commercial
4RGC	0 99.5	FM	Sea FM	Commercial
4RGD	100.7	FM	CFM	Commercial
4RGK	101.5	FM	Sea FM	Commercial
4RGL	0 91.9	FM	Rhema FM	Community
4RGM	0 98.7	FM	Sea FM	Commercial
4RGR	100.7	FM	Zinc 100.7	Commercial
4RGT	106.3	FM	106.3 FM	Commercial
4RIM	100.1	FM	Rim FM	Community
4RK	0 837	AM	ABC Capricornia	National
4RN	0 792	AM	ABC Radio National	National
4RO	0 990	AM	4RO	Commercial
4ROK	107.9	FM	Hot FM	Commercial
4ROM	0 95.1	FM	Hot FM	Commercial
4RPH	1296	AM	4RPH	Community
4RR	105.7	FM	4RR	Community
4RUM	0 93.9	FM	Hitz FM	Commercial
4SB	1071	AM	4SB	Commercial
4SBSFM	0 93.3	FM	SBS Radio	National
4SCR	0 90.3	FM	ABC Sunshine Coast	National
4SDB	0 89.3	FM	Rainbow FM	Community
4SEA	0 90.9	FM	Sea FM	Commercial
4SEE	0 91.9	FM	Sea FM	Commercial
4SFM	104.9	FM	Sunshine FM	Community
4SSS	0 92.7	FM	Mix FM	Commercial
4TAB	1008	AM	Radio TAB	Commercial
4TCB	0 99.9	FM	Live FM	Community
4TI	1062	AM	ABC Far North Queensland	National
4TOO	102.3	FM	4TO	Commercial
4TTT	103.9	FM	Triple T	Community
4TVR	0 92.3	FM	92.3 FM	Community
4US	100.7	FM	US FM	Community
4VL	0 918	AM	4VL	Commercial
4WBR	105.1	FM	Rhema FM	Community
4WHO	0 99.7	FM	Wild Horse FM	Community
4WK	0 963	AM	4WK	Commercial
4WP	1044	AM	ABC Far North Queensland	National
4YOU	0 98.5	FM	4YOU	Community
4ZKZ	0 98.3	FM	Kool FM	Commercial
4ZR	1476	AM	4ZR	Commercial
4ZZZ	102.1	FM	4ZZZ	Community
