Constructor	Chassis	Engine	Tyre	Driver	Rounds
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Warwick Brown	15
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Hans Binder	16
Williams - Ford	FW04 FW05	Ford Cosworth DFV 3.0 V8	G	Masami Kuwashima	16
Ensign - Ford	N174 N176	Ford Cosworth DFV 3.0 V8	G	Chris Amon	2-7, 9-10
Ensign - Ford	N174 N176	Ford Cosworth DFV 3.0 V8	G	Patrick Nève	8
Ensign - Ford	N174 N176	Ford Cosworth DFV 3.0 V8	G	Hans Binder	11
Ensign - Ford	N174 N176	Ford Cosworth DFV 3.0 V8	G	Jacky Ickx	12-15
Hesketh - Ford	308D	Ford Cosworth DFV 3.0 V8	G	Harald Ertl	2-16
Hesketh - Ford	308D	Ford Cosworth DFV 3.0 V8	G	Guy Edwards	5, 8-10, 13-14
Hesketh - Ford	308D	Ford Cosworth DFV 3.0 V8	G	Rolf Stommelen	12
Hesketh - Ford	308D	Ford Cosworth DFV 3.0 V8	G	Alex Ribeiro	15
Williams - Ford	FW04	Ford Cosworth DFV 3.0 V8	G	Emilio Zapico	4
Ligier - Matra	JS5	Matra MS73 3.0 V12	G	Jacques Laffite	All
Parnelli - Ford	VPJ4B	Ford Cosworth DFV 3.0 V8	G	Mario Andretti	2-3
Penske - Ford	PC3 PC4	Ford Cosworth DFV 3.0 V8	G	John Watson	All
Fittipaldi - Ford	FD04	Ford Cosworth DFV 3.0 V8	G	Emerson Fittipaldi	All
Fittipaldi - Ford	FD04	Ford Cosworth DFV 3.0 V8	G	Ingo Hoffmann	1, 3-4, 8
Brabham - Ford	BT44B	Ford Cosworth DFV 3.0 V8	G	Loris Kessel	4-5, 7-8, 11
Brabham - Ford	BT44B	Ford Cosworth DFV 3.0 V8	G	Bob Evans	9
Brabham - Ford	BT44B	Ford Cosworth DFV 3.0 V8	G	Emilio de Villota	4
Brabham - Ford	BT44B	Ford Cosworth DFV 3.0 V8	G	Patrick Nève	5
Brabham - Ford	BT44B	Ford Cosworth DFV 3.0 V8	G	Jac Nelleman	7
Brabham - Ford	BT44B	Ford Cosworth DFV 3.0 V8	G	Damien Magee	8
Brabham - Ford	BT44B	Ford Cosworth DFV 3.0 V8	G	Lella Lombardi	9-11
Boro - Ford	N175	Ford Cosworth DFV 3.0 V8	G	Larry Perkins	4-7, 12
Boro - Ford	N175	Ford Cosworth DFV 3.0 V8	G	Larry Perkins	13
Tyrrell - Ford	007	Ford Cosworth DFV 3.0 V8	G	Alessandro Pesenti-Rossi	13
Tyrrell - Ford	007	Ford Cosworth DFV 3.0 V8	G	Alessandro Pesenti-Rossi	11
Tyrrell - Ford	007	Ford Cosworth DFV 3.0 V8	G	Alessandro Pesenti-Rossi	10, 12
Surtees - Ford	TS19	Ford Cosworth DFV 3.0 V8	G	Henri Pescarolo	6, 8-15
Penske - Ford	PC3	Ford Cosworth DFV 3.0 V8	G	Boy Hayje	12
Tyrrell - Ford	007	Ford Cosworth DFV 3.0 V8	G	Otto Stuppacher	13-15
Shadow - Ford	DN3	Ford Cosworth DFV 3.0 V8	G	Mike Wilds	9
Kojima - Ford	KE007	Ford Cosworth DFV 3.0 V8	D	Masahiro Hasemi	16
Tyrrell - Ford	007	Ford Cosworth DFV 3.0 V8	B	Kazuyoshi Hoshino	16
Maki - Ford	F102A	Ford Cosworth DFV 3.0 V8	G	Tony Trimmer	16
