Year	Milan – San Remo	Tour of Flanders	Paris–Roubaix	Liège–Bastogne–Liège	Giro di Lombardia
1983	Giuseppe Saronni ( ITA )	Jan Raas ( NED )	Hennie Kuiper ( NED )	Steven Rooks ( NED )	Sean Kelly ( IRL )
1984	Francesco Moser ( ITA )	Johan Lammerts ( NED )	Sean Kelly ( IRL )	Sean Kelly ( IRL )	Bernard Hinault ( FRA )
1985	Hennie Kuiper ( NED )	Eric Vanderaerden ( BEL )	Marc Madiot ( FRA )	Moreno Argentin ( ITA )	Sean Kelly ( IRL )
1986	Sean Kelly ( IRL )	Adri van der Poel ( NED )	Sean Kelly ( IRL )	Moreno Argentin ( ITA )	Gianbattista Baronchelli ( ITA )
1987	Erich Mächler ( SUI )	Claude Criquielion ( BEL )	Eric Vanderaerden ( BEL )	Moreno Argentin ( ITA )	Moreno Argentin ( ITA )
1988	Laurent Fignon ( FRA )	Eddy Planckaert ( BEL )	Dirk Demol ( BEL )	Adri van der Poel ( NED )	Charly Mottet ( FRA )
1989	Laurent Fignon ( FRA )	Edwig van Hooydonck ( BEL )	Jean-Marie Wampers ( BEL )	Sean Kelly ( IRL )	Tony Rominger ( SUI )
1990	Gianni Bugno ( ITA )	Moreno Argentin ( ITA )	Eddy Planckaert ( BEL )	Eric van Lancker ( BEL )	Gilles Delion ( FRA )
1991	Claudio Chiappucci ( ITA )	Edwig van Hooydonck ( BEL )	Marc Madiot ( FRA )	Moreno Argentin ( ITA )	Sean Kelly ( IRL )
1992	Sean Kelly ( IRL )	Jacky Durand ( FRA )	Gilbert Duclos-Lassalle ( FRA )	Dirk de Wolf ( BEL )	Tony Rominger ( SUI )
1993	Maurizio Fondriest ( ITA )	Johan Museeuw ( BEL )	Gilbert Duclos-Lassalle ( FRA )	Rolf Sørensen ( DEN )	Pascal Richard ( SUI )
1994	Giorgio Furlan ( ITA )	Gianni Bugno ( ITA )	Andrei Tchmil ( UKR )	Evgeni Berzin ( RUS )	Viatcheslav Bobrik ( RUS )
1995	Laurent Jalabert ( FRA )	Johan Museeuw ( BEL )	Franco Ballerini ( ITA )	Mauro Gianetti ( SUI )	Gianni Faresin ( ITA )
1996	Gabriele Colombo ( ITA )	Michele Bartoli ( ITA )	Johan Museeuw ( BEL )	Pascal Richard ( SUI )	Andrea Tafi ( ITA )
1997	Erik Zabel ( GER )	Rolf Sørensen ( DEN )	Frédéric Guesdon ( FRA )	Michele Bartoli ( ITA )	Laurent Jalabert ( FRA )
1998	Erik Zabel ( GER )	Johan Museeuw ( BEL )	Franco Ballerini ( ITA )	Michele Bartoli ( ITA )	Oscar Camenzind ( SUI )
1999	Andrei Tchmil ( BEL )	Peter Van Petegem ( BEL )	Andrea Tafi ( ITA )	Frank Vandenbroucke ( BEL )	Mirko Celestino ( ITA )
2000	Erik Zabel ( GER )	Andrei Tchmil ( BEL )	Johan Museeuw ( BEL )	Paolo Bettini ( ITA )	Raimondas Rumšas ( LTU )
2001	Erik Zabel ( GER )	Gianluca Bortolami ( ITA )	Servais Knaven ( NED )	Oscar Camenzind ( SUI )	Danilo Di Luca ( ITA )
2002	Mario Cipollini ( ITA )	Andrea Tafi ( ITA )	Johan Museeuw ( BEL )	Paolo Bettini ( ITA )	Michele Bartoli ( ITA )
2003	Paolo Bettini ( ITA )	Peter Van Petegem ( BEL )	Peter Van Petegem ( BEL )	Tyler Hamilton ( USA )	Michele Bartoli ( ITA )
2004	Óscar Freire ( ESP )	Steffen Wesemann ( GER )	Magnus Bäckstedt ( SWE )	Davide Rebellin ( ITA )	Damiano Cunego ( ITA )
2005	Alessandro Petacchi ( ITA )	Tom Boonen ( BEL )	Tom Boonen ( BEL )	Alexander Vinokourov ( KAZ )	Paolo Bettini ( ITA )
2006	Filippo Pozzato ( ITA )	Tom Boonen ( BEL )	Fabian Cancellara ( SUI )	Alejandro Valverde ( ESP )	Paolo Bettini ( ITA )
2007	Óscar Freire ( ESP )	Alessandro Ballan ( ITA )	Stuart O'Grady ( AUS )	Danilo Di Luca ( ITA )	Damiano Cunego ( ITA )
2008	Fabian Cancellara ( SUI )	Stijn Devolder ( BEL )	Tom Boonen ( BEL )	Alejandro Valverde ( ESP )	Damiano Cunego ( ITA )
2009	Mark Cavendish ( GBR )	Stijn Devolder ( BEL )	Tom Boonen ( BEL )	Andy Schleck ( LUX )	Philippe Gilbert ( BEL )
2010	Óscar Freire ( ESP )	Fabian Cancellara ( SUI )	Fabian Cancellara ( SUI )	Alexander Vinokourov ( KAZ )	Philippe Gilbert ( BEL )
2011	Matthew Goss ( AUS )	Nick Nuyens ( BEL )	Johan Vansummeren ( BEL )	Philippe Gilbert ( BEL )	Oliver Zaugg ( SUI )
2012	Simon Gerrans ( AUS )	Tom Boonen ( BEL )	Tom Boonen ( BEL )	Maxim Iglinsky ( KAZ )	Joaquim Rodriguez ( ESP )
2013	Gerald Ciolek ( GER )	Fabian Cancellara ( SUI )	Fabian Cancellara ( SUI )	Daniel Martin ( IRL )	Joaquim Rodriguez ( ESP )
