Team	Matches	Wins	Wins %	Draws	Draws %	Losses	Losses %	Against	For & Against Ratio
Celtic	3	0	0%	2	66.67%	1	33.33%	2	0.5
CFR Cluj	2	2	100%	0	0%	0	0%	0	Inf.
Chelsea	2	2	100%	0	0%	0	0%	1	3
CSKA Moscow	6	5	83.33%	0	0%	1	16.67%	7	1.71
CSKA Sofia	3	1	33.33%	2	66.67%	0	0%	2	1.5
Dinamo Bucureşti	6	3	50%	1	16.67%	2	33.33%	6	2.17
Dinamo Tbilisi	2	0	0%	1	50%	1	50%	1	0
Dukla Prague	2	1	50%	1	50%	0	0%	0	Inf.
Dynamo Kyiv	4	2	50%	2	50%	0	0%	5	1.4
Espanyol	2	0	0%	1	50%	1	50%	2	0.5
Etar	2	1	50%	1	50%	0	0%	0	Inf.
Everton	2	1	50%	1	50%	0	0%	0	Inf.
Fenerbahçe	2	1	50%	0	0%	1	50%	1	3
Ferencvárosi	2	1	50%	1	50%	0	0%	1	5
Feyenoord	2	0	0%	1	50%	1	50%	3	0.67
Floriana	2	2	100%	0	0%	0	0%	1	8
Göteborg	2	0	0%	2	100%	0	0%	1	1
Grazer	2	1	50%	0	0%	1	50%	1	1
Groningen	2	1	50%	0	0%	1	50%	3	1.67
Guingamp	2	1	50%	1	50%	0	0%	1	4
Hajduk Split	2	1	50%	0	0%	1	50%	2	1.5
Hamburger	2	1	50%	0	0%	1	50%	2	1
Hannover	2	2	100%	0	0%	0	0%	3	4.67
Hansa Rostock	2	1	50%	0	0%	1	50%	2	2
Hearts	2	2	100%	0	0%	0	0%	0	Inf.
Helsingborgs	2	0	0%	1	50%	1	50%	1	0
Hertha BSC	4	2	50%	1	25%	1	25%	2	2
Ipswich Town	2	1	50%	0	0%	1	50%	2	2
Köln	5	4	80%	0	0%	1	20%	8	1.63
LASK Linz	2	1	50%	0	0%	1	50%	1	4
Lazio	1	1	100%	0	0%	0	0%	0	Inf.
Legia Warsaw	4	2	50%	1	25%	1	25%	3	1.33
Lille	2	2	100%	0	0%	0	0%	1	3
Liverpool	4	1	25%	0	0%	3	75%	6	0.67
Lokomotiv Moscow	2	0	0%	1	50%	1	50%	4	0.25
Lugano	2	0	0%	1	50%	1	50%	2	0.5
Malmö	4	1	25%	2	50%	1	25%	3	1
Manchester United	4	0	0%	2	50%	2	50%	5	0.2
Milan	4	0	0%	2	50%	2	50%	4	0.25
AS Monaco	4	3	75%	0	0%	1	25%	3	2.33
Nantes	4	2	50%	2	50%	0	0%	5	1.8
Neftchi Baku	2	1	50%	1	50%	0	0%	3	1.67
Neuchâtel Xamax	2	2	100%	0	0%	0	0%	0	Inf.
Newcastle United	4	1	25%	2	50%	1	25%	6	1.17
Norrköping	2	1	50%	1	50%	0	0%	2	2
Norwich City	2	2	100%	0	0%	0	0%	0	Inf.
Olympique Lyon	6	2	33.33%	2	33.33%	2	33.33%	9	1.78
Olympique Marseille	4	1	25%	0	0%	3	75%	4	0.5
Panathinaikos	2	1	50%	0	0%	1	50%	1	2
Partizan	6	5	83.33%	1	16.67%	0	0%	3	4
Petržalka	2	2	100%	0	0%	0	0%	0	Inf.
Porto	4	2	50%	1	25%	1	25%	5	1.2
PSV Eindhoven	2	2	100%	0	0%	0	0%	0	Inf.
Rangers	6	3	50%	1	16.67%	2	33.33%	6	1.5
Rapid Bucureşti	2	2	100%	0	0%	0	0%	1	5
Rapid Wien	2	1	50%	0	0%	1	50%	3	1.33
Real Madrid	15	7	46.67%	2	13.33%	6	40%	20	0.95
Real Sociedad	2	1	50%	0	0%	1	50%	2	1.5
Red Star Belgrade	2	1	50%	1	50%	0	0%	1	2
Roma	2	1	50%	0	0%	1	50%	1	2
Rosenborg	2	1	50%	1	50%	0	0%	2	2.5
Rubin Kazan	4	1	25%	2	50%	1	25%	6	0.83
Ruch Chorzów	2	2	100%	0	0%	0	0%	1	7
Salzburg	2	2	100%	0	0%	0	0%	0	Inf.
Schalke 04	6	2	33.33%	1	16.67%	3	50%	9	0.67
Shakhtar Donetsk	2	1	50%	1	50%	0	0%	1	3
Skonto Riga	2	2	100%	0	0%	0	0%	1	7
Slovan Bratislava	2	1	50%	0	0%	1	50%	2	1.5
Sochaux	2	0	0%	2	100%	0	0%	2	1
Sparta Prague	2	2	100%	0	0%	0	0%	0	Inf.
Spartak Moscow	6	5	83.33%	1	16.67%	0	0%	5	2
Sporting CP	6	3	50%	2	33.33%	1	16.67%	1	5
Sportul Studenţesc	2	1	50%	0	0%	1	50%	1	2
St. Gallen	2	1	50%	1	50%	0	0%	1	5
Standard	2	1	50%	0	0%	1	50%	2	1
Strasbourg	2	1	50%	0	0%	1	50%	2	1.5
Sturm Graz	2	2	100%	0	0%	0	0%	0	Inf.
Torpedo Moscow	2	1	50%	1	50%	0	0%	0	Inf.
Tottenham Hotspur	4	2	50%	0	0%	2	50%	10	0.9
Trabzonspor	4	1	25%	1	25%	2	50%	3	1
TPS	2	1	50%	0	0%	1	50%	1	2
Twente	2	1	50%	1	50%	0	0%	2	1.5
Universitatea	2	1	50%	1	50%	0	0%	1	3
Valencia	10	3	30%	5	50%	2	20%	11	1.27
Valletta	2	2	100%	0	0%	0	0%	1	7
Vasas	2	2	100%	0	0%	0	0%	1	4
Vaslui	1	1	50%	1	50%	0	0%	2	2
Villarreal	2	1	50%	0	0%	1	50%	2	1
Vitesse	2	0	0%	2	100%	0	0%	1	1
Vitória de Setúbal	2	1	50%	0	0%	1	50%	2	0.5
Werder Bremen	6	2	33.33%	2	33.33%	2	33.33%	7	1.29
Wisla Kraków	2	1	50%	0	0%	1	50%	1	2
Zagreb XI	2	2	100%	0	0%	0	0%	0	Inf.
Total	375	185	49.33%	90	24.00%	100	26.67%	357	1.62
