Member	Party	Electorate	State	Term in office
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Hon Brian Howe	Labor	Batman	Vic	1977–1996
Rob Hulls	Labor	Kennedy	Qld	1990–1993
Hon Ben Humphreys	Labor	Griffith	Qld	1977–1996
Carolyn Jakobsen	Labor	Cowan	WA	1984–1993
Harry Jenkins	Labor	Scullin	Vic	1986–2013
Gary Johns	Labor	Petrie	Qld	1987–1996
Hon Barry Jones	Labor	Lalor	Vic	1977–1998
David Jull	Liberal	Fadden	Qld	1975–1983, 1984–2007
Hon Paul Keating	Labor	Blaxland	NSW	1969–1996
Hon Ros Kelly	Labor	Canberra	ACT	1980–1995
Dr David Kemp	Liberal	Goldstein	Vic	1990–2004
Hon John Kerin	Labor	Werriwa	NSW	1972–1975, 1978–1993
Duncan Kerr	Labor	Denison	Tas	1987–2010
John Langmore	Labor	Fraser	ACT	1984–1997
Michael Lavarch	Labor	Fisher	Qld	1987–1996
Michael Lee	Labor	Dobell	NSW	1984–2001
Ted Lindsay	Labor	Herbert	Qld	1983–1996
Bruce Lloyd	National	Murray	Vic	1971–1996
Ted Mack	Independent	North Sydney	NSW	1990–1996
Hon Michael MacKellar	Liberal	Warringah	NSW	1969–1994
Stephen Martin	Labor	Macarthur	NSW	1984–2002
Stewart McArthur	Liberal	Corangamite	Vic	1984–2007
Peter McGauran	National	Gippsland	Vic	1983–2008
Hon Jeannette McHugh	Labor	Phillip	NSW	1983–1996
Ian McLachlan	Liberal	Barker	SA	1990–1998
Hon Leo McLeay	Labor	Grayndler	NSW	1979–2004
Daryl Melham	Labor	Banks	NSW	1990–2013
Chris Miles	Liberal	Braddon	Tas	1984–1998
Hon John Moore	Liberal	Ryan	Qld	1975–2001
Allan Morris	Labor	Newcastle	NSW	1983–1998
Hon Peter Morris	Labor	Shortland	NSW	1972–1998
Garry Nehl	National	Cowper	NSW	1984–2001
Neville Newell	Labor	Richmond	NSW	1990–1996
Peter Nugent	Liberal	Aston	Vic	1990–2001
Neil O'Keefe	Labor	Burke	Vic	1984–2001
Lloyd O'Neil	Labor	Grey	SA	1983–1993
Hon Andrew Peacock	Liberal	Kooyong	Vic	1966–1994
Roger Price	Labor	Chifley	NSW	1984–2010
Geoff Prosser	Liberal	Forrest	WA	1987–2007
Hon Gary Punch	Labor	Barton	NSW	1983–1996
Hon Bruce Reid	Liberal	Bendigo	Vic	1990–1998
Peter Reith	Liberal	Flinders	Vic	1982–1983, 1984–2001
John Riggall	Liberal	McMillan	Vic	1990–1993
Allan Rocher	Liberal	Curtin	WA	1981–1998
Michael Ronaldson	Liberal	Ballarat	Vic	1990–2001
Philip Ruddock	Liberal	Dundas	NSW	1973–present
Rod Sawford	Labor	Port Adelaide	SA	1988–2007
Hon Gordon Scholes	Labor	Corio	Vic	1967–1993
Con Sciacca	Labor	Bowman	Qld	1987–2004
Bruce Scott	National	Maranoa	Qld	1990–present
John Scott	Labor	Hindmarsh	SA	1980–1993
Les Scott	Labor	Oxley	Qld	1988–1996
Peter Shack	Liberal	Tangney	WA	1977–1983, 1984–1993
John Sharp	National	Gilmore	NSW	1984–1998
Hon David Simmons	Labor	Calare	NSW	1983–1996
Rt Hon Ian Sinclair	National	New England	NSW	1963–1998
Warwick Smith	Liberal	Bass	Tas	1984–1993
Jim Snow	Labor	Eden-Monaro	NSW	1983–1996
Warren Snowdon	Labor	Northern Territory	NT	1987–1996, 1998–present
Alex Somlyay	Liberal	Fairfax	Qld	1990–2013
Hon Peter Staples	Labor	Jagajaga	Vic	1983–1996
Kathy Sullivan	Liberal	Moncrieff	Qld	1984–2001
Bill Taylor	Liberal	Groom	Qld	1988–1998
Dr Andrew Theophanous	Labor	Calwell	Vic	1980–2001
Robert Tickner	Labor	Hughes	NSW	1984–1996
Warren Truss	National	Wide Bay	Qld	1990–present
Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Hon Frank Walker	Labor	Robertson	NSW	1990–1996
Alasdair Webster	Liberal	Macquarie	NSW	1984–1993
Hon Stewart West	Labor	Cunningham	NSW	1977–1993
Hon Ralph Willis	Labor	Gellibrand	Vic	1972–1998
Hon Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972–1993
Dr Bob Woods	Liberal	Lowe	NSW	1987–1993
Harry Woods	Labor	Page	NSW	1990–1996
Dr Michael Wooldridge	Liberal	Chisholm	Vic	1987–2001
Keith Wright	Labor/Independent [3 ]	Capricornia	Qld	1984–1993
