Name	Lifetime	Nationality	Sport	Notes
Blake Skjellerup	b. 1985	New Zealander	Short track speed skating	G
Vibeke Skofterud	b. 1980	Norwegian	Cross country skiing	B
Jerry Smith	1943–1986	American	American football	B
Judy Sowinski	1940–2011	American	Roller derby	L
Muffin Spencer-Devlin	b. 1953	American	Golf	L
Helen Stephens	1918 - 1994	American	Track and field	L
Rennae Stubbs	b. 1971	Australian	Tennis	L
Pia Sundhage	b. 1960	Swedish	Football	L
Sheryl Swoopes	b. 1971	American	Basketball	B
Stacy Sykora	b. 1977	American	Volleyball	L
Blyth Tait	b. 1961	New Zealander	Equestrian	G
David Testo	b. 1981	American	Football	G
Ina-Yoko Teutenberg	b. 1974	German	Cyclist	L
Mark Tewksbury	b. 1968	Canadian	Swimming	G
Carole Thate	b. 1971	Dutch	Field hockey	L
Gareth Thomas	b. 1974	Welsh	Rugby	G
Bill Tilden	1893–1953	American	Tennis	G
Ted Tinling	1910–1990	English	Tennis	G
Esera Tuaolo	b. 1968	American	American football	G
Marcus Urban	b. 1971	German	Football	G
Sarah Vaillancourt	b. 1985	Canadian	Ice hockey	L
Michele Van Gorp	b. 1977	American	Basketball	L
Dan Veatch	b. 1965	American	Swimming	G
Mike Verschuur	b. 1987	Dutch	Automobile racing	G
Lisa-Marie Vizaniari	b. 1971	Australian	Track and field; Boxing	L
Tom Waddell	1937–1987	American	Decathlon; Creator of the Gay Games .	G
Louisa Wall	b. 1972	New Zealander	Rugby	L
Ji Wallace	b. 1977	Australian	Gymnastics	G
Sarah Walsh	b. 1983	Australian	Football	L
Jeffrey Wammes	b. 1987	Dutch	Gymnastics	G
Ann Wauters	b. 1980	Belgian	Basketball	L
Johnny Weir	b. 1984	American	Figure skating	G
Rick Welts	b. 1953	American	Basketball executive	G
Peter Wherrett	1936–2009	Australian	Automobile racing	T
Diane Whipple	1968–2001	American	Lacrosse	L
Sue Wicks	b. 1966	American	Basketball	L
Marieke Wijsman	b. 1975	Dutch	Speed skating	L
David Wilson	b. ?	Canadian	Figure skating	G
Chris Witty	b. 1975	American	Speed Skating	L
Andrea Worrall	b. 1977	Welsh	Football	L
Ireen Wüst	b. 1986	Dutch	Speed skating	B
Alissa Wykes	b. ?	American	American football	L
Darren Young	b. 1983	American	Wrestling	G
Cyd Zeigler, Jr.	b. 1973	American	Journalist	G
Sharnee Zoll-Norman	b. 1986	American	Basketball	L
