Name	Nation	Seasons	Championship titles	Races (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Ivan Lukashevich Category:Articles with hCards	Russia	2010 – 2011	0	32	0	0	0	0	0
Fabiano Machado Category:Articles with hCards	Brazil	2012	0	16 (14)	0	0	0	0	0
Callum MacLeod Category:Articles with hCards	United Kingdom	2011	0	8	0	0	0	0	3
Daniel Mancinelli Category:Articles with hCards	Italy	2011	0	4	0	0	0	0	0
Melville McKee Category:Articles with hCards	United Kingdom	2013	0	14	0	1	1	1	31
Nigel Melker Category:Articles with hCards	Netherlands	2010 – 2011	0	32	2	1	5	2	43
Roberto Merhi Category:Articles with hCards	Spain	2010	0	12	0	0	3	1	26
Miki Monrás Category:Articles with hCards	Spain	2010	0	16	0	0	2	1	17
Daniel Morad Category:Articles with hCards	Canada	2010 – 2011	0	22 (20)	0	1	1	1	15
Nico Müller Category:Articles with hCards	Switzerland	2010 – 2011	0	32	1	3	7	2	89
Josef Newgarden Category:Articles with hCards	United States	2010	0	16	1	0	0	0	8
Patric Niederhauser Category:Articles with hCards	Switzerland	2012 – 2013	0	32	0	2	6	1	134
Pedro Nunes Category:Articles with hCards	Brazil	2010 – 2011	0	28	0	0	0	0	4
Oliver Oakes Category:Articles with hCards	United Kingdom	2010	0	16	0	0	0	0	0
Vicky Piria Category:Articles with hCards	Italy	2012	0	16	0	0	0	0	0
Jim Pla Category:Articles with hCards	France	2010	0	2	0	0	0	0	0
Alice Powell Category:Articles with hCards	United Kingdom	2012	0	18	0	0	0	0	1
Adrian Quaife-Hobbs Category:Articles with hCards	United Kingdom	2010 – 2011	0	32 (31)	2	1	3	1	46
Facu Regalia Category:Articles with hCards	Argentina	2012 – 2013	0	20	1	1	6	2	138
Patrick Reiterer Category:Articles with hCards	Italy	2010	0	4	0	0	0	0	0
Ethan Ringel Category:Articles with hCards	United States	2012	0	16	0	0	0	0	0
Alexander Rossi Category:Articles with hCards	United States	2010	0	16	0	2	5	1	38
Luís Sá Silva Category:Articles with hCards	Angola	2013	0	16	0	0	0	0	0
Carlos Sainz, Jr. Category:Articles with hCards	Spain	2013	0	16	1	0	2	2	66
Kotaro Sakurai Category:Articles with hCards	Japan / Philippines	2012	0	6	0	0	0	0	0
Pablo Sánchez López Category:Articles with hCards	Mexico	2010	0	16	0	0	0	0	0
Doru Sechelariu Category:Articles with hCards	Romania	2010	0	16	0	0	0	0	0
Alexander Sims Category:Articles with hCards	United Kingdom	2011 , 2013	0	24	0	2	8	3	111
Dean Smith Category:Articles with hCards	United Kingdom	2010 – 2011	0	30	0	0	3	1	42
Antonio Spavone Category:Articles with hCards	Italy	2012	0	8	0	0	0	0	0
Richie Stanaway Category:Articles with hCards	New Zealand	2011	0	4	0	1	1	0	7
Marlon Stöckinger Category:Articles with hCards	Philippines	2011 – 2012	0	32 (31)	0	1	2	1	55
Dean Stoneman Category:Articles with hCards	United Kingdom	2013	0	2	0	0	1	0	20
Dominic Storey Category:Articles with hCards	New Zealand	2011	0	4	0	0	0	0	0
Dmitry Suranovich Category:Articles with hCards	Russia	2012	0	16	0	0	0	0	0
Adrien Tambay Category:Articles with hCards	France	2010	0	4	0	1	1	0	6
Simon Trummer Category:Articles with hCards	Switzerland	2010 – 2011	0	30	0	0	0	0	13
Aaro Vainio Category:Articles with hCards	Finland	2011 – 2013	0	46	3	3	8	1	212
Renger van der Zande Category:Articles with hCards	Netherlands	2010	0	16	0	0	1	0	6
Pål Varhaug Category:Articles with hCards	Norway	2010	0	16	0	1	1	0	10
Giovanni Venturini Category:Articles with hCards	Italy	2012 – 2013	0	26	0	1	3	0	57
Jean-Éric Vergne Category:Articles with hCards	France	2010	0	4	0	0	0	0	9
Robert Vișoiu Category:Articles with hCards	Romania	2012 – 2013	0	32	0	2	3	0	68
John Wartique Category:Articles with hCards	Belgium	2012	0	10	0	0	0	0	0
Josh Webster Category:Articles with hCards	United Kingdom	2013	0	16	0	0	0	0	0
Robert Wickens Category:Articles with hCards	Canada	2010	0	16	1	3	7	2	71
Lewis Williamson Category:Articles with hCards	United Kingdom	2011 – 2013	0	38 (37)	1	1	4	1	88
Nick Yelloly Category:Articles with hCards	United Kingdom	2011 , 2013	0	32	0	0	5	1	114
Dino Zamparelli Category:Articles with hCards	United Kingdom	2013	0	15	0	0	0	0	13
Maxim Zimin Category:Articles with hCards	Russia	2011	0	16 (15)	0	0	0	0	0
