Rank	Name	City	Height in m (ft)	Floors	Year built
48=	Palazzo Lombardia	Milan	m (ft)	44	2010
51=	Westend Gate	Frankfurt	m (ft)	47	1976
51=	Rondo 1	Warsaw	m (ft)	40	2006
51=	Cosmopolitan Twarda 2/4	Warsaw	m (ft)	46	2013
54=	Torre Lúgano	Benidorm	m (ft)	43	2007
54=	New Orleans	Rotterdam	m (ft)	43	2010
54=	Torre Picasso	Madrid	m (ft)	43	1988
54=	One Churchill Place	London	m (ft)	32	2004
58=	Deutsche Bank I	Frankfurt	m (ft)	40	1984
58=	Deutsche Bank II	Frankfurt	m (ft)	38	1984
58=	Torre Eurosky	Rome	m (ft)	35	2012
58=	Tour Egée	Paris	m (ft)	40	1999
58=	Tour Adria	Paris	m (ft)	40	2002
62=	Torre Mapfre	Barcelona	m (ft)	40	1992
62=	Hotel Arts	Barcelona	m (ft)	44	1994
62=	Skyper	Frankfurt	m (ft)	38	2004
65=	25 Bank Street	London	m (ft)	33	2003
65=	40 Bank Street	London	m (ft)	33	2003
67=	Tour Ariane	Paris	m (ft)	36	1975
67=	Montevideo	Rotterdam	m (ft)	43	2005
69=	Gebouw Delftse Poort I	Rotterdam	m (ft)	41	1992
69=	Torre Pontina	Latina	m (ft)	37	2010
69=	10 Upper Bank Street	London	m (ft)	32	2003
71=	Tour Les Poissons	Courbevoie	m (ft)	42	1970
71=	Rembrandt Tower	Amsterdam	m (ft)	41	1992
71=	Hochhaus Neue Donau	Vienna	m (ft)	33	2002
74=	KölnTurm	Cologne	m (ft)	43	2001
74=	Tour du Midi/Zuidertoren	Brussels	m (ft)	38	1967
74=	Eurotower	Frankfurt	m (ft)	39	1977
74=	Neguri Gane	Benidorm	m (ft)	40	2002
74=	Strata SE1	London	m (ft)	43	2010
74=	Tour EDF	Paris	m (ft)	41	2001
80=	Colonia-Haus	Cologne	m (ft)	42	1972
80=	Pan Peninsula East Tower	London	m (ft)	48	2009
80=	CMA CGM Tower	Marseille	m (ft)	33	2010
80=	Ministry of the Interior and Kingdom Relations	The Hague	m (ft)	37	2012
84	Hochhaus Uptown München	Munich	m (ft)	38	2004
85	Tour des Finances/Financietore	Brussels	m (ft)	36	1984
86=	Jen Tower	Jena	m (ft)	29	1973
86=	Tour Bretagne	Nantes	m (ft)	37	1976
86=	Warsaw Financial Center	Warsaw	m (ft)	35	1999
86=	Torre Agbar	Barcelona	m (ft)	33	2004
86=	Sea Towers	Gdynia	m (ft)	36	2009
91=	Torre Solaria	Milan	m (ft)	34	2013
91=	Tour Dexia	Paris	m (ft)	34	2005
91=	City-Hochhaus Leipzig	Leipzig	m (ft)	36	1971
91=	Tour Pleyel	Paris	m (ft)	38	1973
91=	Guy's Hospital	London	m (ft)	34	1974
96=	Torre de Madrid	Madrid	m (ft)	37	1957
96=	City-Haus	Frankfurt	m (ft)	42	1974
96=	Frankfurter Büro Center	Frankfurt	m (ft)	40	1980
96=	Hoftoren	The Hague	m (ft)	30	2003
96=	Westpoint Tower	Tilburg	m (ft)	47	2004
101=	Centrum LIM	Warsaw	m (ft)	43	1989
101=	Torre Diamante	Milan	m (ft)	32	2012
101=	West Tower	Liverpool	m (ft)	40	2008
101=	Edificio Kronos	Benidorm	m (ft)	41	2008
101=	22 Marsh Wall	London	m (ft)	44	2010
