Draft	Round	Pick	Player	Nationality
1997	4	100	Ryan Ready	Canada
1997	5	113	Martin Moise	Canada
1997	6	140	Ilja Demidov	Russia
1997	7	167	Jeremy Rondeau	Canada
1997	9	223	Dustin Paul	Canada
1998	1	6	Rico Fata	Canada
1998	2	33	Blair Betts	Canada
1998	3	62	Paul Manning	Canada
1998	4	102	Shaun Sutter	Canada
1998	4	108	Dany Sabourin	Canada
1998	5	120	Brent Gauvreau	Canada
1998	7	192	Radek Duda	Czech Republic
1998	8	206	Jonas Frogren	Sweden
1998	9	234	Kevin Mitchell	United States
1999	1	11	Oleg Saprykin	Russia
1999	2	38	Dan Cavanaugh	United States
1999	3	77	Craig Anderson	United States
1999	4	106	Rail Rozakov Category:Articles with hCards	Russia
1999	5	135	Matt Doman	United States
1999	6	153	Jesse Cook	United States
1999	6	166	Cory Pecker	Canada
1999	6	170	Matt Underhill	Canada
1999	7	190	Blair Stayzer	Canada
1999	9	252	Dmitri Kirilenko	Canada
2000	1	9	Brent Krahn	Canada
2000	2	40	Kurtis Foster	Canada
2000	2	46	Jarret Stoll	Canada
2000	4	116	Levente Szuper	Hungary
2000	5	141	Wade Davis	Canada
2000	5	155	Travis Moen	Canada
2000	6	176	Jukka Hentunen	Finland
2000	8	239	David Hajek	Czech Republic
2000	9	270	Micki DuPont	Canada
2001	1	14	Chuck Kobasew	Canada
2001	2	41	Andrei Taratukhin	Russia
2001	2	56	Andrei Medvedev	Russia
2001	4	108	Tomi Maki	Finland
2001	4	124	Egor Shastin	Russia
2001	5	145	James Hakewill	United States
2001	5	164	Yuri Trubachev	Russia
2001	7	207	Garrett Bembridge	Canada
2001	7	220	David Moss	United States
2001	8	233	Joe Campbell	United States
2001	8	251	Ville Hamalainen	Finland
2002	1	10	Eric Nystrom	United States
2002	2	39	Brian McConnell	United States
2002	3	90	Matthew Lombardi	Canada
2002	4	112	Yuri Artemenkov	Russia
2002	5	141	Jiri Cetkovsky	Czech Republic
2002	5	142	Emanuel Peter	Switzerland
2002	5	146	Victor Bobrov	Russia
2002	5	159	Kristofer Persson	Sweden
2002	6	176	Curtis McElhinney	Canada
2002	7	202	David Van der Gulik	Canada
2002	7	207	Pierre Johnsson	Sweden
2002	8	238	Jyri Marttinen	Finland
2003	1	9	Dion Phaneuf	Canada
2003	2	39	Tim Ramholt	Switzerland
2003	3	97	Ryan Donally	Canada
2003	4	112	Jamie Tardif	Canada
2003	5	143	Greg Moore	United States
2003	6	173	Tyler Johnson	Canada
2003	7	206	Thomas Bellemare	Canada
2003	8	240	Cam Cunning	Canada
2003	9	270	Kevin Harvey Category:Articles with hCards	Canada
2004	1	24	Kris Chucko	Canada
2004	3	70	Brandon Prust	Canada
2004	3	98	Dustin Boyd	Canada
2004	4	118	Aki Seitsonen	Finland
2004	4	121	Kris Hogg	Canada
2004	6	173	Adam Pardy	Canada
2004	6	182	Fred Wikner	Sweden
2004	7	200	Matthew Schneider	Canada
2004	7	213	James Spratt	United States
2004	9	279	Adam Cracknell	Canada
2005	1	26	Matt Pelech	Canada
2005	3	69	Gord Baldwin	Canada
2005	3	74	Dan Ryder	Canada
2005	4	111	J. D. Watt	Canada
2005	5	128	Kevin Lalande	Canada
2005	5	158	Matt Keetley	Canada
2005	6	179	Brett Sutter	Canada
2005	7	221	Myles Rumsey	Canada
2006	1	26	Leland Irving	Canada
2006	3	87	John Armstrong	Canada
2006	3	89	Aaron Marvin	United States
2006	4	118	Hugo Carpentier	Canada
2006	5	149	Juuso Puustinen	Finland
2006	6	179	Jordan Fulton	United States
2006	7	187	Devin DiDiomete	Canada
2006	7	209	Per Johnsson	Sweden
2007	1	24	Mikael Backlund	Sweden
2007	3	70	John Negrin	Canada
2007	4	116	Keith Aulie	Canada
2007	5	143	Mickey Renaud	Canada
2007	7	186	C. J. Severyn	United States
2008	1	25	Greg Nemisz	Canada
2008	2	48	Mitch Wahl	United States
2008	3	78	Lance Bouma	Canada
2008	4	108	Nick Larson	United States
2008	4	114	T. J. Brodie	Canada
2008	6	168	Ryley Grantham	Canada
2008	7	198	Alexander Deilert	Sweden
2009	1	23	Tim Erixon	Sweden
2009	3	74	Ryan Howse	Canada
2009	4	111	Henrik Bjorklund	Sweden
2009	5	141	Spencer Bennett	Canada
2009	6	171	Joni Ortio	Finland
2009	7	201	Gaelan Patterson	Canada
2010	3	64	Max Reinhart	Canada
2010	3	73	Joey Leach	Canada
2010	4	103	John Ramage	United States
2010	4	108	Bill Arnold	United States
2010	5	133	Michael Ferland	Canada
2010	7	193	Patrick Holland	Canada
2011	1	13	Sven Bärtschi	Switzerland
2011	2	45	Markus Granlund	Finland
2011	2	57	Tyler Wotherspoon	Canada
2011	4	104	John Gaudreau	United States
2011	6	164	Laurent Brossoit	Canada
2012	1	21	Mark Jankowski	Canada
2012	2	42	Patrick Sieloff	United States
2012	3	75	Jon Gillies	United States
2012	4	105	Brett Kulak	Canada
2012	5	124	Ryan Culkin	Canada
2012	6	165	Coda Gordon	Canada
2012	7	186	Matthew Deblouw	United States
2013	1	6	Sean Monahan	Canada
2013	1	22	Emile Poirier	Canada
2013	1	28	Morgan Klimchuk	Canada
2013	3	67	Keegan Kanzig	Canada
2013	5	135	Eric Roy	Canada
2013	6	157	Tim Harrison	United States
2013	7	187	Rushan Rafikov	Russia
2013	7	198	John Gilmour	Canada
