Rank	Place	County	Per Capita Income	Median House- hold Income	Population	Number of Households
52	Lafayette Hill	Montgomery County	$40,363	$84,835	10226	3783
53	Lower Moreland Township	Montgomery County	$40,129	$82,597	11281	4112
54	Radnor Township	Delaware County	$39,813	$74,272	30878	10347
55	Whitemarsh Township	Montgomery County	$39,785	$78,630	16702	6179
56	Upper Providence Township	Delaware County	$39,532	$71,166	10509	4075
57	Newtown Township	Delaware County	$39,364	$65,924	11700	4549
58	Adams Township	Butler County	$39,204	$65,357	6774	2382
59	Edgewood	Allegheny County	$39,188	$52,153	3311	1639
60	Dresher	Montgomery County	$38,865	$99,231	5610	1765
61	Sewickley Hills	Allegheny County	$38,681	$79,466	652	225
62	Exton	Chester County	$38,589	$68,240	4267	2053
63	East Marlborough Township	Chester County	$38,090	$95,812	6317	2131
64	Doylestown Township	Bucks County	$38,031	$81,226	17619	5999
65	Upper Dublin Township	Montgomery County	$37,994	$80,093	25878	9174
66	Churchill	Allegheny County	$37,964	$67,321	3566	1519
67	Franklin Park	Allegheny County	$37,924	$87,627	11364	3866
68	East Goshen Township	Chester County	$37,775	$64,777	16824	7165
69	Chester Heights	Delaware County	$37,707	$70,236	2481	1056
70	McMurray	Washington County	$37,364	$81,736	4726	1582
71	Wyomissing	Berks County	$37,313	$54,681	8587	3359
72	Heath Township	Jefferson County	$37,309	$42,500	160	77
73	Aleppo Township	Allegheny County	$37,187	$59,167	1039	483
74	Westtown Township	Chester County	$36,894	$85,049	10352	3705
75	Thompsonville	Washington County	$36,853	$75,000	3592	1228
76	Flying Hills	Berks County	$36,822	$59,596	1191	592
77	Newlin Township	Chester County	$36,804	$68,828	1150	429
78	Wyndmoor	Montgomery County	$36,205	$72,219	5601	2144
79	Peters Township	Washington County	$36,159	$77,442	17566	6026
80	Ardmore	Montgomery County	$36,111	$60,966	12616	5529
81	Clarks Green	Lackawanna County	$35,975	$61,250	1630	616
82	London Britain Township	Chester County	$35,761	$93,521	2797	957
83	Buckingham Township	Bucks County	$35,735	$82,376	16422	5711
84	Devon-Berwyn	Chester County	$35,551	$74,886	5067	1978
85	North Abington Township	Lackawanna County	$35,537	$57,917	782	258
86	Malvern	Chester County	$35,477	$62,308	3059	1361
87	Pine Township	Allegheny County	$35,202	$85,817	7683	2411
88	Narberth	Montgomery County	$35,165	$60,408	4233	1904
89	West Whiteland Township	Chester County	$35,031	$71,545	16499	6618
90	Timber Hills	Lebanon County	$34,974	$55,938	329	157
91	Upper Merion Township	Montgomery County	$34,961	$65,636	26863	11575
92	Homewood	Beaver County	$34,486	$33,333	147	59
93	Newtown Township	Bucks County	$34,335	$80,532	18206	6761
94	Tinicum Township	Bucks County	$34,321	$60,843	4206	1674
95	Worcester Township	Montgomery County	$34,264	$77,200	7789	2896
96	Wyomissing Hills	Berks County	$34,024	$61,364	2568	986
97	Woodbourne	Bucks County	$33,821	$107,913	3512	1008
98	Concord Township	Delaware County	$33,800	$85,503	9933	3384
99	Uwchlan Township	Chester County	$33,785	$81,985	16576	5921
