Year	Men's singles	Men's doubles	Women's doubles	Mixed doubles
1956	James Doyle	Alastair Russel Alistair McIntyre	M. B. Forrester M. McIntosh	R. Smyth R. Smyth
1957	Eddy B. Choong	Eddy B. Choong Oon Chong Teik	Iris Rogers June Timperley	Tony Jordan June Timperley
1958	Oon Chong Jin	Oon Chong Jin C. L. Oon	Catherine Dunglison Gladys Massie	Mac Henderson Helen McIntosh
1959	Trevor Coates	Tony Jordan Ronald Lockwood	Iris Roggers June Timperley	Tony Jordan June Timperley
1960	Robert McCoig	Robert McCoig Frank Shannon	Yvonne Kelly Mary O'Sullivan	Robert McCoig Wilma Tyre
1961	Trevor Coates	Hugh Findlay Ronald Lockwood	Sue Peard Lena Rea	Tony Jordan June Timperley
1962	Charoen Wattanasin	Robert McCoig Frank Shannon	Yvonne Kelly Mary O'Sullivan	Robert McCoig Wilma Tyre
1963	Colin Beacom	Tony Jordan Peter Wadell	E. Parr Jennifer Pritchard	Kenneth Derrick Margaret Barrand
1964	Robert McCoig	Robert McCoig Frank Shannon	Sue Peard Judy Hashman	Robert McCoig Judy Hashman
1965	Richard Purser	Roger Mills David Horton	Ursula H. Smith Jennifer Pritchard	John Havers Margaret Barrand
1966	Lee Kin Tat	Robert McCoig Mac Henderson	Yvonne Kelly Mary Bryan	Mac Henderson Catherine Dunglison
1967	Alan Parsons	Roger Mills David Horton	Margaret Boxall Sue Pound	Roger Mills Iris Roggers
1968	Lee Kin Tat	Ian Hume J. K. Neillage	Yvonne Kelly Mary Bryan	Robert McCoig Mary Thomson
1969	Ray Sharp	David Eddy Roger Powell	Margaret Boxall Susan Whetnall	Tony Jordan Susan Whetnall
1970	Robert McCoig	Robert McCoig Fraser Gow	Yvonne Kelly Sue Peard	Robert McCoig Helen Kelly
1971	Derek Talbot	Elliott Stuart Derek Talbot	Margaret Beck Julie Rickard	Derek Talbot Gillian Gilks
1972	Colin Bell	Adrian Bell Peter Moore	Yvonne Kelly Mary Bryan	John McCloy Mary Bryan
1973	Colin Bell	Adrian Bell Colin Bell	Barbara Beckett Lena McAleese	Adrian Bell Barbara Beckett
1974	Robert McCoig	J. Ansari J. Britton	Barbara Lord Dorthe Tyghe	Fraser Gow Christine Stewart
1975	Piet Ridder	William Kerr Kenneth Parsons	Marjan Luesken Joke van Beusekom	Rob Ridder Marjan Ridder
1976	Michael Wilks	Peter Bullivant Michael Wilks	Yvonne Kelly Barbara Beckett	John Scott Barbara Beckett
1977	Tim Goode	Tim Goode Duncan Bridge	Mary Dinan Wendy Orr	John Scott Pamela Hamilton
1978	Richard Purser	Richard Purser Bryan Purser	Christine Stewart Anne Johnstone	Billy Gilliland Joanna Flockhart
1979	Brian Walwoork	Duncan Bridge Ray Rofe	Kathleen Readhead Diane Simpson	Duncan Bridge Kathleen Redhead
1980	Dan Travers	Dan Travers Gordon Hamilton	Christine Heatly Joy Reid	Frazer Evans Diane Ungerwood
1981	Andy Goode	Gary Scott Andy Goode	Jill Pringle Mary Leeves	Rob Ridder Marjan Ridder
1982	Michal Malý	Billy Gilliland Dan Travers	Pamela Hamilton Alison Fulton	Billy Gilliland Christine Heatly
1983	Joe Ford	Billy Gilliland Dan Travers	Fiona Elliott Jill Pringle	Billy Gilliland Christine Heatly
1984	Kevin Jolly	Dipak Tailor Chris Dobson	Sally Podger Barbara Sutton	Billy Gilliland Christine Heatly
1985	Kevin Jolly	Billy Gililand Dan Travers	Fiona Elliott Alison Fischer	Billy Gilliland Christine Heatly
1986	Alex White	Alex White Dan Travers	Alison Fischer Caroline Gay	Dan Travers Morag McKay
1987	Alex White	Alex White Iain Pringle	Kartin Beckman Sara Halsall	Mike Tredgett Karin Beckman
1988	Alex White	Alex White Iain Pringle	Bozena Haracz Bozena Siemieniec	Nick Ponting Julie Munday
1989	Anthony Gallagher	Dan Travers Ken Middlemiss	Jennifer Allen Elinor Allen	Miles Johnson Suzanne Louis
1990	Iain Sydie	Stephan Kuhl Kai Mitteldorf	Katrin Schmidt Kerstin Ubben	Michael Keck Irina Serova
1991	Jeroen van Dijck	Nick Ponting Dave Wright	Alison Humby Joanne Wright	Nick Ponting Joanne Wright
1992	Chris Bruil	Andrey Antropov Nikolai Zuyev	Marina Andrievskaya Marina Yakusheva	Lars Pedersen Anne Mette Bille
1993	Chris Bruil	Andrey Antropov Nikolai Zuyev	Marina Andrievskaya Marina Yakusheva	Lars Pedersen Anne Mette Bille
1994	Rikard Magnsson	Jan Jorgensen Peder Nissen	Rikki Olsen Helene Kirkegaard	Kenny Middlemiss Elinor Allen
1995	Rikard Magnusson	Jim Laugesen Thomas Stavngaard	Majken Vange Pernille Harder	Julian Robertson Lorraine Cole
1996	Keneth Jonasses	Sung-Yuan Lee Shyh-Jeng Yong	Tanja Beg Mette Pedersen	Jesper Larsen Maiken Vange
1997	Darren Hall	James Anderson Ian Sullivan	Pernille Harder Mette Schjoldager	Nathan Robertson Joanne Wright
1998	Darren Hall	Michail Popov Svetoslav Stojanov	Joanne Wright Gail Emms	Ruud Kuijten Manon Albinus
1999	Peter Knowles	Graham Hurrell James Anderson	Hiromi Yamada Naomi Murakami	Anthony Clark Lorraine Cole
2000	Michael Edge	Alastair Gatt Craig Robertson	Emma Chafin Sarah Hardaker	Russell Hogg Kirsteen McEwan
2001	Mark Constable	Stephen Foster Robert Blair	Helle Nielsen Len Mork Christiansen	Robert Blair Natalie Munt
2002	Kenneth Jonassen	Robert Blair Ian Palethorpe	Ella Tripp Joanne Wright	Peter Jeffrey Suzanne Rayappan
2003	Kenneth Jonassen	Mihail Popov Bertrand Gallet	Pernille Harder Helle Nielsen	Ruben Khosadalina Kelly Matthews
2004	Joachim Persson	Ruben Khosadalina Ali Sindoro	Pernille Harder Helle Nielsen	Ruben Khosadalina Kelly Matthews
2005	Chetan Anand	Mihail Popov Svetoslav Stoyanov	Jenny Wallwork Sarah Bok	Roman Spitko Carina Mette
2006	Jens Kristian Leth	Thomas Tesche Jochen Cassel	Emma Mason Imogen Bankier	Wouter Claes Nathalie Descamps
2007	Peter Mikkelsen	Khan Bob Malaythong Howard Bach	Huang Bing Chloe Magee	Howard Bach Eva Lee
2008	Rajiv Ouseph	Richard Eidestedt Andrew Ellis	Helle Nielsen Marie Roepke	Jacob Chemnitz Marie Roepke
2009	Henri Hurskainen	Mads Conrad Petersen Mads Pieler Kolding	Mariana Agathangelou Heather Olver	Mikkel Delbo Larsen Mie Schjött Kristensen
2010	Hans Kristian Vittinghus	Chris Adcock Andrew Ellis	Maria Helsbol Anne Skelbaek	Chris Adcock Imogen Bankier
2011	Rajiv Ouseph	Adam Cwalina Michel Logosz	Ng Hui Ern Ng Hui Lin	Heather Olver Marcus Ellis
