Res.	Record	Opponent	Method	Event	Round	Location
Loss	32-20-8	Nilson de Castro	Decision (unanimous)	Pancrase - Spiral 2	3	Yokohama , Japan
Loss	32-19-8	Gustavo Machado	Submission (heel hook)	Pancrase - Brave 11	3	Tokyo , Japan
Win	32-18-8	Chael Sonnen	Decision (majority)	Pancrase - 2004 Neo-Blood Tournament, Final	3	Tokyo , Japan
Win	31-18-8	Kozo Urita	Decision (unanimous)	Pancrase - Brave 5	2	Tokyo , Japan
Draw	30-18-8	Bret Bergmark	Draw	Pancrase - Hybrid 11	3	Tokyo , Japan
Draw	30-18-7	Keith Jardine	Draw	Pancrase - Hybrid 8	2	Osaka , Japan
Win	30-18-6	Nate Marquardt	Decision (unanimous)	Pancrase - 2003 Neo-Blood Tournament, Round 2	3	Tokyo , Japan
Loss	29-18-6	Nilson de Castro	TKO (punches)	Pancrase - Hybrid 6	1	Tokyo , Japan
Draw	29-17-6	Tsuyoshi Kurihara	Draw	Pancrase - Hybrid 4	2	Tokyo , Japan
Loss	29-17-5	Akihiro Gono	TKO (punches)	Pancrase - Spirit 9	3	Tokyo , Japan
Win	29-16-5	Eiji Ishikawa	Decision (majority)	Pancrase - 2002 Anniversary Show	3	Yokohama , Japan
Win	28-16-5	Mitsuyoshi Sato	TKO (punches)	Pancrase - 2002 Neo-Blood Tournament, Round 2	3	Tokyo , Japan
Win	27-16-5	Ichiro Kanai	TKO (punches)	Pancrase - Spirit 4	1	Osaka , Japan
Win	26-16-5	Sumio Koyano	KO (punches)	Pancrase - Spirit 3	1	Tokyo , Japan
Loss	25-16-5	Yuki Sasaki	Submission (armbar)	Pancrase - Spirit 1	1	Tokyo , Japan
Loss	25-15-5	Akihiro Gono	Decision (unanimous)	Pancrase - Proof 6	3	Tokyo , Japan
Win	25-14-5	Hikaru Sato	Decision (unanimous)	Zero1 - Shingeki Chapter 2	2	Tokyo , Japan
Win	24-14-5	Yoshinori Kawasaki	TKO (punches)	Pancrase - 2001 Neo-Blood Tournament Second Round	1	Tokyo , Japan
Loss	23-14-5	Paulo Filho	KO (punches)	Deep - 1st Impact	2	Nagoya , Japan
Win	23-13-5	Denis Kang	Decision (majority)	Pancrase - Trans 7	2	Tokyo , Japan
Win	22-13-5	Ikuhisa Minowa	Decision (unanimous)	Pancrase - 2000 Anniversary Show	2	Yokohama , Japan
Win	21-13-5	Omar Bouiche	Submission (guillotine choke)	Pancrase - 2000 Anniversary Show	1	Yokohama , Japan
Win	20-13-5	Naohisa Kawamura	Decision (unanimous)	Pancrase - Trans 4	1	Tokyo , Japan
Win	19-13-5	Kousei Kubota	Decision (majority)	Pancrase - Trans 4	1	Tokyo , Japan
Win	18-13-5	Chris Lytle	Decision (unanimous)	Pancrase - Trans 1	1	Tokyo , Japan
Loss	17-13-5	Eugene Jackson	KO (punch)	UFC 23	3	Tokyo , Japan
Win	17-12-5	Leon Dijk	TKO	Pancrase - Breakthrough 7	1	Tokyo , Japan
Loss	16-12-5	Kiuma Kunioku	Decision (lost points)	Pancrase - Breakthrough 5	1	Nagoya , Japan
Win	16-11-5	Yuhi Sano	TKO (strikes)	Pancrase - Breakthrough 3	1	Tokyo , Japan
Draw	15-11-5	Jeremy Horn	Draw	Pancrase - Advance 12	1	Tokyo , Japan
Win	15-11-4	Jason DeLucia	Decision (lost points)	Pancrase - Advance 10	1	Tokyo , Japan
Win	14-11-4	Satoshi Hasegawa	Decision (majority)	Pancrase - 1998 Neo-Blood Tournament Second Round	1	Japan
Loss	13-11-4	Osami Shibuya	Decision (unanimous)	Pancrase - 1998 Neo-Blood Tournament Opening Round	1	Tokyo , Japan
Draw	13-10-4	Ryushi Yanagisawa	Draw	Pancrase - Advance 8	2	Kobe , Japan
Win	13-10-3	Takafumi Ito	TKO	Pancrase - Advance 6	2	Tokyo , Japan
Loss	12-10-3	Yuki Kondo	Decision (majority)	Pancrase - Advance 5	1	Yokohama , Japan
Win	12-9-3	Minoru Suzuki	Decision (majority)	Pancrase - Advance 3	1	Kobe , Japan
Draw	11-9-3	Ryushi Yanagisawa	Draw	Pancrase - Advance 2	1	Yokohama , Japan
Loss	11-9-2	Osami Shibuya	Submission (toe hold)	Pancrase - Advance 1	1	Tokyo , Japan
Loss	11-8-2	Bas Rutten	Submission (rear naked choke)	Pancrase: Alive 11	1	Yokohama , Japan
Win	11-7-2	Takafumi Ito	Decision (unanimous)	Pancrase: Alive 10	2	Kobe , Japan
Draw	10-7-2	Tra Telligman	Draw	Pancrase: Alive 9	2	Tokyo , Japan
Win	10-7-1	Minoru Suzuki	Decision (lost points)	Pancrase: 1997 Anniversary Show	1	Tokyo , Japan
Win	9-7-1	Osami Shibuya	Decision (1-0)	Pancrase: Alive 8	2	Osaka , Japan
Win	8-7-1	Satoshi Hasegawa	TKO (knees)	Pancrase: 1997 Neo-Blood Tournament, Round 2	1	Tokyo , Japan
Win	7-7-1	Kousei Kubota	Decision (lost points)	Pancrase: 1997 Neo-Blood Tournament, Round 2	1	Tokyo , Japan
Win	6-7-1	Les Johnston	Submission (guillotine choke)	Pancrase: 1997 Neo-Blood Tournament, Round 1	1	Tokyo , Japan
Loss	5-7-1	Guy Mezger	Decision (lost points)	Pancrase: Alive 7	1	Japan
Draw	5-6-1	Kiuma Kunioku	Draw	Pancrase: Alive 5	1	Kobe , Japan
Win	5-6	Taka Michinoku	Submission (keylock)	Pancrase: Alive 4	1	Tokyo , Japan
Loss	4-6	Ryushi Yanagisawa	Decision (lost points)	Pancrase: Alive 3	1	Nagoya , Japan
Win	4-5	Takafumi Ito	Decision (lost points)	Pancrase: Alive 2	1	Tokyo , Japan
Win	3-5	Brian Gassaway	Decision (lost points)	Pancrase: Alive 1	1	Tokyo , Japan
Win	2-5	Wes Gassaway	Decision (unanimous)	Pancrase - Truth 10	1	Japan
Loss	1-5	Yoshiki Takahashi	Submission	Pancrase - Truth 9	1	Kobe , Japan
Loss	1-4	Kiuma Kunioku	Submission	Pancrase - Truth 8	1	Tokyo , Japan
Loss	1-3	Katsuomi Inagaki	Decision (majority)	Pancrase - 1996 Anniversary Show	1	Tokyo , Japan
Loss	1-2	Osami Shibuya	Submission	Pancrase - 1996 Neo-Blood Tournament, Round 2	1	Tokyo , Japan
Loss	1-1	Yuki Kondo	TKO	Pancrase - 1996 Neo-Blood Tournament, Round 2	1	Tokyo , Japan
Win	1-0	Satoshi Hasegawa	Decision (split)	Pancrase - 1996 Neo-Blood Tournament, Round 1	1	Tokyo , Japan
