Spoofed Title	Actual Title	Writer	Artist	Issue	Date
Forget Smart	Get Smart	Dick DeBartolo	Angelo Torres	272	July 1987
Amends	Amen	Arnie Kogen	Angelo Torres	273	September 1987
The Andy Grinning Show	The Andy Griffith Show	Lou Silverstone	Sam Viviano	273	September 1987
L.A. Lewd	L.A. Law	Frank Jacobs	Mort Drucker	274	October 1987
Head of the Crass	Head of the Class	Frank Jacobs	Angelo Torres	275	December 1987
ReDesigning Women	Designing Women	Dick DeBartolo	Angelo Torres	279	June 1988
Beauty is the Beast	Beauty and the Beast	Dick DeBartolo	Jack Davis	280	July 1988
An Indifferent World	A Different World	Dick DeBartolo	Angelo Torres	281	September 1988
St. Healthscare	St. Elsewhere	Frank Jacobs	Mort Drucker	281	September 1988
Double Damp	Double Dare	Dick DeBartolo	Angelo Torres	282	October 1988
Star Blecch The Next Degradation	Star Trek: The Next Generation	Frank Jacobs	Mort Drucker	282	October 1988
Beers	Cheers	Debee Ovitz	Mort Drucker	285	March 1989
The Moron Downer Jr. Show	The Morton Downey Jr. Show	Larry Siegel	Jack Davis	286	April 1989
Thirty-Suffering	Thirtysomething	Frank Jacobs	Mort Drucker	286	April 1989
21 Junkheap	21 Jump Street	Dick DeBartolo	Angelo Torres	286	April 1989
Grossanne	Roseanne	Stan Hart	Mort Drucker	287	June 1989
Dreary John	Dear John	Dick DeBartolo	Sam Viviano	288	July 1989
Murky Brown	Murphy Brown	Dick DeBartolo	Angelo Torres	289	September 1989
The ABC Misery Movie	The ABC Mystery Movie	Dick DeBartolo	Angelo Torres	290	October 1989
The Blunder Years	The Wonder Years	Stan Hart	Sam Viviano	291	December 1989
