Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
North Dakota (2012)	Liam, Mason	Ethan	James, Noah	Jacob	Jackson	Eli, Elijah	Carter	Isaac, William	Wyatt	Aiden
Ohio (2012)	Mason	Liam	William	Noah	Michael	Jacob	Ethan	Carter	Jackson	Logan
Oklahoma (2012)	Elijah	Noah	Mason	Jacob	Aiden, Ethan	Liam	Wyatt	Jaxon	William	Alexander
Oregon (2012)	Liam	Mason	Alexander	William	Henry	Ethan	Samuel	Daniel	Benjamin	Logan
Pennsylvania (2012)	Mason	Liam	Jacob	Michael	Noah	Ryan	Ethan	Logan	Benjamin	John
Rhode Island (2012)	Mason	Michael	Jacob	Ethan	Noah	Benjamin, Logan	Anthony	Joseph	Alexander, Liam, William	Gabriel
South Carolina (2012)	William	Mason	James	Elijah	Jayden	Joshua	Jacob, Noah	Aiden	Jackson	Ethan
South Dakota (2012)	Liam	Mason	Jacob	Owen	William	Noah	Logan	Jack	Carter	Michael
Tennessee (2012)	William	Mason	Elijah	James	Jacob	Jackson	Ethan	Noah	Landon	Liam
Texas (2012)	Jacob	Jayden	Ethan	Noah	Daniel	Jose	David	Aiden	Matthew	Alexander
Utah (2012)	William	Liam	Mason	Ethan	Jacob	Samuel	Jackson	James	Luke	Jack
Vermont (2012)	Mason	Noah	Liam	Owen	Logan	Jacob	Aiden, Benjamin, Jackson, Wyatt	Henry, Oliver	Cameron	Carter
Virginia (2012)	William	Mason	Liam	Jacob	Elijah	Noah	James	Ethan	Jackson	Michael
Washington (2012)	Mason	Liam	Ethan	Alexander	Benjamin	Noah	Jacob	Daniel	Michael	James
West Virginia (2012)	Mason	Liam	Bentley	Jacob	Hunter	Landon	Aiden	Brayden, Levi	Noah	Braxton, Eli
Wisconsin (2012)	Mason	Liam	Jackson	Ethan	Owen	Logan	Noah	William	Carter	Henry
Wyoming (2012)	Liam	Mason	Logan, William	Wyatt	Hunter, Jacob, Levi, Owen	Carter	Ethan	Isaac, Jaxon, Noah	Braxton, Connor, Jace, Landon	Gavin
