County	Obama%	Obama#	McCain%	McCain#	Others%	Others#
Murray	26.4%	3026	71.5%	8180	2.1%	241
Muscogee	59.5%	44158	39.9%	29568	0.6%	436
Newton	50.2%	20827	49.0%	20337	0.8%	318
Oconee	28.1%	4825	70.6%	12120	1.3%	229
Oglethorpe	34.5%	2232	64.1%	4144	1.3%	87
Paulding	30.2%	17229	68.7%	39192	1.1%	655
Peach	52.9%	5927	46.2%	5173	0.9%	96
Pickens	20.3%	2595	78.1%	10004	1.7%	214
Pierce	18.4%	1253	80.9%	5500	0.6%	44
Pike	19.2%	1575	79.6%	6547	1.2%	99
Polk	28.6%	4052	69.6%	9850	1.8%	251
Pulaski	34.8%	1377	64.4%	2553	0.8%	32
Putnam	33.9%	3102	65.3%	5966	0.8%	71
Quitman	53.5%	597	45.6%	509	0.9%	10
Rabun	26.2%	2001	71.9%	5487	1.9%	145
Randolph	57.0%	1833	42.6%	1370	0.4%	14
Richmond	65.6%	52100	33.8%	26842	0.6%	480
Rockdale	54.3%	20526	44.8%	16921	0.9%	337
Schley	27.5%	479	72.0%	1252	0.5%	8
Screven	46.6%	3024	52.8%	3423	0.6%	40
Seminole	41.4%	1660	57.8%	2315	0.8%	32
Spalding	40.1%	10141	58.8%	14885	1.1%	269
Stephens	25.6%	2705	72.9%	7689	1.5%	158
Stewart	61.9%	1305	37.1%	783	1.0%	21
Sumter	52.7%	6454	46.7%	5717	0.7%	84
Talbot	64.0%	2369	35.2%	1301	0.8%	31
Taliaferro	64.9%	643	34.2%	339	0.8%	8
Tattnall	28.7%	1932	70.3%	4730	1.0%	64
Taylor	42.8%	1536	56.3%	2021	0.8%	30
Telfair	42.6%	1862	56.8%	2486	0.6%	28
Terrell	56.6%	2501	42.8%	1890	0.7%	30
Thomas	41.7%	7720	57.5%	10642	0.7%	132
Tift	33.3%	4749	66.1%	9431	0.6%	89
Toombs	30.5%	2964	68.6%	6658	0.8%	82
Towns	24.1%	1391	74.5%	4292	1.4%	81
Treutlen	37.5%	1112	61.6%	1826	0.8%	24
Troup	40.1%	10455	59.0%	15391	0.9%	222
Turner	40.1%	1427	58.9%	2096	0.9%	33
Twiggs	53.1%	2402	46.2%	2087	0.7%	33
Union	23.3%	2486	75.0%	8013	1.8%	191
Upson	35.5%	4061	63.8%	7291	0.7%	82
Walker	25.8%	6095	72.3%	17110	1.9%	449
Walton	23.5%	8469	75.5%	27253	1.0%	357
Ware	32.4%	4034	66.8%	8311	0.7%	91
Warren	58.4%	1554	40.8%	1087	0.8%	21
Washington	51.9%	4607	47.5%	4216	0.6%	55
Wayne	27.0%	2858	71.9%	7601	1.1%	116
Webster	46.4%	515	52.9%	588	0.7%	8
Wheeler	35.9%	794	63.6%	1408	0.5%	12
White	20.1%	2174	78.4%	8467	1.5%	158
Whitfield	29.4%	8167	69.2%	19230	1.4%	394
Wilcox	30.9%	978	68.2%	2159	0.9%	27
Wilkes	45.8%	2315	53.5%	2705	0.8%	40
Wilkinson	49.1%	2298	50.2%	2349	0.7%	31
