Rank	Rank Forbes 2000	Name	Headquarters	Revenue (Bn.$)	Profit (Bn.$)	Assets (Bn.$)	Market value (Bn.$)	Industry
79.	1892.	Yanzhou Coal Mining	Zoucheng	1.43	0.36	2.63	4.52	Mining
80.	1909.	China Shipping Development	Shanghai	1.06	0.33	1.66	4.61	Shipping
81.	1920.	Wing Lung Bank	Hong Kong	0.66	0.21	10.92	2.43	Banking
82.	1949.	Wing Hang Bank	Hong Kong	0.66	0.17	13.45	3.33	Banking
83.	1959.	PCCW	Hong Kong	2.90	0.21	6.87	3.98	Telecommunications
84.	1964.	TCL Corporation	Huizhou	6.40	-0.04	3.77	1.39	Technology
85.	1971.	Wuliangye Yibin	Yibin	0.70	0.10	1.19	8.81	Drinks
86.	1974.	CNPC (Hong Kong) Limited	Hong Kong	0.44	0.47	2.07	2.30	Oil
87.	1976.	K. Wah International	Hong Kong	0.04	0.47	1.29	0.98	Financial services
88.	1987.	China Overseas Land & Investment	Hong Kong	0.90	0.20	3.24	7.05	Financial services
89.	1989.	Nine Dragons Paper	Hong Kong	0.99	0.17	1.86	8.61	Paper
