CERCLIS ID	Name	County	Partially deleted	Deleted
FLD004091807	Peak Oil Co./Bay Drum Co.	Hillsborough	–	–
FLD032544587	Pepper Steel & Alloys, Inc.	Miami-Dade	–	–
FLD980798698	Petroleum Products Corp.	Broward	–	–
FLD980556351	Pickettville Road Landfill	Duval	–	–
FLD056116965	Pioneer Sand Co.	Escambia	–	02/08/1993
FLD004054284	Piper Aircraft/Vero Beach Water & Sewer	Indian River	–	–
FLD984227249	Raleigh Street Dump	Hillsborough	–	–
FLD000824896	Reeves Southeast Galvanizing Corp	Hillsborough	–	–
FLD101835528	St. Augustine Gas	Volusia	–	–
FLD032728032	Sanford Dry Cleaners	Seminole	–	–
FLD984169193	Sanford Gasification Plant	Seminole	–	–
FLD980602882	Sapp Battery Salvage	Jackson	–	–
FLD062794003	Schuylkill Metals Corp.	Hillsborough	–	08/22/2001
FLD043861392	Sherwood Medical Industries	Volusia	–	–
FLD980728877	62nd Street Dump	Hillsborough	–	10/01/1999
FLD032845778	Solitron Devices	Palm Beach	–	–
FLD045459526	Solitron Microwave	Martin	–	–
FL0001209840	Southern Solvents, Inc.	Hillsborough	–	–
FLD004072658	Sprague Electric	Seminole	–	–
FLD004126520	Standard Auto Bumper Corp.	Miami-Dade	–	10/26/2007
FLD004092532	Stauffer Chemical Co (Tampa)	Hillsborough	–	–
FLD010596013	Stauffer Chemical Co. (Tarpon Springs)	Pinellas	–	–
FLD000648055	Sydney Mine Sludge Ponds	Hillsborough	–	–
FLD980494959	Taylor Road Landfill	Hillsborough	–	–
FLD004065546	Tower Chemical Co.	Lake	–	–
FLD091471904	Trans Circuits, Inc.	Palm Beach	–	–
FLD070864541	Tri-City Oil Conservationist, Inc.	Hillsboro	–	09/01/1988
FLD091471904	Tyndall Air Force Base	Bay	–	–
FLD098924038	United Metals, Inc.	Jackson	–	–
FLD980602346	Varsol Oil Spill	Miami-Dade	–	09/01/1988
FLD982119729	West Florida Natural Gas	Marion	–	–
FLD980602767	Whitehouse Oil Pits	Duval	–	–
FL2170023244	Whiting Field Naval Air Station	Santa Rosa	–	–
FLD041184383	Wilson Concepts of Florida, Inc.	Broward	–	04/04/1995
FLD981021470	Wingate Road Municipal Incinerator Dump	Broward	–	–
FLD004146346	Woodbury Chemical Co. (Princeton Plant)	Dade	–	11/27/1995
FLD980844179	Yellow Water Road Dump	Duval	–	05/18/1999
FLD049985302	Zellwood Ground Water Contamination	Orange	–	–
