Coach	First Yr	Last Yr	W-L%	G > .500	Yr plyf	G plyf	W plyf	L plyf
Scott Linehan	2006	2008	.306	-14	0	0	0	0
Vince Lombardi	1959	1969	.738	62	6	10	9	1
Leo Lyons	1923	1924	.000	-7	0	0	0	0
John Mackovic	1983	1986	.469	-4	1	1	0	1
Dick MacPherson	1991	1992	.250	-16	0	0	0	0
John Madden	1969	1978	.763	71	8	16	9	7
Lou Mahrt	1927	1927	.143	-5	0	0	0	0
Ray Malavasi	1966	1982	.518	3	3	6	3	3
Eric Mangini	2006	2010	.413	-14	1	1	0	1
Ted Marchibroda	1975	1998	.470	-11	4	6	2	4
Rod Marinelli	2006	2008	.208	-28	0	0	0	0
Steve Mariucci	1997	2005	.518	5	4	7	3	4
Billy Marshall	1920	1921	.273	-5	0	0	0	0
Mike Martz	2000	2005	.624	21	4	7	3	4
Ned Mathews	1946	1946	.500	0	0	0	0	0
John Mazur	1970	1972	.300	-12	0	0	0	0
Don McCafferty	1970	1973	.622	11	2	5	4	1
Mike McCarthy	2006	2012	.660	36	5	8	5	3
Mike McCormack +	1973	1982	.363	-22	0	0	0	0
Pete McCulley	1978	1978	.111	-7	0	0	0	0
Josh McDaniels	2009	2010	.393	0	0	0	0	0
Cap McEwan	1933	1934	.450	-2	0	0	0	0
Alfred McGall	1930	1930	.000	-3	0	0	0	0
Dave McGinnis	2000	2003	.298	-23	0	0	0	0
Wally McIlwain	1926	1926	.000	-2	0	0	0	0
John McKay	1976	1984	.333	-44	3	4	1	3
Edward McKeever	1948	1948	.071	-12	0	0	0	0
Ray McLean	1953	1958	.077	-11	0	0	0	0
Bo McMillin	1948	1951	.368	-10	0	0	0	0
Johnny "Blood" McNally +	1937	1939	.240	-13	0	0	0	0
Bill McPeak	1961	1965	.313	-25	0	0	0	0
John McVay	1976	1978	.378	-9	0	0	0	0
Jack Meagher	1946	1946	.167	-4	0	0	0	0
Harry Mehre	1923	1923	.286	-3	0	0	0	0
Ken Meyer	1977	1977	.357	-4	0	0	0	0
Ron Meyer	1982	1991	.519	4	2	2	0	2
Walt Michaels	1977	1982	.453	-8	2	4	2	2
John Michelosen	1948	1951	.435	-6	0	0	0	0
Red Miller	1977	1980	.645	18	3	5	2	3
Wayne Millner +	1951	1951	.200	-6	0	0	0	0
Dick Modzelewski	1977	1977	.000	-1	0	0	0	0
Gary Moeller	2000	2000	.571	1	0	0	0	0
Keith Molesworth	1953	1953	.250	-6	0	0	0	0
Jim Mora	1986	2001	.541	19	6	6	0	6
Jim Mora Jr.	2004	2009	.470	-2	1	2	1	1
Charley Moran	1927	1927	.286	-3	0	0	0	0
Marty Mornhinweg	2001	2002	.156	-22	0	0	0	0
Raheem Morris	2009	2012	.354	-14	0	0	0	0
Mike Mularkey	2004	2012	.333	-16	0	0	0	0
Brick Muller	1926	1926	.667	3	0	0	0	0
Johnny Murphy	1924	1924	.000	-4	0	0	0	0
Greasy Neale	1941	1950	.594	20	3	4	3	1
Al Nesser	1926	1926	.000	-1	0	0	0	0
Ted Nesser	1920	1921	.176	-11	0	0	0	0
Ernie Nevers +	1927	1939	.308	-15	0	0	0	0
Frank Nied	1926	1926	.250	-2	0	0	0	0
Mike Nixon	1959	1965	.167	-24	0	0	0	0
Dick Nolan	1968	1980	.457	-13	3	5	2	3
Mike Nolan	2005	2008	.327	-19	0	0	0	0
Chuck Noll +	1969	1991	.566	45	12	24	16	8
John North	1973	1975	.324	-12	0	0	0	0
Fred O'Connor	1978	1978	.143	-5	0	0	0	0
Steve Owen +	1931	1953	.602	51	10	10	2	8
Mike Palm	1933	1933	.500	0	0	0	0	0
Chris Palmer	1999	2000	.156	-22	0	0	0	0
Bill Parcells	1983	2006	.570	42	10	19	11	8
Jack Pardee	1975	1994	.530	10	5	6	1	5
Buddy Parker	1949	1964	.581	29	3	4	3	1
Jack Patera	1976	1982	.372	-24	0	0	0	0
Sean Payton	2006	2011	.646	28	4	8	5	3
Pat Peppler	1976	1976	.333	-3	0	0	0	0
Ray Perkins	1979	1990	.359	-33	1	2	1	1
Bill Peterson	1972	1973	.053	-17	0	0	0	0
Richie Petitbon	1993	1993	.250	-8	0	0	0	0
Bobby Petrino	2007	2007	.231	-7	0	0	0	0
Jimmy Phelan	1948	1952	.316	-14	0	0	0	0
Bum Phillips	1975	1985	.516	5	3	7	4	3
Wade Phillips	1985	2010	.581	23	5	6	1	5
Al Pierotti	1920	1920	.500	0	0	0	0	0
Fritz Pollard +	1921	1925	.667	4	0	0	0	0
Hampton Pool	1946	1954	.578	7	1	1	0	1
Earl Potteiger	1924	1928	.556	3	0	0	0	0
Ray Prochaska	1961	1961	1.000	2	0	0	0	0
Tommy Prothro	1971	1978	.407	-16	0	0	0	0
John Ralston	1972	1976	.507	1	0	0	0	0
Buster Ramsey	1960	1961	.407	-5	0	0	0	0
Dick Rauch	1925	1929	.579	9	0	0	0	0
John Rauch	1966	1970	.588	12	2	4	2	2
Dan Reeves	1981	2003	.535	25	9	20	11	9
Andy Reid	1999	2012	.585	37	9	19	10	9
Ray Rhodes	1995	1999	.468	-5	2	3	1	2
Homer Rice	1978	1979	.296	-11	0	0	0	0
Ray Richards	1955	1957	.400	-7	0	0	0	0
Mike Riley	1999	2001	.292	-20	0	0	0	0
Jim Ringo +	1976	1977	.130	-17	0	0	0	0
Harry Robb	1925	1926	.278	-8	0	0	0	0
J.D. Roberts	1970	1972	.219	-18	0	0	0	0
Ed Robinson	1931	1931	.500	0	0	0	0	0
John Robinson	1983	1991	.524	7	6	10	4	6
Terry Robiskie	2000	2004	.222	-5	0	0	0	0
Charley Rogers	1927	1927	.500	0	0	0	0	0
Darryl Rogers	1985	1988	.310	-22	0	0	0	0
Gene Ronzani	1950	1953	.311	-17	0	0	0	0
Tam Rose	1921	1921	.000	-1	0	0	0	0
Bobby Ross	1992	2000	.540	11	5	8	3	5
Babe Ruetz	1922	1924	.560	3	0	0	0	0
Clive Rush	1969	1970	.238	-11	0	0	0	0
Rod Rust	1990	1990	.063	-14	0	0	0	0
Sam Rutigliano	1978	1984	.485	-3	2	2	0	2
Buddy Ryan	1986	1995	.500	0	3	3	0	3
Rex Ryan	2009	2012	.531	2	1	3	2	1
Lou Rymkus	1960	1961	.611	4	1	1	1	0
Lou Saban	1960	1976	.490	-4	4	4	2	2
Nick Saban	2005	2006	.469	-2	0	0	0	0
Lenny Sachs	1926	1926	.000	-4	0	0	0	0
Andy Salata	1930	1930	.000	-3	0	0	0	0
John Sandusky	1972	1972	.444	-1	0	0	0	0
Al Saunders	1986	1988	.436	-5	0	0	0	0
Dewey Scanlon	1924	1929	.531	2	0	0	0	0
Paul Schissler	1933	1936	.326	-15	0	0	0	0
Joe Schmidt +	1967	1972	.558	9	1	1	0	1
Howard Schnellenberger	1973	1974	.235	-9	0	0	0	0
Marty Schottenheimer	1984	2006	.613	74	13	18	5	13
Jim Schwartz	2009	2012	.344	-20	1	1	0	1
Ralph Scott	1927	1927	.467	-1	0	0	0	0
Tom Scott	1946	1946	.143	-5	0	0	0	0
George Seifert	1989	2001	.648	52	7	15	10	5
Mike Shanahan	1988	2012	.572	42	8	13	8	5
Clark Shaughnessy	1948	1949	.667	7	1	1	0	1
Buck Shaw	1946	1960	.621	35	2	3	2	1
Art Shell +	1989	2006	.519	4	3	5	2	3
Allie Sherman	1961	1968	.528	6	3	3	0	3
Mike Sherman	2000	2005	.594	18	4	6	2	4
Ted Shipkey	1947	1947	.667	1	0	0	0	0
Ken Shipp	1975	1975	.200	-3	0	0	0	0
Jim Shofner	1990	1990	.143	-5	0	0	0	0
David Shula	1992	1996	.268	-33	0	0	0	0
Don Shula +	1963	1995	.678	172	19	36	19	17
Herb Sies	1923	1923	.400	-1	0	0	0	0
Mike Singletary	2008	2010	.462	-4	0	0	0	0
Nick Skorich	1961	1974	.484	-3	2	2	0	2
Clipper Smith	1947	1948	.304	-9	0	0	0	0
Jerry Smith	1971	1971	.400	-1	0	0	0	0
Lovie Smith	2004	2012	.563	18	3	6	3	3
Mike Smith	2008	2012	.700	32	4	3	0	3
Bob Snyder	1947	1947	.500	0	0	0	0	0
Steve Spagnuolo	2009	2011	.208	-28	0	0	0	0
Tony Sparano	2008	2011	.475	-3	1	1	0	1
Mac Speedie	1964	1966	.240	-13	0	0	0	0
Steve Spurrier	2002	2003	.375	-8	0	0	0	0
Gene Stallings	1986	1989	.404	-11	0	0	0	0
Dick Stanfel	1980	1980	.250	-2	0	0	0	0
Bart Starr	1975	1983	.406	-24	1	2	1	1
Les Steckel	1984	1984	.188	-10	0	0	0	0
Kay Stephenson	1983	1985	.278	-16	0	0	0	0
Joey Sternaman	1923	1923	.571	1	0	0	0	0
Mal Stevens	1946	1946	.333	-2	0	0	0	0
Pete Stinchcomb	1923	1923	.429	-1	0	0	0	0
Carl Storck	1922	1926	.235	-18	0	0	0	0
Red Strader	1948	1955	.446	-6	1	1	0	1
Hank Stram	1960	1977	.575	34	5	8	5	3
Chuck Studley	1983	1983	.200	-6	0	0	0	0
Joe Stydahar	1950	1954	.417	-8	2	3	2	1
Jock Sutherland	1940	1947	.636	12	1	1	0	1
Harland Svare	1962	1973	.304	-27	0	0	0	0
Barry Switzer	1994	1997	.625	16	3	7	5	2
Nelson Talbot	1920	1921	.600	3	0	0	0	0
Hugh Taylor	1965	1965	.286	-6	0	0	0	0
Gus Tebell	1923	1923	1.000	2	0	0	0	0
Emmitt Thomas	2007	2007	.333	-1	0	0	0	0
Joe Thomas	1974	1974	.182	-7	0	0	0	0
Jim Thorpe	1920	1923	.359	-11	0	0	0	0
Mike Tice	2001	2005	.492	-1	1	2	1	1
Elgie Tobin	1920	1921	.842	13	0	0	0	0
Vince Tobin	1996	2000	.394	-15	1	2	1	1
Dick Todd	1951	1951	.556	1	0	0	0	0
Russell Tollefson	1922	1922	.250	-2	0	0	0	0
Mike Tomlin	2007	2012	.656	30	4	8	5	3
Jim Trimble	1952	1955	.556	5	0	0	0	0
Bulldog Turner	1962	1962	.357	-4	0	0	0	0
Norv Turner	1994	2012	.483	-8	4	8	4	4
Rube Ursella	1920	1925	.600	4	0	0	0	0
Norm Van Brocklin	1961	1974	.398	-34	0	0	0	0
Rick Venturi	1991	1996	.105	-15	0	0	0	0
Dick Vermeil	1976	2005	.524	11	6	11	6	5
Joe Vitt	2005	2012	.429	-3	0	0	0	0
Carl Voyles	1948	1948	.143	-10	0	0	0	0
Charlie Waller	1969	1970	.563	2	0	0	0	0
Ron Waller	1973	1973	.167	-4	0	0	0	0
Adam Walsh	1945	1946	.750	10	1	1	1	0
Bill Walsh	1979	1988	.609	33	7	14	10	4
Chile Walsh	1934	1934	.333	-1	0	0	0	0
Joe Walton	1983	1989	.482	-4	2	3	1	2
Dave Wannstedt	1993	2004	.485	-5	3	5	2	3
Bob Waterfield	1960	1962	.273	-15	0	0	0	0
Red Weaver	1924	1925	.235	-9	0	0	0	0
Alex Webster	1969	1973	.420	-11	0	0	0	0
Ed Weir	1927	1928	.682	8	0	0	0	0
John Whelchel	1949	1949	.500	0	0	0	0	0
Ken Whisenhunt	2007	2012	.469	-6	2	6	4	2
Mike White	1995	1996	.469	-2	0	0	0	0
Paul Wiggin	1975	1977	.314	-13	0	0	0	0
Hubert Wiggs	1922	1922	.250	-2	0	0	0	0
Willie Wilkin	1946	1946	.500	0	0	0	0	0
Bud Wilkinson	1978	1979	.310	-11	0	0	0	0
Gregg Williams	2001	2003	.354	-14	0	0	0	0
Jerry Williams	1969	1971	.241	-15	0	0	0	0
Richard Williamson	1990	1991	.211	-11	0	0	0	0
Ray Willsey	1961	1961	1.000	2	0	0	0	0
George Wilson	1957	1969	.447	-16	1	2	2	0
Larry Wilson	1979	1979	.667	1	0	0	0	0
Charley Winner	1966	1975	.500	0	0	0	0	0
Hoge Workman	1931	1931	.200	-6	0	0	0	0
Lud Wray	1932	1935	.342	-12	0	0	0	0
Sam Wyche	1984	1995	.440	-23	2	5	3	2
Doug Wycoff	1929	1930	.471	-1	0	0	0	0
Doc Young	1925	1926	.125	-6	0	0	0	0
Swede Youngstrom	1927	1927	.500	0	0	0	0	0
Jim Zorn	2008	2009	.375	-8	0	0	0	0
Jim Harbaugh	2011	2012	.766	17	2	5	3	2
