Rider	Horse	Faults	Round 1 Points	Total
Vladimir Beletskiy	Rezonanz	21	7.725	28.725
Noora Pentti	Evli Cagliostro	17	12.455	29.455
Mohammed Al-Kumaiti	Al-Mutawakel	17	12.490	29.490
Guillermo Obligado	Carlson	18	11.545	29.545
Kamal Bahamdan	Campus	17	13.190	30.190
Veronika Macanova	Pompos	13	18.185	31.185
Vladimir Panchenko	Lanteno	17	14.460	31.460
Jose Larocca	Svante	25	8.190	33.190
Abdullah Al-Sharbatly	Hugo Gesmeray	25	8.585	33.585
Eiken Sato	Cayak DH	17	17.960	34.960
Gennadiy Gashiboyazov	Papirus	28	8.685	36.685
Karim El-Zoghby	Baragway	21	16.360	37.360
Ondrej Nagr	Atlas	19	19.865	38.865
Roger Hessen	Quito	23	17.410	40.410
Zdenek Zila	Pinot Grigio	15	26.035	41.035
Rene Lopez	Isky	30	11.675	41.675
Emmanouela Athanassiades	Rimini Z	18	24.380	42.380
Jamie Kermond	Stylish King	21	46.035	67.035
Malin Baryard-Johnsson	Butterfly Flip	29	46.035	75.035
Manuel Torres	Chambacunero	Fall	Fall	5.470
Krzyszlof Ludwiczak	HOF Schretstakens Quamiro	Eliminated	Eliminated	7.460
Grant Wilson	Up and Down Cellebroedersbos	Refusal	Refusal	14.835
Chris Pratt	Rivendell	Fall	Fall	15.220
Ariana Azcarraga	Sambo	Eliminated	Eliminated	15.945
Jose Alfredo Hernandez Ortega	Semtex P	Eliminated	Eliminated	46.035
H.R.H. Prince Abdullah Al-Soud	Allah Jabek	Retired	Retired	46.035
