Team	Chassis	Engine	Driver(s)	Sponsor(s)	Rounds
Penske Racing	March 86C	Cosworth	Al Unser	Cummins / Holset Turbo	9-10
Penske Racing	PC-16	Chevy A	Al Unser	Cummins / Holset Turbo	15
Penske Racing	March 86C	Cosworth	Al Unser	Cummins / Holset Turbo	3
Porsche	Porsche	Porsche	Al Unser	Quaker State	14
Porsche	Porsche	Porsche	Al Holbert	Quaker State	15
Raynor	Lola T8700	Cosworth	Dennis Firestone	Raynor Garage Door	1-3
Raynor	Lola T8600	Cosworth	Phil Krueger	Raynor Garage Door	3
Raynor	Lola T8700	Cosworth	Derek Daly	Raynor Garage Door	4-15
Truesports	Lola T8700	Cosworth	Bobby Rahal	Budweiser	All
Truesports	Lola T8700	Cosworth	Didier Theys (R)	Budweiser	15
United Oil	March 87C	Cosworth	Steve Chassey	United Oil / Life of Indiana	3
Walther	March 86C	Cosworth	Rocky Moran	Walther	3
WENS	March 86C	Cosworth	Rick Miaskiewicz	Pizza Hut / WENS	3
