District	Counties Represented	Delegate	Party	First Elected	Committee
07.0 7	Baltimore County , Harford	McDonough, Patrick L. Pat McDonough	Republican	1978	Health and Government Operations
08.0 8	Baltimore County	Schuler, Todd Todd Schuler	Democratic	2006	Judiciary
08.0 8	Baltimore County	Bromwell, Eric M. Eric M. Bromwell	Democratic	2002	Health and Government Operations
08.0 8	Baltimore County	Boteler, Joseph C. 3rd Joe Boteler	Republican	2002	Environmental Matters
09.1 9A	Howard	Bates, Gail H. Gail H. Bates	Republican	2002	Appropriations
09.1 9A	Howard	Miller, Warren E. Warren E. Miller	Republican	2003	Economic Matters
09.2 9B	Carroll	Krebs, Susan W. Susan W. Krebs	Republican	2002	Ways and Means
10	Baltimore County	Burns, Emmett C. Jr. Emmett Burns	Democratic	1994	Economic Matters
10	Baltimore County	Jones, Adrienne A. Adrienne A. Jones	Democratic	1997	Appropriations
10	Baltimore County	Nathan-Pulliam, Shirley Shirley Nathan-Pulliam	Democratic	1994	Health and Government Operations
11	Baltimore County	Cardin, Jon S. Jon S. Cardin	Democratic	2002	Ways and Means
11	Baltimore County	Morhaim, Dan K. Dan K. Morhaim	Democratic	1994	Health and Government Operations
11	Baltimore County	Stein, Dana Dana Stein	Democratic	2002	Environmental Matters
12.1 12A	Baltimore County , Howard	DeBoy, Steven J. Sr. Steve DeBoy	Democratic	2002	Appropriations
12.1 12A	Baltimore County , Howard	Malone, James E. Jr. James Malone	Democratic	1994	Environmental Matters (Vice-Chair)
12.2 12B	Howard	Bobo, Elizabeth Elizabeth Bobo	Democratic	1994	Environmental Matters
13	Howard	Pendergrass, Shane E. Shane Pendergrass	Democratic	1994	Health and Government Operations
13	Howard	Guzzone, Guy Guy Guzzone	Democratic	2006	Appropriations
13	Howard	Turner, Frank S. Frank S. Turner	Democratic	1994	Ways and Means
14	Montgomery	Kaiser, Anne R. Anne R. Kaiser	Democratic	2002	Ways and Means
14	Montgomery	Montgomery, Karen S. Karen Montgomery	Democratic	2002	Health and Government Operations
14	Montgomery	Taylor, Herman L. Jr. Herman Taylor	Democratic	2002	Economic Matters
15	Montgomery	Rice, Craig L. Craig L. Rice	Democratic	2006	Ways and Means
15	Montgomery	Dumais, Kathleen M. Kathleen M. Dumais	Democratic	2002	Judiciary
15	Montgomery	Feldman, Brian J. Brian J. Feldman	Democratic	2002	Economic Matters
16	Montgomery	Bronrott, William A. William A. Bronrott	Democratic	1998	Appropriations
16	Montgomery	Frick, William William Frick	Democratic	2007	Ways and Means
16	Montgomery	Lee, Susan C. Susan C. Lee	Democratic	2002	Judiciary
17	Montgomery	Barve, Kumar P. Kumar P. Barve	Democratic	1990	Ways and Means
17	Montgomery	Gilchrist, James W. James W. Gilchrist	Democratic	2006	Ways and Means
17	Montgomery	Simmons, Luiz R. S. Luiz Simmons	Democratic	1978	Judiciary
18	Montgomery	Gutierrez, Ana Sol Ana Sol Gutierrez	Democratic	2002	Appropriations
18	Montgomery	Carr, A Alfred C. Carr, Jr.	Democratic	2007	Environmental Matters
18	Montgomery	Waldstreicher, Jeff Jeff Waldstreicher	Democratic	2006	Judiciary
19	Montgomery	Heller, Henry B. Hank Heller	Democratic	1986	Appropriations
19	Montgomery	Kramer, Benjamin F. Ben Kramer	Democratic	2006	Judiciary
19	Montgomery	Manno, Roger Roger Manno	Democratic	2006	Economic Matters
20	Montgomery	Hucker, Tom Tom Hucker	Democratic	2006	Environmental Matters
20	Montgomery	Hixson, Sheila E. Sheila E. Hixson	Democratic	1976	Ways and Means (Chair)
20	Montgomery	Mizeur, Heather R. Heather R. Mizeur	Democratic	2006	Health and Government Operations
21	Anne Arundel , Prince George's	Frush, Barbara A. Barbara A. Frush	Democratic	1994	Environmental Matters
21	Anne Arundel , Prince George's	Barnes, Ben Ben Barnes	Democratic	2006	Judiciary
21	Anne Arundel , Prince George's	Pena-Melnyk, Joseline Joseline Pena-Melnyk	Democratic	2006	Health and Government Operations
22	Prince George's	Gaines, Tawanna P. Tawanna Gaines	Democratic	2001	Appropriations
22	Prince George's	Healey, Anne Anne Healey	Democratic	1990	Environmental Matters
22	Prince George's	Ross, Justin Justin D. Ross	Democratic	2002	Ways and Means
23.1 23A	Prince George's	Levi, Gerron Gerron Levi	Democratic	2006	Judiciary
23.1 23A	Prince George's	Hubbard, James W. James W. Hubbard	Democratic	1992	Health and Government Operations
23.2 23B	Prince George's	Holmes, Marvin E. Jr. Marvin Holmes	Democratic	2002	Environmental Matters
24	Prince George's	Benson, Joanne C. Joanne C. Benson	Democratic	1990	Health and Government Operations
24	Prince George's	Howard, Carolyn J. B. Carolyn Howard	Democratic	1988	Ways and Means
24	Prince George's	Vaughn, Michael L. Michael L. Vaughn	Democratic	2002	Economic Matters
25	Prince George's	Braveboy, Aisha N. Aisha N. Braveboy	Democratic	2006	Economic Matters
25	Prince George's	Davis, Dereck E. Dereck E. Davis	Democratic	1994	Economic Matters (Chair)
25	Prince George's	Griffith, Melony G. Melony G. Griffith	Democratic	1998	Appropriations
26	Prince George's	Valderrama, Kris Kris Valderrama	Democratic	2006	Judiciary
26	Prince George's	Walker, Jay Jay Walker	Democratic	2006	Ways and Means
26	Prince George's	Turner, Veronica L. Veronica L. Turner	Democratic	2002	Health and Government Operations
27.1 27A	Calvert , Prince George's	Proctor, James E. Jr. Jim Proctor	Democratic	1990	Appropriations (Vice-Chair)
27.1 27A	Calvert, Prince George's	Vallario, Joseph F. Jr. Joe Vallario	Democratic	1974	Judiciary (Chair)
27.2 27B	Calvert	Kullen, Sue Sue Kullen	Democratic	2004	Health and Government Operations
28	Charles	Murphy, Peter Peter Murphy	Democratic	2006	Ways and Means
28	Charles	Jameson, Sally Y. Sally Y. Jameson	Democratic	2002	Economic Matters
28	Charles	Levy, Murray D. Murray D. Levy	Democratic	2004	Appropriations
29.1 29A	Charles, St. Mary's	Wood, John F. Jr. John F. Wood, Jr.	Democratic	1986	Appropriations
29.2 29B	St. Mary's	Bohanan, John L. Jr. John Bohanan	Democratic	1999	Appropriations
29.3 29C	Calvert, St. Mary's	O'Donnell, Anthony J. Tony O'Donnell	Republican	1994	Environmental Matters
30	Anne Arundel	Busch, Michael E. Michael E. Busch	Democratic	1986	Speaker of the House of Delegates
30	Anne Arundel	Clagett, Virginia P. Virginia P. Clagett	Democratic	1994	Environmental Matters
30	Anne Arundel	George, Ron Ron George	Republican	2006	Ways and Means
31	Anne Arundel	Kipke, Nic Nic Kipke	Republican	2002	Health and Government Operations
31	Anne Arundel	Dwyer, Donald H. Jr. Don Dwyer	Republican	2006	Judiciary
31	Anne Arundel	Schuh, Steve Steve Schuh	Republican	2006	Appropriations
32	Anne Arundel	Beidle, Pamela Pamela Beidle	Democratic	2006	Environmental Matters
32	Anne Arundel	Love, Mary Ann Mary Ann Love	Democratic	1993	Economic Matters
32	Anne Arundel	Sophocleus, Theodore J. Ted Sophocleus	Democratic	1992	Appropriations
33.1 33A	Anne Arundel	King, James James King	Republican	2006	Economic Matters
33.1 33A	Anne Arundel	McConkey, Tony Tony McConkey	Republican	2002	Judiciary
33.2 33B	Anne Arundel	Costa, Robert A. Robert A. Costa	Republican	2002	Health and Government Operations
34.1 34A	Cecil , Harford	Riley, B. Daniel B. Daniel Riley	Democratic	1998	Health and Government Operations
34.1 34A	Cecil, Harford	James, Mary-Dulany Mary-Dulany James	Democratic	1998	Appropriations
34.2 34B	Cecil	Rudolph, David D. David D. Rudolph	Democratic	1994	Economic Matters (Vice-Chair)
35.1 35A	Harford	Norman, Wayne Wayne Norman	Republican	2007	Environmental Matters
35.1 35A	Harford	Stifler, Donna Donna Stifler	Republican	2006	Economic Matters
35.2 35B	Harford	McComas, Susan K. Susan McComas	Republican	2002	Judiciary
36	Caroline , Cecil, Kent , Queen Anne's	Smigel, Michael D. Sr. Michael D. Smigiel	Republican	2002	Judiciary
36	Caroline, Cecil, Kent, Queen Anne's	Sossi, Richard A. Richard A. Sossi	Republican	2002	Environmental Matters
36	Caroline, Cecil, Kent, Queen Anne's	Walkup, Mary Roe Mary Roe Walkup	Republican	1994	Economic Matters
37.1 37A	Dorchester , Wicomico	Cane, Rudolph C. Rudolph C. Cane	Democratic	1998	Environmental Matters
37.2 37B	Caroline, Dorchester, Talbot , Wicomico	Eckardt, Adelaide C. Adie Eckardt	Republican	1994	Appropriations
37.2 37B	Caroline, Dorchester, Talbot, Wicomico	Haddaway, Jeannie Jeannie Haddaway	Republican	2002	Economic Matters
38.1 38A	Somerset , Wicomico	Elmore, D. Page D. Page Elmore	Republican	2002	Ways and Means
38.2 38B	Wicomico, Worcester	Conway, Norman H. Norman Conway	Democratic	1986	Appropriations (Chair)
38.2 38B	Wicomico, Worcester	Mathias, James N. Jr. Jim Mathias	Democratic	2006	Economic Matters
39	Montgomery	Barkley, Charles E. Charles E. Barkley	Democratic	1998	Appropriations
39	Montgomery	Reznik, Kirill Kirill Reznik	Democratic	2007	Health and Government Operations
39	Montgomery	Ali, Saqib Saqib Ali	Democratic	2006	Environmental Matters
40	Baltimore City	conaway Frank Conaway	Democratic	2006	Judiciary
40	Baltimore City	robinson Barbara Robinson	Democratic	2006	Appropriations
40	Baltimore City	tarrant Shawn Z. Tarrant	Democratic	2006	Health and Government Operations
41	Baltimore City	carter Jill P. Carter	Democratic	2002	Judiciary
41	Baltimore City	oaks Nathaniel T. Oaks	Democratic	1982	Health and Government Operations
41	Baltimore City	rosenberg Sandy Rosenberg	Democratic	1982	Judiciary (Vice-Chair)
42	Baltimore County	Lafferty, Stephen W. Stephen Lafferty	Democratic	2006	Environmental Matters
42	Baltimore County	Aumann, Susan L. M. Susan Aumann	Republican	2002	Appropriations
42	Baltimore County	Frank, William J. William J. Frank	Republican	2002	Judiciary
43	Baltimore City	Anderson, C Curt Anderson	Democratic	1982	Judiciary
43	Baltimore City	Doory Ann Marie Doory	Democratic	1986	Ways and Means (Vice-Chair)
43	Baltimore City	Mcintosh Maggie McIntosh	Democratic	1992	Environmental Matters (Chair)
44	Baltimore City	Haynes Keith E. Haynes	Democratic	2002	Appropriations
44	Baltimore City	Kirk Ruth M. Kirk	Democratic	1982	Economic Matters
44	Baltimore City	Stukes Melvin L. Stukes	Democratic	2006	Ways and Means
45	Baltimore City	Branch Talmadge Branch	Democratic	1994	Appropriations
45	Baltimore City	Glenn Cheryl Glenn	Democratic	2006	Environmental Matters
45	Baltimore City	Harrison Hattie N. Harrison	Democratic	1973	Economic Matters
46	Baltimore City	Hammen Peter A. Hammen	Democratic	1994	Health and Government Operations (Chair)
46	Baltimore City	Krsiak Carolyn J. Krysiak	Democratic	1990	Economic Matters
46	Baltimore City	Mchale Brian K. McHale	Democratic	1990	Economic Matters
47	Prince George's	Ivey, Jolene Jolene Ivey	Democratic	2006	Ways and Means
47	Prince George's	Niemann, Doyle L. Doyle L. Niemann	Democratic	2002	Environmental Matters
