Alpina model	BMW donor model	Alpina Engine	Power	Torque	Production
B10 3,5 / 1	E34 535i	B11/3	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4000	1988–1992
B10 Bi-Turbo	E34 535i	B7/5	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4000	1989–1994
B10 3,0 ALLRAD	E34 525ix	E3/1	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4200	1993–1996
B10 4,0	E34 540i	F1	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4600	1993–1996
B10 4,6	E34 540i	F2	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 3900	1994–1996
B10 3,2	E39 528i	E4/3	kW (PS; bhp) @ 5900	N·m (ft·lbf) @ 4300	1997–1998
B10 3,3	E39 528i	E4/5	kW (PS; bhp) @ 6200	N·m (ft·lbf) @ 4500	1999–2003
B10 V8	E39 540i	F3	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 3900	1997–1998
B10 V8	E39 540i	F4	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 3700	1998–2002
B10 V8 S	E39 540i	F5	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 3800	2002–2004
B5	E60/E61 545i	H1	kW (PS; bhp) @ 5500	N·m (ft·lbf) @ 4250	2005–2007
B5S	E60/E61 550i	H2	kW (PS; bhp) @ 5500	N·m (ft·lbf) @ 4750	2007–2010
B7 Turbo Coupé	E24 630CSi	B7	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 2500	1978–1982
B7 S Turbo Coupé	E24 635CSi	B7S	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 3000	1982-1982
B9 3,5 Coupé	E24 635CSi	B9	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 4000	1982-1982
B9 3,5 Coupé / 1	E24 635CSi	B9/1	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 4000	1982–1985
B7 Turbo Coupé / 1	E24 635CSi	B7/2	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 2400	1984–1987
B10 3,5 Coupé	E24 635CSi	B10	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4000	1985–1987
B7 Turbo Coupé / 1	E24 635CSi	B7/3	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 2400	1986–1988
B6	E63/E64 650i	H1	kW (PS; bhp) @ 5500	N·m (ft·lbf) @ 4250	2006–2008
B11 3,5	E32 735i	B11	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 4000	1987-1987
B11 3,5	E32 735i	B11/1	kW (PS; bhp) @ 5700	N·m (ft·lbf) @ 4500	1987-1987
B11 3,5	E32 735i	B11/3	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4000	1987–1993
B11 4,0	E32 740i	F1	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 4600	1993–1994
B12 5,0	E32 750i	D1	kW (PS; bhp) @ 5300	N·m (ft·lbf) @ 4000	1988–1994
B12 5,7 E-KAT	E38 750i	D3	kW (PS; bhp) @ 5200	N·m (ft·lbf) @ 4100	1995–1998
B12 6,0 E-KAT	E38 750i	D3/2	kW (PS; bhp) @ 5400	N·m (ft·lbf) @ 4200	1999–2001
B7	E65/E66 745i	H1	kW (PS; bhp) @ 5500	N·m (ft·lbf) @ 4250	2003–2008
B12 5,0 Coupé	E31 850i/850Ci	D1/1	kW (PS; bhp) @ 5300	N·m (ft·lbf) @ 4000	1990–1994
B12 5,7 Coupé	E31 850CSi	D2	kW (PS; bhp) @ 5400	N·m (ft·lbf) @ 4000	1992–1996
Roadster Limited Edition	Z1	C2/6	kW (PS; bhp) @ 6000	N·m (ft·lbf) @ 4900	1990–1991
Roadster V8 Limited Edition	E52 Z8	F5	kW (PS; bhp) @ 5800	N·m (ft·lbf) @ 3800	2002–2003
