N°	Television service	Country	Language	Content	DAR	HDTV	Package/Option
914	Motori TV	Italy	Italian	motori	4:3	no	no ( FTA )
915	TV7 Lombardia	Italy	Italian	tv locale	4:3	no	no ( FTA )
916	Diprè TV 2	Italy	Italian	arte	4:3	no	no ( FTA )
917	New One	Italy	Italian	erotica	4:3	no	no ( FTA )
917	Arte Channel	Italy	Italian	arte	4:3	no	no ( FTA )
919	Euroitaly Channel	Italy	Italian	tv locale	4:3	no	no ( FTA )
920	Napoli Mia	Italy	Italian	tv locale	4:3	no	no ( FTA )
921	MCL.TV	Italy	Italian	erotica	4:3	no	no ( FTA )
922	Jolly Sat	Italy	Italian	general television	4:3	no	no ( FTA )
923	Quore TV	Italy	Italian	televendita	4:3	no	no ( FTA )
924	Metro.Sat	Italy	Italian	intrattenimento	4:3	no	no ( FTA )
925	Lazio TV1	Italy	Italian	tv locale	4:3	no	no ( FTA )
926	Rete Oro	Italy	Italian	tv locale	4:3	no	no ( FTA )
927	Rolsat	Italy	Italian	general television	4:3	no	no ( FTA )
928	Nostradamus	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
929	Napoli TLA	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
930	Italy Italy	Italy	Italian	televendite	4:3	no	no ( FTA )
931	Telenord	Italy	Italian	tv locale	4:3	no	no ( FTA )
932	Telepiù Channel	Italy	Italian	general television	4:3	no	no ( FTA )
933	Italia Sat	Italy	Italian	erotica, promo	4:3	no	no ( FTA )
934	Telefortune Sat	Italy	Italian	cartomanzia, lotto	4:3	no	no ( FTA )
935	Mare TV	Italy	Italian	televendita	4:3	no	no ( FTA )
936	Italia Mia	Italy	Italian	tv locale	4:3	no	no ( FTA )
937	Challenger TV	Italy	Italian	general television	4:3	no	no ( FTA )
938	Super	Italy	Italian	erotica	4:3	no	no ( FTA )
939	Libera TV	Italy	Italian	general television	4:3	no	no ( FTA )
940	.BLU	Italy	Italian	tv locale	4:3	no	no ( FTA )
941	Tele A Più	Italy	Italian	cartomanzia	4:3	no	no ( FTA )
942	Numberone Channel	Italy	Italian	music	4:3	no	no ( FTA )
943	Carpe Diem	Italy	Italian	televendita	4:3	no	no ( FTA )
944	Diprè Art Channel	Italy	Italian	televendita	4:3	no	no ( FTA )
945	Wanted TV	Italy	Italian	televendita	4:3	no	no ( FTA )
946	Telelotto	Italy	Italian	lotto	4:3	no	no ( FTA )
947	Italia 8	Italy	Italian	tv locale	4:3	no	no ( FTA )
948	Fuego TV	Italy	Italian	erotica	4:3	no	no ( FTA )
949	Carisma TV	Italy	Italian	cartomanzia, lotto	4:3	no	no ( FTA )
950	Telecolor	Italy	Italian	tv locale	4:3	no	no ( FTA )
951	One	Italy	Italian	erotica	4:3	no	no ( FTA )
952	Eurotic TV	Italy	Italian	erotica	4:3	no	no ( FTA )
953	Diva Futura Channel	Italy	Italian	erotica	4:3	no	no ( FTA )
