Year	Song	Artist	Genre	Band Tour Venue	Exportable?
1980	" Mr. Crowley "	Ozzy Osbourne	Metal	16. Ozzfest (Germany)	No
2006	" Never Too Late "	The Answer	Hard Rock	18. Sunna's Chariot (Asgard)	Yes
1986	" No Sleep Till Brooklyn "	Beastie Boys featuring Kerry King	Hip Hop	10. House of Blues (Los Angeles)	Yes
2005	"Nuvole E Lenzuola"	Negramaro	Alternative	13. Recording Studio (Canada)	No
2002	" Obstacle 1 "	Interpol	Alternative	5. Amoeba Records (Los Angeles) Encore	Yes
1980	" On the Road Again " (Live)	Willie Nelson	Country	7. Swamp Shack (Louisiana)	No
2000	" One Armed Scissor "	At the Drive-In	Alternative	15. Tesla's Coil (Australia)	Yes
1987	" The One I Love "	R.E.M.	Alternative	4. Pang Tang Bay (Hong Kong)	No
1978	" One Way or Another "	Blondie	New Wave	5. Amoeba Records (Los Angeles)	Yes
2006	" Our Truth "	Lacuna Coil	Nu Metal	16. Ozzfest (Germany)	Yes
2008	" Overkill "	Motörhead	Metal	16. Ozzfest (Germany)	Yes
2001	" Parabola "	Tool	Prog Rock	6. Tool (USA)	No
2007	" Pretty Vacant "	Sex Pistols	Punk	13. Recording Studio (Canada)	No
1998	" Prisoner of Society "	The Living End	Punk	16. Ozzfest (Germany)	No
1992	" Pull Me Under "	Dream Theater	Prog Rock	18. Sunna's Chariot (Asgard)	No
1968	" Purple Haze " (Live at San Diego)	The Jimi Hendrix Experience	Classic Rock	14. AT&T Park (San Franscico) Encore	No
1973	" Ramblin' Man "	The Allman Brothers Band	Southern Rock	5. Amoeba Records (Los Angeles)	No
2008	" Re-Education (Through Labor) "	Rise Against	Modern Rock	17. Times Square (New York City)	Yes
1983	" Rebel Yell "	Billy Idol	New Wave	2. Wilted Orchid (Sweden)	No
2006	" Rooftops (A Liberation Broadcast) "	Lostprophets	Alternative	11. Ted's Tiki Hut (Tahiti)	No
1996	" Santeria "	Sublime	Surf Rock	12. Will Heilm's Keep (England)	Yes
1987	" Satch Boogie "	Joe Satriani	Rock	18. Sunna's Chariot (Asgard)	No
2001	" Schism "	Tool	Prog Rock	6. Tool (USA)	No
2008	" Scream Aim Fire "	Bullet for My Valentine	Metal	16. Ozzfest (Germany)	No
2000	" Shiver "	Coldplay	Pop Rock	12. Will Heilm's Keep (England) Encore	Yes
2002	" Some Might Say "	Oasis	Alternative	1. Phi Psi Kappa (USA)	No
1992	"Soul Doubt"	NOFX	Punk	18. Sunna's Chariot (Asgard)	Yes
1995	" Spiderwebs "	No Doubt	Pop Rock	8. Rock Brigade (The Pacific) Encore	Yes
2003	" Stillborn "	Black Label Society	Metal	7. Swamp Shack (Louisiana)	Yes
1975	" Stranglehold "	Ted Nugent	Hard Rock	9. Strutter's Farm (Kentucky)	Yes
1976	" Sweet Home Alabama " (Live)	Lynyrd Skynyrd	Southern Rock	14. AT&T Park (San Francisco)	Yes
2008	"Ted Nugent Guitar Duel"	Ted Nugent	Hard Rock	N/A ( DLC )	Yes
1993	" Today "	The Smashing Pumpkins	Alternative	3. Bone Church (Poland)	Yes
2007	" Too Much, Too Young, Too Fast "	Airbourne	Hard Rock	11. Ted's Tiki Hut (Tahiti)	No
2007	" Toy Boy "	Stuck in the Sound	Indie Rock	13. Recording Studio (Canada)	Yes
1984	"Trapped Under Ice"	Metallica	Metal	17. Times Square (New York City)	No
1970	" Up Around the Bend "	Creedence Clearwater Revival	Southern Rock	1. Phi Psi Kappa (USA)	Yes
2006	" Vicarious "	Tool	Prog Rock	6. Tool (USA) Encore	No
2002	" VinterNoll2 "	Kent	Indie Rock	15. Tesla's Coil (Australia)	No
2007	"Weapon of Choice"	Black Rebel Motorcycle Club	Rock	15. Tesla's Coil (Australia)	No
2007	" What I've Done "	Linkin Park	Alternative	10. House of Blues (Los Angeles) Encore	No
1967	" The Wind Cries Mary "	The Jimi Hendrix Experience	Classic Rock	14. AT&T Park (San Francisco)	No
2005	"You're Gonna Say Yeah!"	HushPuppies	Pop Rock	3. Bone Church (Poland) Encore	Yes
2008	"Zakk Wylde Guitar Duel"	Zakk Wylde	Rock	N/A ( DLC )	Yes
