Institution name	City/ town	State/ province	Total enrollment	Year founded
Oklahoma Wesleyan University	Bartletsville	Oklahoma	1,021	1909
Olivet Nazarene University	Bourbonnais	Illinois	4,521	1907
Oral Roberts University	Tulsa	Oklahoma	3,067	1963
Palm Beach Atlantic University	West Palm Beach	Florida	3,226	1968
Point Loma Nazarene University	San Diego	California	3,390	1902
Redeemer University College	Ancaster	Ontario	900*	1982
Roberts Wesleyan College	North Chili	New York	1,902	1866
San Diego Christian College	El Cajon	California	422	1970
Seattle Pacific University	Seattle	Washington	3,891	1891
Shorter University	Rome	Georgia	1,136	1873
Simpson University	Redding	California	1,147	1921
Southeastern University, Inc.	Lakeland	Florida	3,075	1935
Southern Nazarene University	Bethany	Oklahoma	2,069	1899
Southern Wesleyan University	Central	South Carolina	2,391	1906
Southwest Baptist University	Bolivar	Missouri	3,656	1878
Spring Arbor University	Spring Arbor	Michigan	3,973	1873
Sterling College	Sterling	Kansas	653	1887
Tabor College	Hillsboro	Kansas	612	1908
Taylor University	Upland	Indiana	1,871	1846
Toccoa Falls College	Toccoa Falls	Georgia	899	1911
Trevecca Nazarene University	Nashville	Tennessee	2,366	1901
Trinity Christian College	Palos Heights	Illinois	1,404	1959
Trinity International University	Deerfield	Illinois	2,694	1897
Trinity Western University	Langley	British Columbia	3,017*	1962
Union University	Jackson	Tennessee	3,655	1823
University of Mary Hardin-Baylor	Belton	Texas	2,648	1845
University of Northwestern	Roseville	Minnesota	3,023	1902
University of Sioux Falls	Sioux Falls	South Dakota	1,589	1883
University of the Southwest	Hobbs	New Mexico	509	1962
Vanguard University of Southern California	Costa Mesa	California	2,149	1920
Warner Pacific College	Portland	Oregon	973	1937
Warner University	Lake Wales	Florida	1,154	1968
Waynesburg University	Waynesburg	Pennsylvania	2,549	1849
Westmont College	Santa Barbara	California	1,340	1937
Wheaton College	Wheaton	Illinois	2,915	1860
Whitworth University	Spokane	Washington	2,704	1890
Williams Baptist College	Walnut Ridge	Arkansas	560	1941
