Name	Location	Country	Longest span	Comp	Pylons
Øresund Bridge	Copenhagen , Denmark to Malmö , Sweden	Denmark Sweden	m (ft)	1999	2
Higashi Kobe Bridge	Kobe	Japan	m (ft)	1992	2
John James Audubon Bridge	Louisiana	United States	m (ft)	2011	2
Ehuang Bridge	Ezhou - Huanggang	People's Republic of China	m (ft)	2002	2
Zhanjiang Bay Bridge	Zhanjiang	People's Republic of China	m (ft)	2006	2
Megami Bridge	Nagasaki	Japan	m (ft)	2006	2
Geogeum Bridge	Goheung County , Jeollanam-do	South Korea	m (ft)	2011	2
Ting Kau Bridge (south span)	Rambler Channel	Hong Kong	m (ft)	1998	2
Busan-Geoje Bridge	Geojedo	South Korea	m (ft)	2010	2
Arthur Ravenel Jr. Bridge	Charleston, South Carolina	United States	m (ft)	2005	2
Seohae Bridge	Pyongtaek to Dangjin	South Korea	m (ft)	2000	2
New Port Mann Bridge	Coquitlam / Surrey	Canada	m (ft)	2012	2
Qingshuipu Bridge (twin bridge)	Ningbo , Zhejiang	People's Republic of China	m (ft)	2011	2 x 2
Alex Fraser Bridge	Delta, British Columbia	Canada	m (ft)	1986	2
Dingshan Bridge ( zh )	Chongqing	People's Republic of China	m (ft)	2013	2
Yokohama Bay Bridge	Yokohama	Japan	m (ft)	1989	2
Junshan Bridge	Wuhan	People's Republic of China	m (ft)	2001	2
Fengjie Yangtze Bridge	Fengjie , Chongqing	People's Republic of China	m (ft)	2006	2
Changshou Bridge	Changshou , Chongqing	People's Republic of China	m (ft)	2008	2
Zhongxian Huyu Expressway Bridge	Zhong , Chongqing	People's Republic of China	m (ft)	2009	2
Vidyasagar Setu (2nd Hooghly Bridge)	Kolkata , West Bengal	India	m (ft)	1992	2
Second Severn Bridge	England / Wales	United Kingdom	m (ft)	1996	2
Rama IX Bridge	Bangkok	Thailand	m (ft)	1987	2
Queen Elizabeth II Bridge	Dartford , England	United Kingdom	m (ft)	1991	2
Dafosi Bridge	Chongqing	People's Republic of China	m (ft)	2001	2
Fuling Shibangou Bridge	Fuling	People's Republic of China	m (ft)	2009	2
Machang Bridge	Changwon	South Korea	m (ft)	2008	2
Ting Kau Bridge (north span)	Rambler Channel	Hong Kong	m (ft)	1998	2
North Hangzhou Bay Bridge	Hangzhou Bay	People's Republic of China	m (ft)	2008	2
Lijiatuo Bridge	Chongqing	People's Republic of China	m (ft)	1995	2
Ingeniero Carlos Fernández Casado Bridge	Barrios de Luna	Spain	m (ft)	1983	2
Liuchonghe Bridge	Zhijin , Guizhou	People's Republic of China	m (ft)	2013	2
Liaohe Bridge	Yingkou	People's Republic of China	m (ft)	2010	2
Bai Chay Bridge	Ha Long	Vietnam	m (ft)	2006	2
Suramadu Bridge	Madura Strait	Indonesia	m (ft)	2009	2
Tongling Bridge	Tongling	People's Republic of China	m (ft)	1995	2
Hanjiatuo Bridge	Fuling District , Chongqing	People's Republic of China	m (ft)	2012	2
Kap Shui Mun Bridge	Kap Shui Mun	Hong Kong	m (ft)	1997	2
Myodo Bridge ( 묘도대교 )	Yeosu , Jeollanam-do	South Korea	m (ft)	2012	2
Jiaxing-Shaoxing Sea Bridge	Hangzhou Bay	People's Republic of China	5 x m (ft)	2013	6
Helgeland Bridge	Sandnessjøen	Norway	m (ft)	1991	2
Nanpu Bridge	Shanghai	People's Republic of China	m (ft)	1991	2
Vasco da Gama Bridge	Lisbon / Alcochete Municipality	Portugal	m (ft)	1998	2
Hitsuishijima Bridge	Great Seto Bridge system over the Seto Inland Sea	Japan	m (ft)	1988	2
Iwakurojima Bridge	Great Seto Bridge system over the Seto Inland Sea	Japan	m (ft)	1988	2
Centennial Bridge	Panama Canal	Panama	m (ft)	2004	2
North Donghai Bridge	Hangzhou Bay	People's Republic of China	m (ft)	2005	2
Greenville Bridge	Mississippi River	United States	m (ft)	2010	2
Hejiang Bridge	Hangzhou Bay	People's Republic of China	m (ft)	2012	2
Huai'an Bridge	Fuzhou	People's Republic of China	m (ft)	2012	2
Yunyang Han River Bridge	Yun , Hubei	People's Republic of China	m (ft)	1994	2
Uddevalla Bridge	near Uddevalla	Sweden	m (ft)	2000	2
Meiko-Higashi Bridge	Nagoya , Aichi , Isewangan Expressway	Japan	m (ft)	1998	2
Zhivopisny Bridge	Moscow	Russia	m (ft)	2007	1
Surgut Bridge	Surgut	Russia	m (ft)	2000	1
Meiko Nishi Bridge (northbound)	Nagoya , Aichi	Japan	m (ft)	1985	2
North Runyang Bridge	Zhenjiang	People's Republic of China	m (ft)	2005	2
Meiko Nishi Bridge (southbound)	Nagoya , Aichi	Japan	m (ft)	1997	2
Wadi Leban Bridge	Riyadh	Saudi Arabia	m (ft)	2000	2
Saint-Nazaire Bridge	Saint-Nazaire	France	m (ft)	1975	2
Suez Canal Bridge	Al Qantarah El Sharqiyya	Egypt	m (ft)	2001	2
Rande Bridge	Pontevedra , Galicia	Spain	m (ft)	1978	2
Pont de l'Iroise	Finistère , Brittany	France	m (ft)	1994	2
Second Wuhan Yangtze River Bridge	Wuhan	People's Republic of China	m (ft)	1995	2
Takashima Hizen Bridge	Nagasaki / Hizen, Saga	Japan	m (ft)	2009	2
New Taipei Bridge	New Taipei	Taiwan	m (ft)	2010	1
