Mountain	Height (m)	Prominence (m)	Range	Country
Mount Gugu	3570	940	Mount Gugu	Ethiopia
Gesh Megal (?)	3570	520	Gurage Mountains	Ethiopia
Gughe	3568	2013	Balta Mountains	Ethiopia
Megezez	3565	690	Eastern Escarpment	Ethiopia
Pt 3555	3555	475	Lasta Massif	Ethiopia
Jbel Tinergwet	3551	880	West High Atlas	Morocco
Amba Alagi	3550	820	Tigray Mountains	Ethiopia
Nakugen	3530	1510	Cherangany Hills	Kenya
Gara Guda /Kara Gada	3530	900	Salale Mountains	Ethiopia
Amonewas	3530	870	Choqa Mountains	Ethiopia
Amedamit	3530	760	Choqa Mountains	Ethiopia
Igoudamene	3519	550	Central High Atlas	Morocco
Abuye Meda	3505	230	Eastern Escarpment	Ethiopia
Thabana Ntlenyana	3482	2390	Drakensberg	Lesotho
Mont Mohi	3480	1592	Mitumba Mountains	DR Congo
Gahinga	3474	425	Virunga Mountains	Uganda Rwanda
Nyiragongo	3470	1440	Virunga Mountains	DR Congo
