Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race time	Average speed (mph)	Report
1993	April 4	Rusty Wallace	Penske Racing	Pontiac	500	266.5 (428.89)	3:08:43	84.73	Report
1994	April 10	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	2:58:22	89.647	Report
1995	April 2	Jeff Gordon	Hendrick Motorsports	Chevrolet	500	266.5 (428.89)	2:53:47	92.011	Report
1996	March 31	Jeff Gordon	Hendrick Motorsports	Chevrolet	342*	182.286 (293.36)	1:59:47	91.308	Report
1997	April 13	Jeff Gordon	Hendrick Motorsports	Chevrolet	500	266.5 (428.89)	3:33:06	75.035	Report
1998	March 29	Jeff Gordon	Hendrick Motorsports	Chevrolet	500	266.5 (428.89)	3:13:00	82.85	Report
1999	April 11	Rusty Wallace	Penske Racing	Ford	500	266.5 (428.89)	2:51:16	93.363	Report
2000	March 26	Rusty Wallace	Penske Racing	Ford	500	266.5 (428.89)	3:01:40	88.018	Report
2001	March 25	Elliott Sadler	Wood Brothers Racing	Ford	500	266.5 (428.89)	3:03:54	86.949	Report
2002	March 24	Kurt Busch	Roush Racing	Ford	500	266.5 (428.89)	3:14:20	82.281	Report
2003	March 23	Kurt Busch	Roush Racing	Ford	500	266.5 (428.89)	3:29:53	76.185	Report
2004	March 28	Kurt Busch	Roush Racing	Ford	500	266.5 (428.89)	3:13:34	82.607	Report
2005	April 3	Kevin Harvick	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	3:26:20	77.496	Report
2006	March 26	Kurt Busch	Penske Racing	Dodge	500	266.5 (428.89)	3:21:19	79.427	Report
2007 *	March 25	Kyle Busch	Hendrick Motorsports	Chevrolet	504*	268.632 (432.321)	3:16:38	81.969	Report
2008	March 16	Jeff Burton	Richard Childress Racing	Chevrolet	506*	269.698 (434.036)	3:00:15	89.775	Report
2009	March 22	Kyle Busch	Joe Gibbs Racing	Toyota	503*	268.099 (431.463)	2:54:35	92.139	Report
2010	March 21	Jimmie Johnson	Hendrick Motorsports	Chevrolet	500	266.5 (428.89)	3:20:50	79.618	Report
2011	March 20	Kyle Busch	Joe Gibbs Racing	Toyota	500	266.5 (428.89)	2:53:55	91.941	Report
2012	March 18	Brad Keselowski	Penske Racing	Dodge	500	266.5 (428.89)	2:51:52	93.037	Report
