Name	Status	Population	District	Former local authority
Abington Pigotts	Civil parish	143	South Cambridgeshire	South Cambridgeshire Rural District
Arrington	Civil parish	389	South Cambridgeshire	South Cambridgeshire Rural District
Babraham	Civil parish	269	South Cambridgeshire	South Cambridgeshire Rural District
Balsham	Civil parish	1,641	South Cambridgeshire	South Cambridgeshire Rural District
Bar Hill	Civil parish	4,233	South Cambridgeshire	Chesterton Rural District
Barrington	Civil parish	904	South Cambridgeshire	South Cambridgeshire Rural District
Bartlow	Civil parish	102	South Cambridgeshire	South Cambridgeshire Rural District
Barton	Civil parish	799	South Cambridgeshire	Chesterton Rural District
Bassingbourn cum Kneesworth	Civil parish	4,005	South Cambridgeshire	South Cambridgeshire Rural District
Bourn	Civil parish	929	South Cambridgeshire	Chesterton Rural District
Boxworth	Civil parish	226	South Cambridgeshire	Chesterton Rural District
Caldecote	Civil parish	793	South Cambridgeshire	Chesterton Rural District
Cambourne	Civil parish	1,044	South Cambridgeshire	Chesterton Rural District
Carlton	Civil parish	166	South Cambridgeshire	South Cambridgeshire Rural District
Castle Camps	Civil parish	600	South Cambridgeshire	South Cambridgeshire Rural District
Caxton	Civil parish	271	South Cambridgeshire	Chesterton Rural District
Childerley	Civil parish	27	South Cambridgeshire	Chesterton Rural District
Comberton	Civil parish	2,189	South Cambridgeshire	Chesterton Rural District
Conington	Civil parish	120	South Cambridgeshire	Chesterton Rural District
Coton	Civil parish	773	South Cambridgeshire	Chesterton Rural District
Cottenham	Civil parish	5,652	South Cambridgeshire	Chesterton Rural District
Croxton	Civil parish	163	South Cambridgeshire	Chesterton Rural District
Croydon	Civil parish	221	South Cambridgeshire	South Cambridgeshire Rural District
Dry Drayton	Civil parish	582	South Cambridgeshire	Chesterton Rural District
Duxford	Civil parish	1,836	South Cambridgeshire	South Cambridgeshire Rural District
Elsworth	Civil parish	657	South Cambridgeshire	Chesterton Rural District
Eltisley	Civil parish	421	South Cambridgeshire	Chesterton Rural District
Fen Ditton	Civil parish	747	South Cambridgeshire	Chesterton Rural District
Fen Drayton	Civil parish	825	South Cambridgeshire	Chesterton Rural District
Fowlmere	Civil parish	1,190	South Cambridgeshire	South Cambridgeshire Rural District
Foxton	Civil parish	1,161	South Cambridgeshire	South Cambridgeshire Rural District
Fulbourn	Civil parish	4,704	South Cambridgeshire	Chesterton Rural District
Gamlingay	Civil parish	3,535	South Cambridgeshire	South Cambridgeshire Rural District
Girton	Civil parish	3,752	South Cambridgeshire	Chesterton Rural District
Grantchester	Civil parish	552	South Cambridgeshire	Chesterton Rural District
Graveley	Civil parish	223	South Cambridgeshire	Chesterton Rural District
Great Abington	Civil parish	854	South Cambridgeshire	South Cambridgeshire Rural District
Great and Little Chishill	Civil parish	608	South Cambridgeshire	South Cambridgeshire Rural District
Great Eversden	Civil parish	227	South Cambridgeshire	South Cambridgeshire Rural District
Great Shelford	Civil parish	3,949	South Cambridgeshire	Chesterton Rural District
Great Wilbraham	Civil parish	639	South Cambridgeshire	Chesterton Rural District
Guilden Morden	Civil parish	929	South Cambridgeshire	South Cambridgeshire Rural District
Hardwick	Civil parish	2,630	South Cambridgeshire	Chesterton Rural District
Harlton	Civil parish	303	South Cambridgeshire	Chesterton Rural District
Harston	Civil parish	1,692	South Cambridgeshire	Chesterton Rural District
Haslingfield	Civil parish	1,550	South Cambridgeshire	Chesterton Rural District
Hatley	Civil parish	205	South Cambridgeshire	South Cambridgeshire Rural District
Hauxton	Civil parish	687	South Cambridgeshire	Chesterton Rural District
Heydon	Civil parish	206	South Cambridgeshire	South Cambridgeshire Rural District
Hildersham	Civil parish	202	South Cambridgeshire	South Cambridgeshire Rural District
Hinxton	Civil parish	315	South Cambridgeshire	South Cambridgeshire Rural District
Histon	Civil parish	4,362	South Cambridgeshire	Chesterton Rural District
Horningsea	Civil parish	331	South Cambridgeshire	Chesterton Rural District
Horseheath	Civil parish	465	South Cambridgeshire	South Cambridgeshire Rural District
Ickleton	Civil parish	655	South Cambridgeshire	South Cambridgeshire Rural District
Impington	Civil parish	3,676	South Cambridgeshire	Chesterton Rural District
Kingston	Civil parish	214	South Cambridgeshire	South Cambridgeshire Rural District
Knapwell	Civil parish	92	South Cambridgeshire	Chesterton Rural District
Landbeach	Civil parish	825	South Cambridgeshire	Chesterton Rural District
Linton	Civil parish	4,310	South Cambridgeshire	South Cambridgeshire Rural District
Litlington	Civil parish	813	South Cambridgeshire	South Cambridgeshire Rural District
Little Abington	Civil parish	529	South Cambridgeshire	South Cambridgeshire Rural District
Little Eversden	Civil parish	559	South Cambridgeshire	South Cambridgeshire Rural District
Little Gransden	Civil parish	262	South Cambridgeshire	South Cambridgeshire Rural District
Little Shelford	Civil parish	797	South Cambridgeshire	Chesterton Rural District
Little Wilbraham	Civil parish	394	South Cambridgeshire	Chesterton Rural District
Lolworth	Civil parish	136	South Cambridgeshire	Chesterton Rural District
Longstanton	Civil parish	1,700	South Cambridgeshire	Chesterton Rural District
Longstowe	Civil parish	193	South Cambridgeshire	South Cambridgeshire Rural District
Madingley	Civil parish	206	South Cambridgeshire	Chesterton Rural District
Melbourn	Civil parish	4,414	South Cambridgeshire	South Cambridgeshire Rural District
Meldreth	Civil parish	1,641	South Cambridgeshire	South Cambridgeshire Rural District
Milton	Civil parish	4,275	South Cambridgeshire	Chesterton Rural District
Newton	Civil parish	401	South Cambridgeshire	Chesterton Rural District
Oakington and Westwick	Civil parish	1,297	South Cambridgeshire	Chesterton Rural District
Orchard Park	Community	349	South Cambridgeshire	Chesterton Rural District
Orwell	Civil parish	1,080	South Cambridgeshire	South Cambridgeshire Rural District
Over	Civil parish	2,743	South Cambridgeshire	Chesterton Rural District
Pampisford	Civil parish	343	South Cambridgeshire	South Cambridgeshire Rural District
Papworth Everard	Civil parish	2,012	South Cambridgeshire	Chesterton Rural District
Papworth St Agnes	Civil parish	59	South Cambridgeshire	Chesterton Rural District
Rampton	Civil parish	440	South Cambridgeshire	Chesterton Rural District
Sawston	Civil parish	7,150	South Cambridgeshire	South Cambridgeshire Rural District
Shepreth	Civil parish	819	South Cambridgeshire	South Cambridgeshire Rural District
Shingay cum Wendy	Civil parish	104	South Cambridgeshire	South Cambridgeshire Rural District
Shudy Camps	Civil parish	310	South Cambridgeshire	South Cambridgeshire Rural District
Stapleford	Civil parish	1,738	South Cambridgeshire	Chesterton Rural District
Steeple Morden	Civil parish	963	South Cambridgeshire	South Cambridgeshire Rural District
Stow cum Quy	Civil parish	426	South Cambridgeshire	Chesterton Rural District
Swavesey	Civil parish	2,480	South Cambridgeshire	Chesterton Rural District
Tadlow	Civil parish	181	South Cambridgeshire	South Cambridgeshire Rural District
Teversham	Civil parish	2,665	South Cambridgeshire	Chesterton Rural District
Thriplow	Civil parish	847	South Cambridgeshire	South Cambridgeshire Rural District
Toft	Civil parish	581	South Cambridgeshire	Chesterton Rural District
Waterbeach	Civil parish	4,431	South Cambridgeshire	Chesterton Rural District
West Wickham	Civil parish	423	South Cambridgeshire	South Cambridgeshire Rural District
West Wratting	Civil parish	436	South Cambridgeshire	South Cambridgeshire Rural District
Weston Colville	Civil parish	424	South Cambridgeshire	South Cambridgeshire Rural District
Whaddon	Civil parish	481	South Cambridgeshire	South Cambridgeshire Rural District
Whittlesford	Civil parish	1,573	South Cambridgeshire	South Cambridgeshire Rural District
Willingham	Civil parish	3,436	South Cambridgeshire	Chesterton Rural District
Wimpole	Civil parish	227	South Cambridgeshire	South Cambridgeshire Rural District
