Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1974	Edy Andrey	Liselotte Blumer	Edy Andrey Hubert Riedo	Liselotte Blumer Claudia von Büren	Edy Andrey Liselotte Blumer
1975	Edy Andrey	Liselotte Blumer	Edy Andrey Hubert Riedo	Liselotte Blumer Mireille Drapel	Edy Andrey Liselotte Blumer
1976	Edy Andrey	Liselotte Blumer	Claude Heiniger Roland Heiniger	Liselotte Blumer Mireille Drapel	Edy Andrey Liselotte Blumer
1977	Edy Andrey	Liselotte Blumer	Claude Heiniger Roland Heiniger	Liselotte Blumer Mireille Drapel	Edy Andrey Liselotte Blumer
1978	Edy Andrey	Liselotte Blumer	Claude Heiniger Roland Heiniger	Liselotte Blumer Mireille Drapel	Edy Andrey Liselotte Blumer
1979	Claude Heiniger	Liselotte Blumer	Claude Heiniger Roland Heiniger	Liselotte Blumer Patricia Kaul	Edy Andrey Liselotte Blumer
1980	Claude Heiniger	Liselotte Blumer	Claude Heiniger Roland Heiniger	Liselotte Blumer Mireille Drapel	Dieter Blumer Liselotte Blumer
1981	Paolo di Paoli	Liselotte Blumer	Claude Heiniger Roland Heiniger	Liselotte Blumer Mireille Drapel	Dieter Blumer Liselotte Blumer
1982	Pascal Kaul	Liselotte Blumer	Laurent Kuhnert Paolo di Paoli	Liselotte Blumer Mireille Drapel	Dieter Blumer Liselotte Blumer
1983	Pascal Kaul	Liselotte Blumer	Pierre Duboux Pascal Kaul	Liselotte Blumer Mireille Drapel	Dieter Blumer Liselotte Blumer
1984	Pierre Duboux	Liselotte Blumer	Michael Althaus Thomas Althaus	Liselotte Blumer Rita Lutz	Dieter Blumer Liselotte Blumer
1985	Pascal Kaul	Liselotte Blumer	Michael Althaus Thomas Althaus	Liselotte Blumer Patricia Werner	Michael Althaus Iris Kaufmann
1986	Thomas Althaus	Liselotte Blumer	Hubert Müller Werner Riesen	Liselotte Blumer Rita Lutz	Hubert Müller Nicole Zahno
1987	Thomas Althaus	Liselotte Blumer	Yvan Philip Pascal Kaul	Liselotte Blumer Patricia Werner	Daniel Hanggi Liselotte Blumer
1988	Thomas Althaus	Bettina Villars	Yvan Philip Stephen Dietrich	Maja Baumgartner Bettina Gfeller	Thomas Althaus Bettina Villars
1989	Thomas Althaus	Bettina Villars	Laurent Jaquenoud Jorge Rodríguez	Liselotte Blumer Iria Gerstenkorn	Thomas Althaus Bettina Villars
1990	Thomas Wapp	Bettina Villars	Hubert Müller Christian Nyffenegger	Silvia Albrecht Sarah Horing	Thomas Althaus Bettina Villars
1991	No competition	No competition	No competition	No competition	No competition
1992	Christian Nyffenegger	Bettina Villars	Remy Matthey de l'Etang Thomas Wapp	Silvia Albrecht Bettina Gfeller	Thomas Althaus Bettina Villars
1993	Thomas Wapp	Silvia Albrecht	Remy Matthey de l'Etang Thomas Wapp	Liselotte Blumer Silvia Albrecht	Lawrence Chew Si Hock Santi Wibowo
1994	Thomas Wapp	Liselotte Blumer	Lawrence Chew Si Hock Jorge Rodríguez	Yvonne Naef Santi Wibowo	Lawrence Chew Si Hock Santi Wibowo
1995	Thomas Wapp	Bettina Villars	Christian Nyffenegger Thomas Wapp	Silvia Albrecht Santi Wibowo	Robert de Kock Santi Wibowo
1996	Thomas Wapp	Silvia Albrecht	Thomas Wapp Lawrence Chew Si Hock	Silvia Albrecht Santi Wibowo	Jorge Rodríguez Silvia Albrecht
1997	Thomas Wapp	Santi Wibowo	Thomas Wapp Stephan Wapp	Fabienne Baumeyer Shefali Rolf	Stephan Wapp Santi Wibowo
1998	Thomas Wapp	Santi Wibowo	Thomas Wapp Stephan Wapp	Santi Wibowo Judith Baumeyer	Morten Bundgaard-Hansen Silvia Albrecht
1999	Thomas Wapp	Santi Wibowo	Morten Bundgaard Remy Matthey de l'Etang	Santi Wibowo Judith Baumeyer	Morten Bundgaard Santi Wibowo
2000	Thomas Wapp	Santi Wibowo	Morten Bundgaard Remy Matthey de l'Etang	Fabienne Baumeyer Corinne Jörg	Pascal Bircher Fabienne Baumeyer
2001	Thomas Wapp	Judith Baumeyer	Pascal Bircher Remy Matthey de l'Etang	Judith Baumeyer Santi Wibowo	Pascal Bircher Santi Wibowo
2002	Paolo von Scala	Santi Wibowo	Elias Wieland Pascal Bircher	Santi Wibowo Judith Baumeyer	Pascal Bircher Fabienne Baumeyer
2003	Christian Unternährer	Jeanine Cicognini	Pascal Bircher Philipp Kurz	Fabienne Baumeyer Judith Baumeyer	Santi Wibowo Paolo von Scala
2004	Olivier Andrey	Jeanine Cicognini	Roman Trepp Jon Lindholm	Corinne Jörg Jeanine Cicognini	Pascal Bircher Fabienne Baumeyer
2005	Olivier Andrey	Corinne Jörg	Christian Bösiger Michael Andrey	Corinne Jörg Anke Fritschi	Markus Hegar Anke Fritschi
2006	Olivier Andrey	Jeanine Cicognini	Christian Bösiger Michael Andrey	Jeanine Cicognini Ornella Dumartheray	Anthony Dumartheray Sabrina Jaquet
2007	Christian Bösiger	Jeanine Cicognini	Michael Andrey Christian Bösiger	Corinne Jörg Sabrina Jaquet	Anthony Dumartheray Sabrina Jaquet
2008	Olivier Andrey	Monika Fischer	Roman Kunz Simon Enkerli	Corinne Jörg Sabrina Jaquet	Anthony Dumartheray Sabrina Jaquet
2009	Christian Bösiger	Jeanine Cicognini	Christian Bösiger Anthony Dumartheray	Corinne Jörg Sabrina Jaquet	Anthony Dumartheray Sabrina Jaquet
2010	Olivier Andrey	Jeanine Cicognini	Christian Bösiger Anthony Dumartheray	Corinne Jörg Sabrina Jaquet	Anthony Dumartheray Sabrina Jaquet
2011	Christian Bösiger	Jeanine Cicognini	Christian Bösiger Anthony Dumartheray	Sabrina Jaquet Ornella Dumartheray	Anthony Dumartheray Sabrina Jaquet
