Rank	Name	Country	Maglia Rosa	Giro Wins	Points	Young rider
87=	Alfonso Calzolari	Italy	6	1	0	0
87=	Francesco Camusso	Italy	6	1	0	0
87=	Cino Cinelli	Italy	6	0	0	0
87=	Mario Cipollini	Italy	6	0	3	0
87=	Nino Defilippis	Italy	6	0	0	0
87=	Giuseppe Enrici	Italy	6	1	0	0
87=	Luigi Ganna	Italy	6	1	0	0
87=	Wladimiro Panizza	Italy	6	0	0	0
87=	Giovanni Pettinati	Italy	6	0	0	0
87=	Domenico Piemontesi	Italy	6	0	0	0
87=	Davide Rebellin	Italy	6	0	0	0
100=	David Arroyo	Spain	5	0	0	0
100=	Giovanni Battaglin	Italy	5	1	0	0
100=	Hermann Buse	Germany	5	0	0	0
100=	Ryder Hesjedal	Canada	5	1	0	0
100=	Freddy Maertens	Belgium	5	0	0	0
100=	Bruno Mealli	Italy	5	0	0	0
100=	Marco Pinotti	Italy	5	0	0	0
100=	Alexander Vinokourov	Kazakhstan	5	0	0	0
108=	Graziano Battistini	Italy	4	0	0	0
108=	Aldo Bini	Italy	4	0	0	0
108=	Paolo Bettini	Italy	4	0	2	0
108=	Mark Cavendish	United Kingdom	4	0	1	0
108=	Pierino Favalli	Italy	4	0	0	0
108=	Federico Gay	Italy	4	0	0	0
108=	Sergei Honchar	Ukraine	4	0	0	0
108=	Silvio Martinello	Italy	4	0	0	0
108=	Luca Paolini	Italy	4	0	0	0
108=	Franco Pellizotti	Italy	4	0	0	0
108=	Giovanni Rossignoli	Italy	4	0	0	0
108=	Silvano Schiavon	Italy	4	0	0	0
108=	Kanstantsin Sivtsov	Belarus	4	0	0	0
108=	Antonio Suarez	Spain	4	0	0	0
108=	Rik Verbrugghe	Belgium	4	0	0	0
108=	Pieter Weening	Netherlands	4	0	0	0
124=	Marino Basso	Italy	3	0	1	0
124=	Jean François Bernard	France	3	0	0	0
124=	Agostino Coletto	Italy	3	0	0	0
124=	Ugo Colombo	Italy	3	0	0	0
124=	Fermo Camellini	Italy	3	0	0	0
124=	Guido De Santi	Italy	3	0	0	0
124=	Roger De Vlaeminck	Belgium	3	0	3	0
124=	Jef Demuysere	Belgium	3	0	0	0
124=	Mario Fazio	Italy	3	0	0	0
124=	Raphael Geminiani	Italy	3	0	0	0
124=	Antonio Gomez Moral	Spain	3	0	0	0
124=	Angelo Gremo	Italy	3	0	0	0
124=	Knut Knudsen	Norway	3	0	0	0
124=	Bruno Leali	Italy	3	0	0	0
124=	Giuseppe Minardi	Italy	3	0	0	0
124=	Enrico Mollo	Italy	3	0	0	0
124=	Cristian Moreni	Italy	3	0	0	0
124=	Andrea Noè	Italy	3	0	0	0
124=	Enrico Paolini	Italy	3	0	0	0
1234=	Gösta Pettersson	Sweden	3	1	0	0
123=	Taylor Phinney	United States	3	0	0	0
124=	Yaroslav Popovych	Ukraine	3	0	0	0
123=	Richie Porte	Australia	3	0	0	1
124=	Giuseppe Santhià	Italy	3	0	0	0
124=	Matteo Tosatto	Italy	3	0	0	0
124=	Renzo Zanazzi	Italy	3	0	0	0
150=	Giuseppe Azzini	Italy	2	0	0	0
150=	Osvaldo Bailo	Italy	2	0	0	0
150=	Ruggiero Balli	Italy	2	0	0	0
150=	Gianbattista Baronchelli	Italy	2	0	0	0
150=	Antonio Bevilacqua	Italy	2	0	0	0
150=	Jeroen Blijlevens	Netherlands	2	0	0	0
150=	Severino Canavesi	Italy	2	0	0	0
150=	Ezio Cecchi	Italy	2	0	0	0
150=	Acacio Da Silva	Portugal	2	0	0	0
150=	Cadel Evans	Australia	2	0	0	0
150=	Urs Freuler	Switzerland	2	0	1	0
150=	Enrico Gasparotto	Italy	2	0	0	0
150=	Michele Mara	Italy	2	0	0	0
150=	Thierry Marie	France	2	0	0	0
150=	Bradley McGee	Australia	2	0	0	0
150=	David Millar	United Kingdom	2	0	0	0
150=	Bruno Monti	Italy	2	0	0	0
150=	Aldo Moser	Italy	2	0	0	0
150=	Enzo Moser	Italy	2	0	0	0
150=	Ramūnas Navardauskas	Lithuania	2	0	0	0
150=	Albano Negro	Italy	2	0	0	0
150=	Carlo Oriani	Italy	2	1	0	0
150=	Eberardo Pavesi	Italy	2	0	0	0
150=	Olaf Pollack	Germany	2	0	0	0
150=	Jean-Paul van Poppel	Netherlands	2	0	0	0
150=	Wilfried Reybrouck	Belgium	2	0	0	0
150=	Paolo Rosola	Italy	2	0	0	0
150=	Stefan Schumacher	Germany	2	0	0	0
150=	Patrick Sercu	Belgium	2	0	0	0
150=	Rik Van Linden	Belgium	2	0	0	0
150=	Guillaume Van Tongerloo	Belgium	2	0	0	0
150=	Mario Vicini	Italy	2	0	0	0
182=	Giorgio Albani	Italy	1	0	0	0
182=	Pierino Albini	Italy	1	0	0	0
182=	Ernesto Azzini	Italy	1	0	0	0
182=	Pierino Baffi	Italy	1	0	0	0
182=	Michele Bartoli	Italy	1	0	0	0
182=	Dario Beni	Italy	1	0	0	0
182=	Quirico Bernacchi	Italy	1	0	0	0
182=	Olimpio Bizzi	Italy	1	0	0	0
182=	Davide Boifava	Italy	1	0	0	0
182=	Patrick Bonnet	France	1	0	0	0
182=	Gabriele Bosisio	Italy	1	0	0	0
182=	Salvador Botella	Spain	1	0	0	0
182=	Eric Boyer	France	1	0	0	0
182=	Gregor Braun	Germany	1	0	0	0
182=	Dino Bruni	Italy	1	0	0	0
182=	Philippe Casado	France	1	0	0	0
182=	Carlo Chiappano	Italy	1	0	0	0
182=	Marco Cimatti	Italy	1	0	0	0
182=	Oreste Conte	Italy	1	0	0	0
182=	Angelo Conterno	Italy	1	0	0	0
182=	Armand De Las Cuevas	France	1	0	0	0
182=	Raffaele di Paco	Italy	1	0	0	0
182=	Juan Carlos Domínguez	Spain	1	0	0	0
182=	Wim van Est	Netherlands	1	0	0	0
182=	Walter Fantini	Italy	1	0	0	0
182=	Luciano Galbo	Italy	1	0	0	0
182=	Luigi Giacobbe	Italy	1	0	0	0
182=	Charly Grosskost	France	1	0	0	0
182=	José Enrique Gutiérrez	Spain	1	0	0	0
182=	Pascal Hervé	France	1	0	0	0
182=	Jan Hruška	Czech Republic	1	0	0	0
182=	Beñat Intxausti	Spain	1	0	0	0
182=	Brett Lancaster	Australia	1	0	0	0
182=	Pietro Linari	Italy	1	0	0	0
182=	Dino Liviero	Italy	1	0	0	0
182=	Thomas Lövkvist	Sweden	1	0	0	0
182=	Adriano Malori	Italy	1	0	0	0
182=	Alfredo Martini	Italy	1	0	0	0
182=	Robbie McEwen	Australia	1	0	0	0
182=	Vincenzo Meco	Italy	1	0	0	0
182=	Guido Messina	Italy	1	0	0	0
182=	Antonio Negrini	Italy	1	0	0	0
182=	Abraham Olano	Spain	1	0	0	0
182=	Giuseppe Olivieri	Italy	1	0	0	0
182=	Lucien Petit-Breton	France	1	0	0	0
182=	Tommy Prim	Sweden	1	0	0	1
182=	Salvatore Puccio	Italy	1	0	0	0
182=	Ivan Quaranta	Italy	1	0	0	0
182=	Antonin Rolland	France	1	0	0	0
182=	Laurent Roux	France	1	0	0	0
182=	Sergio Santimaria	Italy	1	0	0	0
182=	Roger Swerts	Belgium	1	0	0	0
182=	Vito Taccone	Italy	1	0	0	0
182=	Dietrich Thurau	Germany	1	0	0	0
182=	Nello Troggi	Italy	1	0	0	0
182=	Rik Van Looy	Belgium	1	0	0	0
182=	Christian Vande Velde	United States	1	0	0	0
182=	Willy Vannitsen	Belgium	1	0	0	0
182=	Romeo Venturelli	Italy	1	0	0	0
182=	Adriano Vignoli	Italy	1	0	0	0
182=	Gerrit Voorting	Netherlands	1	0	0	0
182=	Bradley Wiggins	United Kingdom	1	0	0	0
182=	Giorgio Zancanaro	Italy	1	0	0	0
182=	Stefano Zanini	Italy	1	0	0	0
182=	Vincenzo Zucconelli	Italy	1	0	0	0
