Home	Score	Away	Venue	Golden point(s) scorer
Brisbane Broncos	13–12	St. George Illawarra Dragons	Suncorp Stadium	Darren Lockyer
Newcastle Knights	14–15	St. George Illawarra Dragons	Hunter Stadium	Jamie Soward
Wests Tigers	17–16	Cronulla-Sutherland Sharks	Leichhardt Oval	Benji Marshall
Wests Tigers	16–17	South Sydney Rabbitohs	Allianz Stadium	Greg Inglis
Gold Coast Titans	14–15	Wests Tigers	Skilled Park	Robbie Farah
Penrith Panthers	13–12	St. George Illawarra Dragons	Centrebet Stadium	Lachlan Coote
St. George Illawarra Dragons	18–19	South Sydney Rabbitohs	WIN Jubilee Oval	Adam Reynolds
Penrith Panthers	18–19	Parramatta Eels	Centrebet Stadium	Chris Sandow
Cronulla Sharks	14–14	Sydney Roosters	Toyota Stadium	none
Cronulla Sharks	20–21	Penrith Panthers	Toyota Stadium	Luke Walsh
Canterbury-Bankstown Bulldogs	23–22	Wests Tigers	ANZ Stadium	Krisnan Inu
Newcastle Knights	20–21	Cronulla Sharks	Hunter Stadium	Jeff Robson
Melbourne Storm	10–10	Manly-Warringah Sea Eagles	AAMI Park	none
Manly-Warringah Sea Eagles	30–32	Canterbury-Bankstown Bulldogs	Brookvale Oval	Trent Hodkinson
South Sydney Rabbitohs	18–22	St. George Illawarra Dragons	ANZ Stadium	Brett Morris
Newcastle Knights	18–18	Brisbane Broncos	Hunter Stadium	none
Melbourne Storm	23–22	Gold Coast Titans	AAMI Park	Cooper Cronk
