County	Precincts	Lunsford	% Lunsford	McConnell	% McConnell	Total
Fulton	13	1,456	53.49%	1,266	46.51%	2,722 (D)
Gallatin	8	1,435	45.66%	1,708	54.34%	3,143 (R)
Garrard	13	2,858	40.11%	4,268	59.89%	7,126 (R)
Grant	23	3,408	39.33%	5,257	60.67%	8,665 (R)
Graves	30	7,839	48.76%	8,239	51.24%	16,078 (R)
Grayson	23	3,863	39.23%	5,983	60.77%	9,846 (R)
Green	10	1,777	35.73%	3,197	64.27%	4,974 (R)
Greenup	32	8,258	52.83%	7,374	47.17%	15,632 (D)
Hancock	10	2,298	56.09%	1,799	43.91%	4,097 (D)
Hardin	55	17,318	43.68%	22,326	56.32%	39,644 (R)
Harlan	35	4,440	45.92%	5,229	54.08%	9,669 (R)
Harrison	17	3,814	50.47%	3,743	49.53%	7,557 (D)
Hart	19	2,962	44.60%	3,680	55.40%	6,642 (R)
Henderson	42	11,048	56.06%	8,659	43.94%	19,707 (D)
Henry	20	3,194	46.52%	3,672	53.48%	6,866 (R)
Hickman	6	1,049	47.49%	1,160	52.51%	2,209 (R)
Hopkins	40	8,481	44.87%	10,419	55.13%	18,900 (R)
Jackson	14	1,245	24.71%	3,794	75.29%	5,039 (R)
Jefferson	515	195,401	55.73%	155,241	44.27%	350,642 (D)
Jessamine	37	7,847	39.60%	11,969	60.40%	19,816 (R)
Johnson	31	3,252	38.81%	5,128	61.19%	8,380 (R)
Kenton	108	19,217	36.26%	33,787	63.74%	53,004 (R)
Knott	30	3,477	62.14%	2,118	37.86%	5,595 (D)
Knox	30	4,329	39.01%	6,767	60.99%	11,096 (R)
LaRue	12	2,523	41.97%	3,489	58.03%	6,012 (R)
Laurel	45	6,850	31.15%	15,138	68.85%	21,988 (R)
Lawrence	18	2,641	47.47%	2,923	52.53%	5,564 (R)
Lee	10	1,073	39.77%	1,625	60.23%	2,698 (R)
Leslie	17	1,083	25.15%	3,224	74.85%	4,307 (R)
Letcher	32	4,198	51.82%	3,903	48.18%	8,101 (D)
Lewis	14	1,787	38.26%	2,884	61.74%	4,671 (R)
Lincoln	17	4,119	45.47%	4,939	54.53%	9,058 (R)
Livingston	10	2,142	47.35%	2,382	52.65%	4,524 (R)
Logan	20	4,379	40.70%	6,379	59.30%	10,758 (R)
Lyon	6	1,821	47.80%	1,989	52.20%	3,810 (R)
McCracken	54	13,006	42.91%	17,303	57.09%	30,309 (D)
McCreary	18	1,576	30.41%	3,606	69.59%	5,182 (R)
McLean	8	2,225	50.55%	2,177	49.45%	4,402 (D)
Madison	56	14,657	45.96%	17,237	54.04%	31,894 (R)
Magoffin	14	2,719	58.81%	1,904	41.19%	4,623 (D)
Marion	17	4,304	57.68%	3,158	42.32%	7,462 (D)
Marshall	25	7,463	48.94%	7,785	51.06%	15,248 (R)
Martin	14	1,203	33.19%	2,422	66.81%	3,625 (R)
Mason	20	3,095	44.58%	3,847	55.42%	6,942 (R)
Meade	18	5,149	46.58%	5,905	53.42%	11,054 (R)
Menifee	6	1,520	61.51%	951	38.49%	2,471 (D)
Mercer	17	4,338	44.17%	5,484	55.83%	9,822 (R)
Metcalfe	12	1,766	44.03%	2,245	55.97%	4,011 (R)
Monroe	12	1,237	27.16%	3,318	72.84%	4,555 (R)
Montgomery	18	5,526	54.25%	4,660	45.75%	10,186 (D)
Morgan	12	2,475	57.03%	1,865	42.97%	4,340 (D)
Muhlenberg	26	7,436	57.90%	5,406	42.10%	12,842 (R)
Nelson	26	8,823	49.60%	8,965	50.40%	17,788 (R)
Nicholas	5	1,737	59.47%	1,184	40.53%	2,921 (D)
Ohio	25	4,664	47.08%	5,242	52.92%	9,906 (R)
Oldham	34	10,204	35.25%	18,744	64.75%	28,948 (R)
Owen	13	2,019	42.93%	2,684	57.07%	4,703 (R)
Owsley	8	559	34.46%	1,063	65.54%	1,622 (R)
Pendleton	12	2,155	37.97%	3,520	62.03%	5,675 (R)
Perry	37	5,026	49.10%	5,211	50.90%	10,237 (R)
Pike	57	12,912	57.16%	9,679	42.84%	22,591 (D)
Powell	11	2,863	57.91%	2,081	42.09%	4,944 (D)
Pulaski	57	8,108	32.20%	17,072	67.80%	25,180 (R)
Robertson	5	498	49.21%	514	50.79%	1,012 (R)
Rockcastle	14	1,837	30.55%	4,177	69.45%	6,014 (R)
Rowan	18	4,710	58.71%	3,312	41.29%	8,022 (D)
Russell	16	2,450	33.67%	4,827	66.33%	7,277 (R)
Scott	35	9,238	47.36%	10,267	52.64%	19,505 (R)
Shelby	33	7,546	41.15%	10,790	58.85%	18,336 (R)
Simpson	13	3,118	44.29%	3,922	55.71%	7,040 (R)
Spencer	11	3,159	39.64%	4,811	60.36%	7,970 (R)
Taylor	20	4,163	38.52%	6,644	61.48%	10,807 (R)
Todd	13	1,772	36.89%	3,032	63.11%	4,804 (R)
Trigg	14	2,637	40.76%	3,833	59.24%	6,470 (R)
Trimble	12	1,927	50.87%	1,861	49.13%	3,788 (D)
Union	16	3,335	55.46%	2,678	44.54%	6,013 (D)
Warren	63	19,162	43.84%	24,547	56.16%	43,709 (R)
Washington	14	2,316	45.04%	2,826	54.96%	5,142 (R)
Wayne	19	3,045	43.30%	3,987	56.70%	7,032 (R)
Webster	14	3,000	54.39%	2,516	45.61%	5,516 (D)
Whitley	36	4,849	36.37%	8,484	63.63%	13,333 (R)
Wolfe	8	1,886	62.74%	1,120	37.26%	3,006 (D)
Woodford	16	5,903	48.65%	6,231	51.35%	12,134 (R)
