Rider	Horse	Time ( s )	Faults	Total time ( s )	Points
Ricardo Kierkegaard	Rey Z	83.23	8	91.23	6.805
James Wingrave	Agropoint Calira	83.33	8	91.33	6.855
Björn Nagel	Pilgrim	83.67	8	91.67	7.025
Taizo Sugitani	Obelix	87.68	4	91.68	7.030
Tony Andre Hansen	Camiro	88.11	4	92.11	7.245
Judy-Ann Melchoir	Grande Dame Z	88.24	4	92.24	7.310
Maria Gretzer	Spender S	84.39	8	92.39	7.385
Katharina Offel	Atlanta	84.46	8	92.46	7.420
Krzyszlof Ludwiczak	HOF Schretstakens Quamiro	88.54	4	92.54	7.460
Manuel Fernandez Saro	Quin Chin	84.55	8	92.55	7.465
Marcela Lobo	Joskin	88.82	4	92.82	7.600
Billy Twomey	Luidam	84.85	8	92.85	7.615
Nick Skelton	Russel	84.89	8	92.89	7.635
Vladimir Beletskiy	Rezonanz	89.07	4	93.07	7.725
Giuseppe Rolli	Jericho de la Vie	89.44	4	93.44	7.910
Florian Angot	First de Launay	81.73	12	93.73	8.055
Jose Larocca	Svante	86.00	8	94.00	8.190
Jiri Papousek	La Manche T	90.50	4	94.50	8.440
Antonio Portela Carneiro	Echo de Lessay	90.75	4	94.75	8.565
Abdullah Al-Sharbatly	Hugo Gesmeray	78.79	16	94.79	8.585
Hanno Ellermann	Poncorde	86.82	8	94.82	8.600
Gennadiy Gashiboyazov	Papirus	82.99	12	94.99	8.685
Juan Carlos García	Loro Piana Albin III	91.66	4	95.66	9.020
Ian Millar	In Style	84.36	12	96.36	9.370
Federico Fernandez	Bohemio	80.84	16	96.84	9.610
Ibrahim Hani Kamal Bisharat	Qwinto	89.14	8	97.14	9.760
Syed Omar Almohdzar	Lui	89.26	8	97.26	9.820
H.H. Prince Faisal Al-Shalan	Uthago	90.03	8	98.03	10.205
Gunnar Klettenberg	Novesta	90.86	8	98.86	10.620
Guillermo Obligado	Carlson	92.71	8	100.71	11.545
Rene Lopez	Isky	88.97	12	100.97	11.675
Margie Engle	Hidden Creek's Quervo Gold	85.75	16	101.75	12.065
Rod Brown	Mr. Burns	86.22	16	102.22	12.300
Alberto Michan	Chinobampo Lavita	86.28	16	102.28	12.330
Jonella Ligresti	Quinta 27	90.35	12	102.35	12.365
Noora Pentti	Evli Cagliostro	90.53	12	102.53	12.455
Mohammed Al-Kumaiti	Al-Mutawakel	90.60	12	102.60	12.490
Yuko Itakura	Portvliet	86.93	16	102.93	12.655
Fabrice Lyon	Jasmine du Perron	95.14	8	103.14	12.760
Zsolt Pirik	Havanna	91.72	12	103.72	13.050
Kamal Bahamdan	Campus	92.00	12	104.00	13.190
Vladimir Panchenko	Lanteno	94.54	12	106.54	14.460
Grant Wilson	Up and Down Cellebroedersbos	87.29	20	107.29	14.835
Peter McMahon	Kolora Stud Genoa	104.01	4	108.01	15.195
Chris Pratt	Rivendell	104.06	4	108.06	15.220
Ariana Azcarraga	Sambo	97.51	12	109.51	15.945
Karim El-Zoghby	Baragway	94.34	16	110.34	16.360
Roger Hessen	Quito	96.44	16	112.44	17.410
Eiken Sato	Cayak DH	89.54	24	113.54	17.960
Veronika Macanova	Pompos	105.99	8	113.99	18.185
Ondrej Nagr	Atlas	105.35	12	117.35	19.865
Emmanouela Athanassiades	Rimini Z	106.38	20	126.38	24.380
Zdenek Zila	Pinot Grigio	117.69	12	129.69	26.035
Malin Baryard-Johnsson	Butterfly Flip	Refusal	Refusal	Refusal	46.035
H.R.H. Prince Abdullah Al-Soud	Allah Jabek	Refusal	Refusal	Refusal	46.035
Jamie Kermond	Stylish King	Refusal	Refusal	Refusal	46.035
Jose Alfredo Hernandez Ortega	Semtex P	Refusal	Refusal	Refusal	46.035
Barry Taylor	Duxy	Fall	Fall	Fall	46.035
Mariann Hugyecz	Superville	Fall	Fall	Fall	46.035
Thomas Velin	Godsend du Reverdy	Retired	Retired	Retired	46.035
